Time,Price
2012-06-01,8.45
2012-06-02,8.13
2012-06-03,8.13
2012-06-04,8.13
2012-06-05,8.13
2012-06-10,8.24
2012-06-10,8.24
2012-06-11,8.06
2012-06-14,8.13
2012-06-14,8.13
2012-06-27,8.03
2012-06-27,8.01
2012-07-02,8.24
2012-07-02,8.13
2012-07-05,8.13
2012-07-08,8.13
2012-07-08,8.01
2012-07-09,8.01
2012-07-10,8.01
2012-07-10,8.13
2012-07-11,8.13
2012-07-13,8.12
2012-07-13,8.12
2012-07-14,8.12
2012-07-16,8.04
2012-07-17,7.66
2012-07-17,7.86
2012-07-18,7.56
2012-07-20,7.56
2012-08-10,8.13
2012-09-01,7.62
2012-09-02,7.62
2012-09-20,7.86
2012-09-21,7.62
2012-09-22,7.64
2012-09-23,7.62
2012-09-28,8.4
2012-10-03,9.1
2012-10-05,8.54
2012-10-06,8.54
2012-10-08,7.62
2012-10-19,7.86
2012-10-19,7.86
2012-10-20,7.78
2012-10-21,7.54
2012-10-23,7.62
2012-10-24,9.81
2012-10-30,9.82
2012-10-31,9.99
2012-10-31,9.99
2012-10-31,8.4
2012-11-01,8.4
2012-11-01,9.01
2012-11-24,8.64
2012-11-27,8.99
2012-11-27,9.67
2012-11-28,9.67
2012-11-28,9.67
2012-11-28,8.99
2012-11-29,8.91
2012-11-30,8.64
2012-12-02,8.64
2012-12-04,8.64
2012-12-08,8.64
2012-12-27,8.64
2013-01-11,9.05
2013-01-11,8.99
2013-01-12,8.99
2013-01-14,8.99
2013-01-16,9.94
2013-01-18,9.79
2013-01-19,9.97
2013-01-20,9.42
2013-01-21,9.43
2013-01-22,9.42
2013-01-23,9.42
2013-01-30,9.56
2013-01-30,9.66
2013-01-31,9.15
2013-02-01,9.59
2013-02-02,9.15
2013-02-08,9.15
2013-02-09,9.15
2013-02-10,9.15
2013-02-12,9.36
2013-02-13,9.18
2013-02-14,9.18
2013-02-15,9.26
2013-02-15,9.15
2013-02-15,9.26
2013-02-16,9.48
2013-02-17,9.24
2013-02-20,9.15
2013-02-24,9.37
2013-02-25,9.15
2013-03-01,9.64
2013-03-02,9.49
2013-03-02,9.49
2013-03-03,9.15
2013-03-04,9.23
2013-03-05,9.24
2013-03-05,9.24
2013-03-06,9.15
2013-03-08,9.55
2013-03-08,9.55
2013-03-08,9.55
2013-03-13,9.15
2013-03-14,9.15
2013-03-14,9.32
2013-03-14,9.32
2013-03-22,9.22
2013-03-23,9.15
2013-03-23,9.15
2013-03-31,9.32
2013-04-01,9.46
2013-04-01,9.46
2013-04-02,9.43
2013-04-02,9.43
2013-04-03,9.15
2013-04-24,9.99
2013-05-23,9.99
2013-07-01,9.99
