Time,Price
2012-06-11,12.99
2012-06-14,13
2012-06-15,12.69
2012-06-16,12.66
2012-06-17,12.68
2012-06-18,12.69
2012-06-19,12.74
2012-06-20,13.68
2012-06-23,13.99
2012-06-27,13.68
2012-06-28,13.37
2012-06-28,13.99
2012-06-29,13.37
2012-06-30,13.1
2012-06-30,12.75
2012-06-30,12.76
2012-07-01,12.77
2012-07-01,12.75
2012-07-02,13.37
2012-07-02,13.07
2012-07-03,12.73
2012-07-03,13.07
2012-07-04,12.72
2012-07-05,12.71
2012-07-05,13.99
2012-07-06,13.07
2012-07-06,13.37
2012-07-07,12.94
2012-07-07,12.69
2012-07-10,12.7
2012-07-11,13.68
2012-07-11,12.78
2012-07-12,13.68
2012-07-12,13.37
2012-07-13,13.99
2012-07-14,13.99
2012-07-14,12.62
2012-07-15,13.37
2012-07-15,13.99
2012-07-16,12.94
2012-07-17,13.99
2012-07-18,13.07
2012-07-18,12.63
2012-07-19,13.99
2012-07-20,13.99
2012-07-20,13.99
2012-07-26,13.99
2012-07-26,13.07
2012-07-27,13.99
2012-07-27,12.6
2012-07-28,13.68
2012-07-28,12.78
2012-07-29,13.07
2012-07-30,13.99
2012-07-30,13.99
2012-07-31,13.37
2012-08-01,13.99
2012-08-02,13.58
2012-08-03,13.99
2012-08-06,13.37
2012-08-07,12.91
2012-08-08,12.56
2012-08-09,13.07
2012-08-10,13.37
2012-08-11,13.99
2012-08-13,12.54
2012-08-13,13.07
2012-08-15,13.99
2012-08-16,13.37
2012-08-17,12.48
2012-08-18,13.99
2012-08-19,13.37
2012-08-20,13.68
2012-08-21,13.99
2012-08-22,12.49
2012-08-23,12.39
2012-08-23,12.35
2012-08-24,12.34
2012-08-25,12.32
2012-08-27,12.29
2012-08-28,13.11
2012-08-29,12.8
2012-08-30,12.29
2012-08-31,12.3
2012-08-31,12.36
2012-09-02,12.37
2012-09-11,12.38
2012-09-11,12.36
2012-09-13,12.37
2012-09-14,12.4
2012-09-15,12.42
2012-09-18,12.36
2012-09-19,12.41
2012-09-20,12.39
2012-09-21,12.39
2012-10-02,12.97
2012-10-03,12.04
2012-10-04,12.04
2012-10-05,12.13
2012-10-06,12.76
2012-10-07,12.1
2012-10-07,12.1
2012-10-08,11.87
2012-10-09,11.87
2012-10-10,14.99
2012-10-11,14.64
2012-10-12,12.77
2012-10-12,12.67
2012-10-15,12.93
2012-10-16,14.84
2012-10-17,13.48
2012-10-18,13.32
2012-10-18,12.39
2012-10-19,12.22
