Time,Price
2012-06-01,60.75
2012-06-04,60.6
2012-06-05,60.47
2012-06-07,58.15
2012-06-08,59.29
2012-06-08,59.35
2012-06-09,59.35
2012-06-10,59.35
2012-06-11,59.34
2012-06-13,59.34
2012-06-14,59.06
2012-06-15,59.01
2012-06-16,59.09
2012-06-17,59.13
2012-06-19,59.12
2012-06-20,60.68
2012-06-21,60.81
2012-06-22,60.81
2012-06-23,60.96
2012-06-25,61.05
2012-06-26,60.88
2012-06-26,60.88
2012-06-27,60.75
2012-06-28,60.75
2012-06-29,60.75
2012-06-29,60.75
2012-06-30,60.75
2012-07-01,60.75
2012-07-05,60.84
2012-07-05,60.84
2012-07-06,60.67
2012-07-07,60.67
2012-07-07,60.67
2012-07-09,60.67
2012-07-10,60.67
2012-07-11,60.67
2012-07-11,65.94
2012-07-12,65.93
2012-07-12,60.42
2012-07-14,60.42
2012-07-16,60.5
2012-07-17,60.65
2012-07-17,60.65
2012-07-18,60.65
2012-07-18,60.6
2012-07-19,60.66
2012-07-20,60.58
2012-07-21,60.61
2012-07-22,60.61
2012-07-23,60.62
2012-07-23,60.61
2012-07-24,60.78
2012-07-24,60.78
2012-07-25,60.78
2012-07-26,60.78
2012-07-27,60.84
2012-07-27,60.97
2012-07-30,60.78
2012-07-30,60.78
2012-07-31,61.03
2012-08-01,61.03
2012-08-02,61.67
2012-08-03,61.59
2012-08-04,61.54
2012-08-05,61.43
2012-08-06,61.46
2012-08-06,61.45
2012-08-07,61.36
2012-08-08,61.42
2012-08-09,61.47
2012-08-10,61.47
2012-08-11,61.46
2012-08-12,61.17
2012-08-13,61.17
2012-08-13,61.17
2012-08-15,61.95
2012-08-16,61.22
2012-08-16,61.23
2012-08-17,61.29
2012-08-18,61.28
2012-08-20,61.31
2012-08-21,61.3
2012-08-22,61.28
2012-08-23,61.26
2012-08-24,61.24
2012-08-24,61.24
2012-08-25,61.26
2012-08-26,61.26
2012-08-27,61.28
2012-08-28,61.32
2012-08-29,63.11
2012-08-30,60.4
2012-08-31,60.61
2012-09-01,60.43
2012-09-02,60.47
2012-09-03,60.44
2012-09-04,60.29
2012-09-05,60.22
2012-09-11,60.43
2012-09-12,60.5
2012-09-12,60.39
2012-09-13,60.38
2012-09-14,60.39
2012-09-15,60.34
2012-09-18,60.57
2012-09-19,59.46
2012-09-20,59.56
2012-09-20,59.45
2012-09-21,59.49
2012-09-22,59.45
2012-09-23,60.67
2012-09-23,60.67
2012-09-24,60.61
2012-09-25,60.61
2012-09-26,61.34
2012-09-26,61.34
2012-09-28,61.57
2012-09-28,61.17
2012-09-29,61.19
2012-09-30,61.37
2012-10-02,68.21
2012-10-03,61.95
2012-10-04,62.23
2012-10-07,62.49
2012-10-08,62.49
2012-10-08,62.49
2012-10-09,61.05
2012-10-10,61.05
2012-10-11,61.15
2012-10-12,61.15
2012-10-15,62.76
2012-10-16,49.99
2012-10-17,49.99
2012-10-18,49.99
2012-10-20,49.99
2012-10-21,49.99
2012-11-09,76.43
2012-11-11,76.13
2012-11-12,75.81
2013-10-24,61.52
2014-06-18,134.64
2016-01-21,134.64
2016-02-10,142.97
2016-02-14,141.99
2016-02-26,139.96
2016-03-03,132.99
2016-03-29,138.99
2016-04-02,138.99
2016-04-12,138.89
2016-04-18,138.89
2016-04-24,138.89
2016-04-29,138.86
2016-05-03,138.84
2016-05-03,138.84
2016-05-10,145.48
2016-05-12,144.88
2016-05-20,144.57
2016-05-31,144.57
2016-06-17,144.57
2016-06-21,149.97
2016-06-21,149.97
2016-07-13,148.64
2016-07-13,148.64
2016-07-27,146.67
2016-07-28,146.65
2016-07-30,146.58
2016-08-01,144.98
2016-08-02,144.97
2016-08-29,138.97
2016-09-13,136.48
2016-09-15,114.43
2016-10-12,130.88
2016-10-29,129.98
2016-10-29,129.98
2016-11-02,124.99
2016-11-14,129.26
2016-11-16,109.95
2016-11-23,99.97
2016-11-28,99.00
2016-11-28,99.00
2016-12-06,99.00
