Time,Price
2012-06-01,48
2012-06-10,40.77
2012-06-11,40.77
2012-06-14,47.99
2012-06-15,47.99
2012-06-16,47.99
2012-06-20,47.99
2012-06-21,47.99
2012-06-22,47.99
2012-06-27,40.77
2012-06-28,40.77
2012-06-29,47.99
2012-06-29,42.81
2012-07-02,40.77
2012-07-03,41.34
2012-07-04,41.73
2012-07-05,41.67
2012-07-05,51.7
2012-07-07,43.98
2012-07-08,48
2012-07-09,48
2012-07-11,40.77
2012-07-11,41.69
2012-07-12,41.95
2012-07-13,40.77
2012-07-16,40.77
2012-07-16,40.81
2012-07-17,40.84
2012-07-18,40.88
2012-07-19,40.77
2012-07-21,41.15
2012-07-23,40.77
2012-07-24,40.77
2012-08-02,39.1
2012-08-03,39.09
2012-08-04,39.1
2012-08-04,39.09
2012-08-05,39.07
2012-08-06,39.75
2012-08-08,39.75
2012-08-09,39.75
2012-08-10,39.75
2012-08-11,39.03
2012-08-11,39.02
2012-08-12,40.77
2012-08-14,40.77
2012-08-14,40.77
2012-08-16,40.77
2012-08-16,40.77
2012-08-19,40.77
2012-08-20,40.77
2012-08-25,40.77
2012-08-26,40.77
2012-08-27,47.98
2012-08-27,40.77
2012-08-28,40.77
2012-08-29,40.77
2012-09-02,39.75
2012-09-03,38.97
2012-09-03,38.96
2012-09-04,40.77
2012-09-10,40.77
2012-09-13,40.77
2012-09-15,40.77
2012-09-18,40.77
2012-09-21,40.77
2012-09-24,40.77
2012-09-24,40.77
2012-09-24,40.77
2012-09-28,40.77
2012-10-02,40.77
2012-10-10,40.77
2012-10-11,47.98
2012-10-12,47.98
2012-10-14,40.77
2012-11-01,39.91
2012-11-01,40.77
2012-11-14,40.77
2012-11-15,40.77
2012-11-15,40.77
2012-11-16,39.75
2012-11-17,39.81
2012-11-17,40.77
2012-11-18,39.75
2012-11-23,39.89
2012-11-24,40.45
2012-11-25,39.93
2012-11-27,39.94
2012-11-28,39.45
2012-11-29,39.34
2012-11-30,38.72
2012-12-23,38.72
2012-12-29,39.19
2012-12-29,39.75
2013-01-03,40.45
2013-01-04,40.77
2013-01-14,50.97
2013-01-15,53.68
2013-01-18,50.97
2013-01-19,50.97
2013-01-19,50.97
2013-01-23,50.97
2013-01-24,54.67
2013-01-24,56.5
2013-01-24,54.67
2013-01-25,55.73
2013-01-25,54.5
2013-01-26,54.5
2013-01-27,54.5
2013-01-27,54.5
2013-01-29,54.67
2013-01-29,56.5
2013-01-29,56.5
2013-01-30,56.5
2013-01-31,56.5
2013-02-01,54.5
2013-02-01,54.67
2013-02-01,55.73
2013-02-02,56.5
2013-02-07,37.53
2013-02-07,37.53
2013-02-09,41.28
2013-02-11,51.98
2013-02-12,41.61
2013-02-13,51.98
2013-02-13,51.98
2013-02-14,52.08
2013-02-14,52.08
2013-02-15,52.08
2013-02-15,50.97
2013-02-17,50.97
2013-02-20,50.96
2013-02-22,50.96
2013-02-23,43.82
2013-02-23,43.82
2013-02-23,48.93
2013-02-24,49.37
2013-02-24,49.82
2013-02-24,50.27
2013-02-25,50.96
2013-02-25,50.95
2013-02-28,50.97
2013-03-01,43.82
2013-03-01,43.82
2013-03-01,43.83
2013-03-06,43.83
2013-03-08,43.83
2013-03-11,54.67
2013-03-12,56.23
2013-03-13,56.07
2013-03-13,55.9
2013-03-14,55.8
2013-03-14,48.93
2013-03-14,45.87
2013-03-17,42.81
2013-03-18,36.63
2013-03-19,36.63
2013-03-20,40.28
2013-03-21,49.95
2013-03-21,50.16
2013-03-22,50.16
2013-03-22,49.95
2013-03-23,49.95
2013-03-26,50.16
2013-03-28,49.95
2013-03-28,49.95
2013-03-29,49.95
2013-03-29,49.95
2013-03-31,49.95
2013-03-31,49.95
2013-04-01,49.95
2013-04-03,49.95
2013-04-05,49.95
2013-04-06,49.95
2013-04-07,49.95
2013-04-08,49.95
2013-04-08,49.95
2013-04-09,50.16
2013-04-10,49.95
2013-04-12,49.95
2013-04-12,49.95
2013-04-15,54.67
2013-04-15,56.5
2013-04-16,50.16
2013-04-17,50.16
2013-04-17,50.16
2013-04-18,50.16
2013-04-21,50.16
2013-04-22,50.16
2013-04-24,50.16
2013-05-01,50.16
2013-05-02,50.16
2013-05-03,50.16
2013-05-04,50.16
2013-05-05,50.16
2013-05-06,50.16
2013-05-07,50.16
2013-05-08,50.16
2013-05-09,50.16
2013-05-09,50.16
2013-05-10,50.16
2013-05-11,50.16
2013-05-12,50.16
2013-05-13,50.16
2013-05-14,50.16
2013-05-15,50.16
2013-05-16,50.16
2013-05-19,48.96
2013-05-20,48.96
2013-05-20,50.16
2013-05-22,50.16
2013-05-24,50.16
2013-05-24,50.16
2013-05-25,50.16
2013-05-26,50.16
2013-05-30,49.4
2013-06-01,49.4
2013-06-02,49.4
2013-06-02,49.4
2013-06-05,49.4
2013-06-05,49.4
2013-06-06,49.4
2013-06-06,49.4
2013-06-08,50.16
2013-06-08,50.16
2013-06-08,50.16
2013-06-09,50.16
2013-06-12,50.16
2013-06-12,50.16
2013-06-16,49.64
2013-06-18,50.16
2013-06-20,50.16
2013-06-22,50.16
2013-06-28,50.45
2013-06-30,50.99
2013-07-03,50.99
2013-07-04,50.99
2013-07-06,51.98
2013-07-13,50.87
2013-07-16,50.87
2013-07-26,50.87
2013-07-26,50.87
2013-07-26,50.87
2013-07-28,50.87
2013-08-03,50.87
2013-08-04,50.87
2013-08-04,50.87
2013-08-05,50.87
2013-08-06,50.87
2013-08-07,50.87
2013-08-07,50.87
2013-08-09,50.87
2013-08-11,50.87
2013-08-13,50.87
2013-08-15,50.87
2013-08-17,54.75
