Time,Price
2012-05-31,7.91
2012-06-21,10.99
2012-06-29,10.99
2012-07-05,10.99
2012-07-06,10.99
2012-07-10,7.99
2012-07-13,6.49
2012-07-14,7.99
2012-07-19,6.49
2012-07-21,7.99
2012-07-24,7.99
2012-07-24,6.49
2012-07-25,6.58
2012-07-26,7.99
2012-07-30,7.99
2012-07-31,7.99
2012-08-01,7.99
2012-08-07,7.99
2012-08-08,7.99
2012-08-09,7.99
2012-08-13,7.99
2012-08-14,7.99
2012-08-18,7.99
2012-08-20,7.99
2012-08-20,7.99
2012-08-23,7.99
2012-08-26,7.99
2012-09-10,7.99
2012-09-12,7.99
2012-09-15,7.99
2012-10-02,10.17
2012-10-05,7.99
2012-10-26,7.59
2012-10-30,7.99
2012-10-30,7.85
2012-11-02,7.99
2012-11-09,7.14
2012-11-11,7.14
2012-11-11,7.99
2012-11-12,7.99
2012-11-13,7.85
2012-11-14,7.99
2012-11-15,7.99
2012-11-16,7.99
2012-11-20,7.99
2012-11-21,7.41
2012-11-22,7.49
2012-11-25,7.59
2012-11-25,7.99
2012-11-29,7.99
2013-01-14,7.99
2013-01-16,6.84
2013-01-17,7.52
2013-01-19,7.99
2013-01-29,7.99
2013-02-17,6.92
2013-02-18,7.99
2013-03-06,9.99
2013-03-11,9.99
2013-03-14,6.98
2013-03-18,9.99
2013-03-19,11.08
2013-03-20,11.18
2013-03-24,11.18
2013-03-25,8.99
2013-03-26,8.99
2013-03-29,8.99
2013-03-30,8.99
2013-03-31,7.4
2013-04-01,8.99
2013-04-02,8.99
2013-04-04,8.99
2013-04-10,8.99
2013-04-12,8.99
2013-04-14,8.99
2013-04-24,8.99
2013-05-01,8.99
2013-05-08,8.99
2013-05-10,8.99
2013-05-10,8.99
2013-05-13,8.55
2013-05-14,8.99
2013-05-14,7.17
2013-05-15,7.86
2013-05-17,8.98
2013-05-18,8.98
2013-05-20,8.99
2013-05-21,8.99
2013-05-23,8.39
2013-06-01,8.99
2013-06-30,8
2013-07-01,10.94
2013-07-01,9.99
2013-07-03,9.99
2013-07-08,9.99
2013-07-11,9.99
2013-07-14,9.99
2013-07-20,9.99
2013-07-26,9.99
2013-08-13,8.99
2013-08-20,8.99
2013-10-02,8.99
2013-10-25,8.99
2013-12-10,8.8
2014-01-02,8.8
2014-02-01,8.99
2014-03-18,7.58
2014-06-09,7.99
2016-12-05,7.99
2014-06-18,7.74
2016-09-29,7.74
2016-11-12,7.74
2016-12-05,9.99
2016-12-06,9.99
