Time,Price
2014-05-01,14.99
2014-05-04,14.48
2014-05-08,14.45
2014-05-12,14.33
2014-05-14,14.99
2014-05-25,13.92
2014-06-05,13.99
2014-06-15,13.99
2014-07-13,13.65
2014-07-27,13.65
2014-07-29,13.65
2014-08-02,13.65
2014-08-18,13.65
2014-08-28,13.65
2014-08-28,13.65
2014-09-09,13.65
2014-09-14,13.65
2014-09-18,13.65
2014-09-21,13.65
2014-09-24,13.65
2014-10-22,13.65
2014-10-31,13.65
2014-11-06,14.03
2014-11-07,13.65
2014-11-10,13.65
2014-11-22,14.99
2014-11-25,14.99
2014-11-30,14.99
2014-12-06,14.99
2014-12-10,13.65
2014-12-22,14.99
2014-12-31,14.99
2015-02-17,14.99
2015-02-25,14.99
2015-03-14,14.99
2015-04-02,14.99
2015-04-25,14.99
2015-05-03,14.84
2015-05-08,14.59
2015-05-10,12.97
2015-05-15,12.97
2015-05-20,12.97
2015-05-21,12.97
2015-05-27,12.97
2015-05-29,12.97
2015-05-30,12.97
2015-06-06,12.97
2015-06-08,12.97
2015-06-12,12.97
2015-06-16,12.97
2015-06-19,12.97
2015-06-23,12.97
2015-06-26,12.97
2015-06-30,12.97
2015-07-06,12.97
2015-07-12,12.97
2015-07-16,12.97
2015-07-19,12.97
2015-07-23,12.97
2015-07-27,12.97
2015-07-30,12.97
2015-07-31,12.85
2015-08-03,12.85
2015-08-07,12.85
2015-08-12,12.84
2015-08-12,12.84
2015-08-16,12.84
2015-08-20,12.84
2015-08-24,12.84
2015-08-25,12.84
2015-08-28,12.84
2015-09-02,12.84
2015-09-06,12.84
2015-09-14,12.84
2015-09-20,12.84
2015-09-21,12.84
2015-09-24,12.84
2015-09-28,12.84
2015-10-01,12.84
2015-10-02,12.84
2015-10-05,12.84
2015-11-06,12.83
2015-11-10,12.83
2015-11-13,12.83
2015-11-17,12.83
2015-11-20,12.83
2015-11-23,12.83
2015-11-24,12.83
2015-11-27,7.95
2015-12-01,12.83
2015-12-12,10.98
2015-12-16,10.99
2015-12-17,10.98
2015-12-20,10.99
2016-01-06,10.99
2016-01-13,10.99
2016-02-04,11.09
2016-02-21,11.09
2016-02-29,14.95
2016-03-19,13.44
2016-03-22,13.44
2016-04-01,13.44
2016-04-04,13.44
2016-04-07,13.44
2016-04-11,13.44
2016-04-15,13.43
2016-04-29,13.39
2016-05-13,13.33
2016-05-16,13.35
2016-05-17,13.36
2016-05-27,13.44
2016-05-30,13.44
2016-05-31,13.5
2016-06-02,13.44
2016-10-27,12.29
2016-10-31,12.29
2016-10-31,12.29
2016-11-02,12.29
2016-11-05,12.29
2016-11-07,12.28
2016-11-10,12.28
2016-11-11,12.28
2016-11-12,12.28
2016-11-14,12.28
2016-11-15,12.28
2016-11-17,12.29
2016-11-18,12.29
2016-11-20,12.28
2016-11-20,12.28
2016-11-22,12.26
2016-11-22,12.26
2016-11-24,12.26
2016-11-25,12.28
2016-11-27,12.26
2016-11-28,12.26
2016-11-28,12.26
2016-11-30,12.26
2016-12-01,12.26
2016-12-03,12.26
2016-12-03,12.26
2014-06-18,11.09
2016-01-19,11.09
2016-01-20,11.09
2016-01-25,11.09
2016-02-17,18.80
2016-02-26,13.90
2016-02-26,14.95
2016-03-06,13.46
2016-03-21,13.44
2016-04-01,13.44
2016-04-15,13.43
2016-04-16,13.42
2016-04-24,13.41
2016-04-26,13.40
2016-05-08,13.33
2016-05-14,13.32
2016-05-16,13.35
2016-05-17,13.34
2016-05-25,13.44
2016-06-10,13.33
2016-07-16,12.56
2016-08-04,12.56
2016-08-20,12.56
2016-09-02,12.56
2016-09-05,12.56
2016-09-13,12.56
2016-09-24,12.55
2016-10-02,12.29
2016-10-09,12.28
2016-10-11,12.28
2016-10-17,12.27
2016-10-22,12.26
2016-10-27,12.26
2016-11-07,12.28
2016-11-08,12.26
2016-11-27,12.26
2016-12-06,12.26
