Time,Price
2012-12-26,5.89
2013-03-14,5.89
2013-03-21,5.89
2013-04-23,5.81
2013-05-05,5.89
2013-06-04,5.89
2013-06-16,5.89
2013-06-22,5.89
2013-06-25,5.89
2013-06-28,5.89
2013-06-28,5.89
2013-07-02,5.89
2013-07-03,5.89
2013-07-25,5.89
2013-07-26,5.89
2013-07-27,5.89
2013-08-17,5.89
2013-08-20,5.89
2013-08-26,5.89
2013-10-13,5.89
2013-10-18,5.89
2013-12-11,6.98
2013-12-14,5.89
2014-05-18,5.89
2015-02-21,5.29
2015-07-09,5.49
2015-08-25,6.49
2015-11-02,5.49
2015-12-08,4.49
2016-01-02,5.49
2016-01-20,6.49
2016-01-29,4.99
2016-02-06,5
2016-03-20,5.02
2016-03-26,7.09
2016-04-01,7.05
2016-04-25,6.49
2016-04-29,5.8
2016-04-30,6
2016-05-09,5.8
2016-05-13,5.72
2016-05-14,5.75
2016-05-15,5.74
2016-05-15,5
2016-05-16,5.56
2016-05-17,5.57
2016-05-17,5.52
2016-05-23,6.49
2016-05-25,6.07
2016-05-26,6.49
2016-05-28,6.08
2016-05-30,6.09
2016-05-31,6.08
2016-06-01,6
2016-06-02,6.06
2016-06-04,6.49
2016-06-05,6.09
2016-06-06,6.05
2016-06-07,6.01
2016-06-07,6
2016-06-09,5.52
2016-06-11,5.95
2016-06-11,5.9
2016-06-24,6
2016-06-28,6.49
2016-06-30,6.48
2016-07-01,6.09
2016-07-02,6.48
2016-12-05,6.48
2014-06-18,4.99
2016-01-29,4.99
2016-02-05,5.00
2016-04-24,6.49
2016-05-01,6.00
2016-05-10,5.80
2016-05-13,5.70
2016-05-14,5.75
2016-05-15,5.00
2016-05-16,5.56
2016-05-18,5.52
2016-05-20,6.00
2016-05-23,6.49
2016-06-02,6.00
2016-06-05,6.05
2016-07-11,6.07
2016-07-12,6.49
2016-07-27,4.99
2016-12-06,4.99
