Time,Price
2012-06-02,116.98
2012-06-04,116.98
2012-06-05,116.98
2012-06-10,116.99
2012-06-11,116.99
2012-06-12,116.99
2012-06-14,116.99
2012-06-15,116.99
2012-06-16,116.99
2012-06-17,119.99
2012-06-18,119.99
2012-06-19,119.99
2012-06-20,119.99
2012-06-21,119.99
2012-06-24,119.99
2012-06-26,119.99
2012-06-26,119.99
2012-06-27,119.99
2012-06-28,119.99
2012-06-28,116.99
2012-06-29,116.99
2012-06-29,116.99
2012-06-29,116.99
2012-06-30,116.99
2012-07-01,116.99
2012-07-01,116.99
2012-07-01,116.99
2012-07-01,116.99
2012-07-02,116.99
2012-07-02,116.99
2012-07-03,116.85
2012-07-03,116.71
2012-07-03,116.65
2012-07-04,116.46
2012-07-04,113.76
2012-07-05,109.99
2012-07-06,109.99
2012-07-06,109.99
2012-07-06,109.99
2012-07-07,109.99
2012-07-10,109.99
2012-07-11,109.99
2012-07-11,109.99
2012-07-12,109.99
2012-07-12,109.99
2012-07-12,109.99
2012-07-13,109.99
2012-07-14,109.99
2012-07-14,109.99
2012-07-14,111.51
2012-07-14,112.23
2012-07-15,113.09
2012-07-15,113.76
2012-07-16,111.04
2012-07-16,109.99
2012-07-17,102.99
2012-07-18,102.99
2012-07-18,102.99
2012-07-19,102.99
2012-07-19,109
2012-07-20,107.24
2012-07-21,106.99
2012-07-21,106.99
2012-07-23,106.99
2012-07-24,106.99
2012-07-24,106.99
2012-07-24,106.99
2012-07-26,106.99
2012-07-26,109
2012-07-28,109
2012-07-29,109
2012-07-30,109
2012-07-30,109
2012-07-31,109
2012-08-01,109
2012-08-01,109
2012-08-02,109
2012-08-04,109
2012-08-05,109
2012-08-05,109
2012-08-06,109
2012-08-07,109
2012-08-07,109
2012-08-08,108.99
2012-08-08,108.99
2012-08-10,108.99
2012-08-12,108.99
2012-08-13,108.99
2012-08-14,108.99
2012-08-15,108.99
2012-08-15,108.58
2012-08-16,108.99
2012-08-16,108.99
2012-08-17,108.99
2012-08-18,108.99
2012-08-18,108.99
2012-08-19,108.99
2012-08-20,108.99
2012-08-21,108.99
2012-08-21,108.99
2012-08-22,108.99
2012-08-25,108.99
2012-08-25,108.99
2012-08-26,108.99
2012-08-28,108.99
2012-08-31,108.99
2012-08-31,104.99
2012-08-31,104.99
2012-09-02,104.99
2012-09-03,104.99
2012-09-04,104.99
2012-09-05,104.99
2012-09-11,107.24
2012-09-11,107.24
2012-09-12,105.99
2012-09-12,105.99
2012-09-12,105.99
2012-09-12,105.99
2012-09-13,103.99
2012-09-14,107.24
2012-09-15,107.57
2012-09-18,108.83
2012-09-19,108.56
2012-09-19,108.83
2012-09-21,108.83
2012-09-22,108.83
2012-09-23,108.83
2012-09-23,108.83
2012-09-25,107.74
2012-09-26,108.15
2012-09-26,108.05
2012-09-27,108.83
2012-09-28,108.83
2012-09-28,108.07
2012-09-29,107.99
2012-10-02,106.99
2012-10-02,106.99
2012-10-04,106.99
2012-10-07,106.99
2012-10-08,106.99
2012-10-10,106.99
2012-10-11,106.99
2012-10-12,106.99
2012-10-12,99.99
2012-10-15,99.99
2012-10-17,99.99
2012-10-18,99.99
2012-10-20,99.99
2012-10-21,99.99
2012-10-23,99.99
2012-10-27,99.99
2012-10-28,99.99
2012-10-31,99.99
2012-10-31,99.99
2012-11-01,99.99
2012-11-02,99.99
2012-11-04,99.99
2012-11-06,99.99
2012-11-06,89.99
2012-11-06,89.99
2012-11-07,89.99
2012-11-08,99.99
2012-11-09,99.99
2012-11-09,99.99
2012-11-10,99.99
2012-11-10,99.99
2012-11-11,99.99
2012-11-14,99.99
2012-11-15,99.99
2012-11-15,99.99
2012-11-15,99.99
2012-11-21,99.99
2012-11-28,107.8
2012-11-29,107.8
2012-11-30,107.8
2012-11-30,107.8
2012-12-01,107.8
2012-12-04,107.8
2012-12-05,99.99
2012-12-05,99.99
2012-12-06,99.99
2012-12-07,99.99
2012-12-07,99.99
2012-12-22,109.99
2012-12-28,109.99
2012-12-29,109.99
2012-12-31,109.99
2013-01-02,109.99
2013-01-04,108.99
2013-01-05,107.99
2013-01-07,107.99
2013-01-12,107.99
2013-01-15,107.99
2013-01-18,107.99
2013-01-19,107.99
2013-01-22,107.99
