Time,Price
2012-06-02,99.99
2012-06-03,99.99
2012-06-06,99.99
2012-06-07,106.98
2012-06-10,106.98
2012-06-10,106.98
2012-06-11,99
2012-06-11,99
2012-06-11,99
2012-06-12,99
2012-06-14,99
2012-06-14,99
2012-06-14,99
2012-06-15,99
2012-06-15,99
2012-06-16,99
2012-06-17,99
2012-06-17,99.99
2012-06-17,99.99
2012-06-18,106.98
2012-06-18,106.98
2012-06-19,106.98
2012-06-19,106.98
2012-06-20,106.98
2012-06-20,106.98
2012-06-20,106.98
2012-06-21,109.99
2012-06-21,106.98
2012-06-21,106.98
2012-06-22,109.99
2012-06-23,109.99
2012-06-23,109.99
2012-06-24,109.99
2012-06-25,119.99
2012-06-25,119.99
2012-06-29,119.99
2012-06-29,119.99
2012-07-02,119.99
2012-07-03,119.99
2012-07-03,119.99
2012-07-04,119.99
2012-07-04,119.99
2012-07-04,119.99
2012-07-07,119.99
2012-07-07,119.99
2012-07-09,122.24
2012-07-10,122.24
2012-07-11,122.24
2012-07-12,122.24
2012-07-14,122.24
2012-07-14,122.24
2012-07-16,119.99
2012-07-17,119.99
2012-07-18,119.99
2012-07-18,119.99
2012-07-18,119.99
2012-07-19,119.99
2012-07-20,119.99
2012-07-23,119.99
2012-07-30,119.99
2012-07-31,119.99
2012-07-31,119.99
2012-08-01,119.99
2012-08-03,119.99
2012-08-04,119.99
2012-08-04,119.99
2012-08-06,118.52
2012-08-06,119.99
2012-08-07,119.99
2012-08-07,119.99
2012-08-08,119.99
2012-08-08,119.99
2012-08-09,119.99
2012-08-10,119.99
2012-08-11,117.72
2012-08-11,117.72
2012-08-12,117.73
2012-08-12,117.73
2012-08-12,119.99
2012-08-13,117.8
2012-08-13,117.8
2012-08-15,119.15
2012-08-15,119.99
2012-08-15,119.99
2012-08-16,119.99
2012-08-16,119.99
2012-08-16,119.99
2012-08-16,119.99
2012-08-17,119.99
2012-08-17,119.99
2012-08-17,119.99
2012-08-18,119.99
2012-08-18,119.99
2012-08-18,119.99
2012-08-19,119.99
2012-08-19,119.99
2012-08-19,119.99
2012-08-20,119.99
2012-08-20,119.99
2012-08-20,119.99
2012-08-21,117.82
2012-08-22,118.73
2012-08-22,119.99
2012-08-24,119.99
2012-08-26,119.99
2012-08-27,119.99
2012-08-28,119.99
2012-08-28,119.99
2012-08-29,119.99
2012-08-30,119.99
2012-08-31,119.99
2012-09-02,119.99
2012-09-02,119.99
2012-09-03,119.99
2012-09-05,119.99
2012-09-10,119.99
2012-09-11,119.99
2012-09-12,119.99
2012-09-14,119.99
2012-09-18,119.99
2012-09-19,119.99
2012-09-20,119.99
2012-09-20,119.99
2012-09-20,119.99
2012-09-21,119.99
2012-09-22,119.99
2012-09-22,119.99
2012-09-23,119.99
2012-09-23,119.99
2012-09-24,119.99
2012-09-25,119.99
2012-09-25,119.99
2012-09-25,119.99
2012-09-27,119.99
2012-09-28,119.99
2012-09-28,119.99
2012-09-29,119.99
2012-09-30,119.99
2012-10-02,119.99
2012-10-02,119.99
2012-10-04,119.99
2012-10-05,119.99
2012-10-07,119.99
2012-10-07,119.99
2012-10-07,119.99
2012-10-07,119.99
2012-10-08,99.99
2012-10-11,99.99
2012-10-12,99.99
2012-10-14,119.99
2012-10-15,119.99
2012-10-16,119.99
2012-10-17,119.99
2012-10-18,119.99
2012-10-18,119.99
2012-10-19,119.99
2012-10-20,119.99
2012-10-20,119.99
2012-10-21,119.99
2012-10-23,117.32
2012-10-24,116.29
2012-10-25,119.99
2012-10-25,119.19
2012-10-26,119.19
2012-10-26,119.19
2012-10-27,119.99
