Time,Price
2012-08-24,17.2
2012-09-30,14.99
2012-10-05,14.99
2012-12-31,15.24
2013-01-14,19.99
2013-01-27,19.08
2013-01-28,18.62
2013-01-29,16.85
2013-01-30,16.97
2013-01-31,19.08
2013-02-01,18.99
2013-02-07,19.99
2013-02-08,18.99
2013-02-10,19.99
2013-02-11,19.99
2013-02-12,19.99
2013-02-13,19.99
2013-02-13,19.99
2013-02-15,19.99
2013-02-17,19.99
2013-02-18,19.54
2013-02-19,19.31
2013-02-20,18.65
2013-02-21,18.65
2013-02-23,19.09
2013-02-24,19.65
2013-02-25,19.89
2013-02-25,19.89
2013-03-03,19.4
2013-03-09,18.65
2013-03-17,18.99
2013-03-18,18.77
2013-03-19,18.99
2013-03-19,18.99
2013-03-20,18.99
2013-03-21,18.99
2013-03-22,18.99
2013-03-23,18.99
2013-03-26,18.99
2013-03-27,18.99
2013-03-28,18.61
2013-03-28,18.99
2013-03-29,17.68
2013-03-30,18.99
2013-03-31,18.99
2013-03-31,18.99
2013-04-01,18.99
2013-04-02,17.81
2013-04-03,18.99
2013-04-04,15.24
2013-04-06,18.99
2013-04-07,17.67
2013-04-08,17.11
2013-04-11,18.99
2013-04-11,18.99
2013-04-12,18.99
2013-04-12,18.99
2013-04-15,18.98
2013-04-17,18.99
2013-04-18,18.99
2013-04-19,18.99
2013-04-22,18.99
2013-04-25,18.99
2013-04-26,18.99
2013-05-11,18.76
2013-05-12,16.4
2013-05-23,19.99
2013-06-22,19.99
2013-06-29,19.99
2013-06-30,19.99
2013-07-01,19.99
2013-07-01,19.99
2013-07-02,19.99
2013-07-03,18.7
2013-07-05,19.99
2013-07-06,19.36
2013-07-08,18.23
2013-07-09,17.59
2013-07-12,17.59
2013-07-14,17.59
2013-07-15,17.59
2013-07-17,17.59
2013-07-18,17.59
2013-07-23,17.59
2013-07-24,17.59
2013-07-26,17.59
2013-07-27,17.59
2013-07-29,17.59
2013-07-30,17.41
2013-08-01,17.41
2013-08-02,17.31
2013-08-05,17.31
2013-08-08,17.31
2013-08-10,17.2
2013-08-20,17.19
2013-08-22,17.19
2013-08-25,17.19
2013-08-27,17.19
2013-08-30,17.19
2013-08-31,17.19
2013-09-04,17.19
2013-09-13,16.98
2013-09-14,16.98
2013-09-17,16.98
2013-09-18,16.98
2013-09-19,16.98
2013-09-21,16.98
2013-09-27,15.95
2013-09-30,15.95
2013-10-01,15.95
2013-10-10,15.95
2013-10-12,15.95
2013-10-15,15.95
2013-10-18,15.95
2013-10-25,15.95
2013-10-30,15.87
2013-10-31,15.95
2013-10-31,15.95
2013-11-01,15.95
2013-11-06,15.95
2013-11-08,15.95
