Time,Price
2012-06-06,69.66
2012-06-25,65.62
2012-06-26,73.71
2012-06-29,78.27
2012-06-30,77.42
2012-06-30,75.75
2012-07-01,74.11
2012-07-01,72.51
2012-07-02,70.94
2012-07-02,67.29
2012-07-03,69.12
2012-07-03,69.12
2012-07-04,69.66
2012-07-04,69.66
2012-10-05,73.15
2013-01-01,68.31
2013-01-19,62.59
2013-01-28,61.87
2013-01-29,62.55
2013-01-30,62.86
2013-01-31,63.36
2013-01-31,61.87
2013-02-01,67.86
2013-02-07,67.84
2013-02-08,67.84
2013-02-10,68.45
2013-02-11,68.32
2013-02-12,68.56
2013-02-13,68.69
2013-02-14,76.46
2013-02-15,73.79
2013-02-16,68.2
2013-02-17,68.71
2013-02-20,67.68
2013-02-21,67.64
2013-02-22,67.18
2013-02-23,67.38
2013-02-24,67.86
2013-02-25,67.54
2013-03-18,73.79
2013-04-07,60.94
2013-04-12,66.1
2013-04-25,65.62
2013-04-26,65.62
2013-04-26,61.7
2013-04-27,61.7
2013-04-28,59.8
2013-04-29,59.6
2013-05-01,73.79
2013-05-02,69.9
2013-05-04,67.64
2013-05-05,67.64
2013-05-08,67.64
2013-05-09,73.79
2013-05-10,74.17
2013-05-11,74.17
2013-05-11,74.17
2013-05-12,67.72
2013-05-13,67.72
2013-05-13,67.44
2013-05-14,67.44
2013-05-14,67.65
2013-05-14,67.48
2013-05-15,67.48
2013-05-16,71.24
2013-05-16,71.23
2013-05-17,71.23
2013-05-18,71.37
2013-05-19,68.45
2013-05-21,64.17
2013-05-23,64.17
2013-05-27,65.25
2013-05-29,63.6
2013-06-01,66.24
2013-06-02,66.97
2013-06-02,66.97
2013-06-06,65.25
2013-06-06,65.25
2013-06-08,64.65
2013-06-12,71.02
2013-06-12,71.39
2013-06-16,71.24
2013-06-29,74.67
2013-07-01,74.67
2013-07-02,67.17
2013-07-02,67.17
2013-07-03,68.1
2013-07-04,66.67
2013-07-04,67.01
2013-07-05,67.72
2013-07-05,66.67
2013-07-06,67.73
2013-07-07,66.65
2013-07-08,67.73
2013-07-08,67.73
2013-07-09,74.67
2013-07-14,68.78
2013-07-15,68.72
2013-07-15,64.67
2013-07-20,65.12
2013-07-20,65.12
2013-07-21,64.52
2013-07-22,64.33
2013-07-23,64.21
2013-07-24,64.32
2013-07-25,64.83
2013-07-26,64.49
2013-07-26,64.49
2013-07-26,64.49
2013-07-27,63.2
2013-07-29,64.23
2013-07-29,64.23
2013-07-30,71.37
2013-07-31,74.67
2013-08-01,74.67
2013-08-02,70.71
2013-08-03,69.99
2013-08-04,69.99
2013-08-10,69.99
2013-08-13,69.99
2013-08-20,59.99
2013-08-25,74.67
2013-08-26,70.67
2013-08-27,74.67
2013-08-27,68.39
2013-08-28,74.67
2013-08-29,74.19
2013-08-29,74.19
2013-08-30,74.19
2013-09-01,74.19
2013-09-04,74.19
2013-09-05,70.63
2013-09-06,71.77
2013-09-07,71.77
2013-09-08,72.38
2013-09-08,72.38
2013-09-13,72.6
2013-09-16,72.6
2013-09-16,72.6
2013-09-17,72.6
2013-09-20,72.6
2013-09-20,72.6
2013-09-23,72.6
2013-09-23,72.6
2013-09-24,72.6
2013-09-26,72.6
2013-09-27,72.6
2013-09-28,72.6
2013-09-30,72.6
2013-10-01,72.6
2013-10-02,72.6
2013-10-02,72.6
2013-10-05,72.6
2013-10-06,72.6
2013-10-07,72.6
2013-10-09,72.16
2013-10-09,72.16
2013-10-10,72.6
2013-10-10,72.6
2013-10-11,72.6
2013-10-12,72.6
2013-10-13,72.6
2013-10-14,72.6
2013-10-16,72.6
2013-10-16,72.6
2013-10-20,72.6
2013-10-21,72.6
2013-10-23,72.6
2013-10-24,72.6
2013-10-25,72.6
2013-10-29,72.6
2013-11-02,69.99
2013-11-04,72.6
2013-11-07,72.6
2013-11-10,72.6
2013-11-13,72.6
2013-11-19,79.99
2013-11-21,79.99
2013-11-21,79.99
2013-11-25,79.95
2013-11-28,77.31
2013-11-30,74.99
2013-12-03,69.99
2013-12-16,73.47
2013-12-23,71.67
2013-12-25,73.52
2014-01-03,72.7
2014-01-05,73.52
2014-01-06,73.52
2014-01-08,73.52
2014-01-09,73.52
2014-01-11,73.52
2014-01-12,73.52
2014-01-19,73.52
2014-01-22,73.51
2014-01-25,72.41
2014-01-27,72.4
2014-01-28,72.39
2014-01-31,72.39
2014-02-02,72.18
2014-02-03,71.15
2014-02-05,72.39
2014-02-07,72.18
2014-02-08,72.18
2014-02-10,70.16
2014-02-13,70.16
2014-02-14,70.16
2014-02-15,70.16
2014-02-17,70.16
2014-02-18,70.16
2014-02-20,70.16
2014-02-22,70.16
2014-02-23,54.99
2014-03-02,65.99
2014-03-08,69.98
2014-03-09,69.98
2014-03-11,69.98
2014-03-21,68.41
2014-03-21,69.98
2014-03-24,69.98
2014-03-25,69.98
2014-03-29,69.08
2014-03-29,69.08
2014-03-31,69.94
2014-04-01,69.98
2014-04-03,65.99
2014-04-05,65.99
2014-04-09,65.99
2014-04-11,65.99
2014-04-14,65.99
2014-04-16,65.99
2014-04-17,65.99
2014-04-22,65.99
2014-04-24,65.99
2014-04-24,65.99
2014-04-26,71.54
2014-04-27,72.8
2014-04-27,65.99
2014-05-02,65.99
2014-05-02,71.74
2014-05-03,65.99
2014-05-06,65.99
2014-05-08,65.99
2014-05-10,65.99
2014-05-11,68.13
2014-05-11,65.99
2014-05-13,65.99
2014-05-14,65.99
2014-05-14,65.99
2014-05-15,65.99
2014-05-19,65.99
2014-05-19,65.99
2014-05-20,65.99
2014-05-21,65.99
2014-05-22,65.99
2014-05-24,65.99
2014-05-27,65.99
2014-05-29,65.99
2014-05-31,65.99
2014-06-03,65.99
2014-06-07,65.99
2014-06-08,65.99
2014-06-10,65.99
2014-06-13,65.99
2014-06-16,65.99
2014-06-19,65.99
2014-06-24,65.99
2014-07-01,65.99
2014-07-03,65.99
2014-07-04,65.99
2014-07-06,65.99
2014-07-08,65.99
2014-07-10,65.99
2014-07-11,65.99
2014-07-13,65.99
2014-07-16,65.99
2014-07-18,65.99
2014-07-20,65.99
2014-07-23,65.99
2014-07-23,65.99
2014-07-26,65.99
2014-07-28,65.99
2014-08-01,65.99
2014-08-02,65.99
2014-08-03,65.99
2014-08-04,65.99
2014-08-04,65.99
2014-08-07,65.99
2014-08-18,65.99
2014-08-25,65.99
2014-08-28,65.99
2014-08-30,65.99
2014-09-03,69.99
2014-09-05,69.99
2014-09-06,69.99
2014-09-08,68.99
2014-09-09,68.99
2014-09-10,69.63
2014-09-11,69.63
2014-09-12,64.99
2014-09-12,64.99
2014-09-14,66.6
2014-09-15,66.6
2014-09-16,54.99
2014-09-17,66.6
2014-09-18,66.6
2014-09-18,65.59
2014-09-24,65.59
2014-09-24,65.59
2014-09-25,66.52
2014-09-25,69.65
2014-09-25,69.99
2014-09-30,69.52
2014-10-01,67.02
2014-10-01,68.69
2014-10-01,67.02
2014-10-02,66.82
2014-10-03,66.52
2014-10-03,66.52
2014-10-05,66.52
2014-10-05,65.81
2014-10-05,65.81
2014-10-06,66.55
2014-10-06,66.55
2014-10-06,66.55
2014-10-07,66.53
2014-10-07,66.53
2014-10-07,66.53
2014-10-07,66.53
2014-10-08,65.63
2014-10-08,65.63
2014-10-08,65.63
2014-10-09,65.63
2014-10-09,65.63
2014-10-09,65.63
2014-10-10,65.97
2014-10-10,66.52
2014-10-10,66.52
2014-10-11,66.04
2014-10-12,66.17
2014-10-12,66.52
2014-10-13,69.67
2014-10-13,69.67
2014-10-14,69.67
2014-10-15,67.11
2014-10-16,65.63
2014-10-16,68.4
2014-10-16,69.67
2014-10-22,69.99
2014-10-23,67.16
2014-10-24,66.52
2014-10-25,67.16
2014-10-25,66.52
2014-10-26,65.65
2014-10-27,66.52
2014-10-28,66.32
2014-10-31,66.99
2014-10-31,66.91
2014-11-03,66.99
2014-11-05,66.99
2014-11-07,66.99
2014-11-08,66.99
2014-11-10,66.99
2014-11-11,66.99
2014-11-11,66.99
2014-11-12,69.99
2014-11-19,69.99
2014-11-20,69.99
2014-11-21,69.99
2014-11-22,69.99
2014-11-22,69.99
2014-11-23,54.99
2014-11-23,54.99
2014-11-23,54.99
2014-11-23,54.99
2014-11-24,69.99
2014-11-24,69.99
2014-11-25,69.99
2014-11-26,69.99
2014-11-27,57.99
2014-11-28,54.99
2014-11-30,54.99
2014-12-01,54.99
2014-12-03,54.99
2014-12-05,54.99
2014-12-07,54.99
2014-12-08,54.99
2014-12-10,54.99
2014-12-10,54.99
2014-12-11,54.99
2014-12-11,54.99
2014-12-11,54.99
2014-12-12,54.99
2014-12-13,54.99
2014-12-16,54.99
2014-12-17,54.99
2014-12-18,54.99
2014-12-28,54.99
2014-12-29,54.99
2014-12-30,54.99
2015-01-01,54.99
2015-01-01,54.99
2015-01-01,54.99
2015-01-04,54.99
2015-01-05,69.99
2015-01-07,69.99
2015-01-08,69.99
2015-01-11,59.99
2015-01-13,59.99
2015-01-25,69.99
2015-01-28,68.99
