Time,Price
2012-06-01,134.99
2012-06-02,129.99
2012-06-07,134.99
2012-06-10,129.99
2012-06-10,123.49
2012-06-11,129.99
2012-06-13,129.99
2012-06-15,129
2012-06-16,129
2012-06-21,129
2012-06-22,129
2012-06-23,129.99
2012-06-24,129.99
2012-06-27,129
2012-06-29,129
2012-07-02,114.99
2012-07-03,114.99
2012-07-04,114.99
2012-07-04,114.99
2012-07-05,114.99
2012-07-06,114.99
2012-07-08,114.99
2012-07-10,114.99
2012-07-10,114.99
2012-07-11,114.99
2012-07-11,114.99
2012-07-16,114.99
2012-07-17,114.99
2012-07-18,114.99
2012-07-18,114.99
2012-07-19,114.99
2012-07-19,114.99
2012-07-21,114.99
2012-07-21,114.99
2012-07-22,114.99
2012-07-26,114.99
2012-07-26,114.99
2012-07-31,114.99
2012-08-03,114
2012-08-04,114
2012-08-06,114
2012-08-07,114.99
2012-08-07,114.99
2012-08-07,114.99
2012-08-08,114.99
2012-08-10,114.99
2012-08-11,114.99
2012-08-12,114.94
2012-08-15,114.94
2012-08-16,114
2012-08-17,114
2012-08-17,114
2012-08-17,114
2012-08-21,114
2012-08-22,113.2
2012-08-23,114
2012-08-23,114
2012-08-24,114
2012-08-27,114
2012-08-27,114
2012-08-28,114
2012-08-30,114
2012-08-31,112.98
2012-09-03,112.98
2012-09-03,112.98
2012-09-03,112.98
2012-09-04,114
2012-09-10,112.95
2012-09-13,112.99
2012-09-13,112.99
2012-09-15,114
2012-09-18,112.99
2012-09-19,112.99
2012-09-19,112.99
2012-09-21,112.99
2012-09-22,112.99
2012-09-23,112.99
2012-09-24,112.99
2012-09-25,114
2012-09-25,112.99
2012-09-25,112.99
2012-09-26,112.99
2012-09-26,112.99
2012-09-27,112.99
2012-09-28,112.99
2012-09-29,114
2012-09-29,112.99
2012-10-02,108.98
2012-10-03,108.98
2012-10-04,108.98
2012-10-06,108.98
2012-10-08,108.98
2012-10-09,108.98
2012-10-10,108.98
2012-10-11,107.99
2012-10-11,107.99
2012-10-11,107.99
2012-10-12,107.99
2012-10-12,107.99
2012-10-15,107.99
2012-10-17,107.99
2012-10-18,107.99
2012-10-19,107.99
2012-10-20,99.99
2012-10-23,99.99
2012-10-24,99.99
2012-10-25,99.99
2012-10-25,99.99
2012-10-31,99.99
2012-11-02,99.99
2012-11-03,99.99
2012-11-03,99.99
2012-11-05,99.99
2012-11-06,99.99
2012-11-06,99.99
2012-11-13,99.99
2012-11-20,99.99
2012-11-20,99
2012-11-22,99
2012-11-23,99
2012-11-24,99
2012-11-24,99
2012-11-25,99
2012-11-25,99
2012-11-27,99.99
2012-11-28,99.99
2012-11-29,99.99
2012-11-30,99.99
2012-11-30,99.99
2012-11-30,99.99
2012-11-30,99.99
2012-12-01,99.99
2012-12-02,99.99
2012-12-02,99.99
2012-12-03,99.99
2012-12-03,99.99
2012-12-04,99.99
2012-12-04,99.99
2012-12-05,99.99
2012-12-05,99.99
2012-12-06,99.99
2012-12-06,99.99
2012-12-06,99.99
2012-12-07,99.99
2012-12-07,99.99
2012-12-07,99.99
2012-12-09,99
2012-12-10,99
2012-12-10,99
2012-12-12,99
2012-12-14,99
2012-12-15,99
2012-12-15,99
2012-12-17,99
2012-12-18,99
2012-12-18,99
2012-12-21,99.99
2012-12-21,99.99
2012-12-22,99
2012-12-26,99
2012-12-28,99
2012-12-28,99
2012-12-29,99
2012-12-31,99.99
2013-01-02,99.99
2013-01-03,99.99
2013-01-04,99.99
2013-01-05,99.99
2013-01-06,99.99
2013-01-10,97.99
2013-01-11,97.99
2013-01-12,97.99
2013-01-13,97.99
2013-01-15,97.99
2013-01-15,97.99
2013-01-16,97.99
2013-01-17,97.99
2013-01-19,97.58
2013-01-20,97.58
2013-01-20,92.99
2013-01-21,92.99
2013-01-21,92.99
2013-01-22,92.99
2013-01-23,79.99
2013-01-24,79.99
2013-01-24,79.99
2013-01-25,92.99
2013-01-25,92.99
2013-01-27,92.99
2013-01-27,92.99
2013-01-28,92.99
2013-01-29,92.99
2013-01-30,92.99
2013-01-31,92.99
2013-02-01,92.99
2013-02-07,92.99
2013-02-07,92.99
2013-02-08,92.99
2013-02-08,92.99
2013-02-09,92.99
2013-02-09,92.99
2013-02-09,92.99
2013-02-10,92.99
2013-02-10,92.99
2013-02-11,89
2013-02-12,89
2013-02-12,89
2013-02-12,89
2013-02-13,89
2013-02-13,89
2013-02-15,89
2013-02-15,89
2013-02-16,89
2013-02-17,89
2013-02-18,89
2013-02-18,89
2013-02-19,89
2013-02-20,89
2013-02-21,89
