Time,Price
2012-12-13,79.99
2012-12-27,76.47
2013-01-10,89.87
2013-01-17,88.51
2013-01-24,86.22
2013-01-29,93.06
2013-02-10,77.75
2013-02-16,78.13
2013-02-22,75.07
2013-03-01,75.93
2013-03-09,79.99
2013-03-14,74.99
2013-03-22,77.3
2013-03-27,77.08
2013-04-01,79.99
2013-04-06,75.73
2013-04-11,68.71
2013-04-17,68.6
2013-04-26,68.6
2013-05-02,69.99
2013-05-03,68.63
2013-05-05,68.62
2013-05-06,59.99
2013-05-11,59.99
2013-05-12,67.06
2013-05-13,65.78
2013-05-14,64.73
2013-05-14,64.73
2013-05-15,66.76
2013-05-16,68.48
2013-05-17,68.63
2013-05-18,65.85
2013-05-19,68.69
2013-05-20,59.99
2013-05-22,59.99
2013-05-30,59.99
2013-05-31,59.99
2013-06-06,68.16
2013-06-08,69.34
2013-06-23,69.89
2013-06-29,59.99
2013-06-30,59.99
2013-07-02,59.99
2013-07-03,59.99
2013-07-04,59.99
2013-07-05,59.99
2013-07-07,59.99
2013-07-09,59.99
2013-07-11,59.99
2013-07-12,59.99
2013-07-14,54.94
2013-07-17,54.94
2013-07-20,54.94
2013-07-22,54.94
2013-07-25,69.99
2013-07-26,69.99
2013-07-28,69.99
2013-07-29,78.75
2013-07-31,72.99
2013-08-01,73.44
2013-08-03,70.66
2013-08-04,59.99
2013-08-06,59.99
2013-08-07,59.99
2013-08-09,59.99
2013-08-10,59.99
2013-08-12,79.99
2013-08-21,73.65
2013-08-22,73.9
2013-08-24,76.47
2013-08-25,76.51
2013-08-27,73.56
2013-08-29,73.56
2013-08-31,73.6
2013-09-02,59.99
2013-09-04,59.99
2013-09-05,59.99
2013-09-07,59.99
2013-09-13,59.99
2013-09-14,59.99
2013-09-20,59.99
2013-09-20,59.99
2013-09-22,59.99
2013-09-23,59.99
2013-09-26,59.99
2013-09-27,59.99
2013-09-29,59.99
2013-09-30,49.99
2013-10-02,49.99
2013-10-03,49.99
2013-10-08,49.99
2013-10-10,49.99
2013-10-11,49.99
2013-10-12,49.99
2013-10-13,49.99
2013-10-16,49.99
2013-10-17,70.09
2013-10-18,69.19
2013-10-19,69.19
2013-10-19,69.19
2013-10-20,70.09
2013-10-22,70.09
2013-10-23,70.09
2013-10-24,70.09
2013-10-26,72.85
2013-10-27,72.85
2013-10-27,72.85
2013-10-29,72.85
2013-10-30,73.48
2013-10-30,73.48
2013-11-01,49.99
2013-11-04,49.99
2013-11-05,49.99
2013-11-07,49.99
2013-11-08,73.48
2013-11-10,73.48
2013-11-10,73.48
2013-11-11,73.47
2013-11-13,73.47
2013-11-13,73.46
2013-11-19,73.44
2013-11-21,73.39
2013-11-22,69.15
2013-11-24,49.99
2013-11-25,73.04
2013-11-27,73.03
2013-11-27,73.03
2013-11-28,73.07
2013-11-28,73.04
2013-11-29,73.04
2013-12-02,72.22
2013-12-02,73.08
2013-12-02,73.59
2013-12-03,73.55
2013-12-03,71.03
2013-12-04,49.99
2013-12-05,71.03
2013-12-06,71.03
2013-12-06,71.03
2013-12-08,71.03
2013-12-08,71.03
2013-12-11,71.03
2013-12-11,71.03
2013-12-13,71.03
2013-12-14,84.19
2013-12-16,73.55
2013-12-17,72.9
2013-12-18,73.55
2013-12-18,72.69
2013-12-19,72.69
2013-12-20,73.56
2013-12-22,74.89
2014-01-01,73.55
2014-01-05,73.55
2014-01-06,74.89
2014-02-09,73.99
2014-02-11,73.99
2014-02-14,73.99
2014-02-17,73.99
2014-02-19,73.99
2014-03-03,69.99
2014-04-09,69.99
2014-04-11,69.99
2014-04-14,69.99
2014-04-17,69.99
2014-04-19,69.99
2014-05-14,74.95
2014-08-30,62.99
2014-09-28,72.99
2014-10-02,72.99
2014-11-08,77.01
2014-12-02,59.99
2014-12-04,59.99
2014-12-07,59.99
2014-12-07,59.99
2014-12-11,74.99
2014-12-12,74.99
2014-12-13,74.99
2014-12-13,74.99
2014-12-14,74.99
2014-12-16,49.99
2014-12-18,74.99
2014-12-18,74.99
2014-12-19,74.99
2014-12-25,79.99
2014-12-29,88.24
2014-12-31,90.86
2014-12-31,93.79
2015-01-01,92.89
2015-01-02,93.89
2015-07-31,94.45
2015-09-21,86.57
2015-11-12,74.57
2016-02-04,77.95
2016-02-04,77.94
2016-02-05,76.99
2016-02-11,76.99
2016-02-12,76.99
2016-02-13,76.95
2016-02-15,76.88
2016-03-24,72.96
2016-04-06,76.11
2016-05-12,76.56
2016-05-13,69.99
2016-05-18,76.14
2016-06-01,79
2016-07-21,69.99
2016-07-23,69.99
2016-07-24,80.63
2016-10-30,75.76
2016-10-30,73.88
2016-11-05,76.34
2016-11-09,76.34
2016-11-11,76.56
2016-11-13,76.56
2016-11-17,76.56
2016-11-20,74.87
2016-11-20,74.86
2016-11-23,74.87
2016-11-27,74.49
2016-11-28,74.49
2016-11-30,74.49
2016-12-03,74.87
2016-12-05,74.87
