Time,Price
2013-03-19,24.01
2013-03-22,24.01
2013-03-29,14.99
2013-04-01,23.79
2013-04-08,14.99
2013-04-13,14.99
2013-04-17,21.42
2013-04-26,14.99
2013-05-02,23.16
2013-05-15,22.5
2013-05-27,22.44
2013-07-25,12.99
2013-11-26,12.99
2013-11-28,19.42
2013-11-29,19.42
2013-11-29,19.42
2013-12-01,17.92
2013-12-01,8.99
2013-12-02,19.18
2013-12-02,19.18
2013-12-02,19.18
2013-12-04,19.98
2013-12-05,19.31
2013-12-05,19.3
2013-12-06,19.67
2013-12-08,18.99
2013-12-09,19.35
2013-12-11,18.79
2013-12-11,18.44
2013-12-12,19.01
2013-12-12,18.27
2015-11-17,18.05
2016-12-04,11.99
2016-12-05,11.99
