Time,Price
2014-06-18,36.95
2016-01-17,36.95
2016-01-17,36.95
2016-01-19,36.95
2016-01-20,36.95
2016-01-21,36.95
2016-01-28,36.95
2016-01-28,36.95
2016-01-30,36.95
2016-02-05,36.95
2016-02-12,36.95
2016-04-02,36.95
2016-04-10,36.95
2016-04-11,36.95
2016-04-19,36.95
2016-05-16,36.95
2016-05-21,36.95
2016-05-29,36.95
2016-06-08,36.95
2016-07-06,36.95
2016-07-09,36.95
2016-07-11,36.95
2016-07-15,36.95
2016-07-18,36.95
2016-07-19,36.95
2016-07-28,36.95
2016-08-08,36.95
2016-08-30,36.95
2016-09-10,36.95
2016-09-14,36.95
2016-12-05,36.95
2016-12-06,36.95
