Time,Price
2012-06-01,13.68
2012-06-21,8.96
2012-07-03,13.68
2012-07-10,8
2012-08-28,13.68
2012-10-11,13.68
2012-10-30,13.68
2012-10-31,13.68
2012-11-12,13.68
2012-11-14,13.68
2013-04-18,8.96
2013-05-08,8.96
2013-05-09,8.96
2013-05-10,8
2013-05-29,8
2013-05-29,8
2013-06-19,8
2013-06-22,8
2013-07-02,8
2013-07-05,8
2013-07-08,8
2013-07-11,8
2013-07-14,8
2013-07-26,8
2013-08-04,8
2013-08-07,8.96
2013-08-10,8.96
2013-11-23,8
2013-11-29,8
2013-12-12,15.48
2014-01-10,8
2014-01-13,8
2014-01-18,15.48
2014-01-21,15.23
2014-11-18,16.84
2016-11-25,16.84
2014-06-08,8.96
2014-08-01,8.00
2015-01-13,8.96
2016-01-25,16.23
2016-05-13,15.52
2016-10-12,16.97
2016-11-25,9.44
2016-11-26,9.44
