Time,Price
2012-06-02,21.85
2012-06-21,22.93
2012-07-19,22.09
2012-08-24,22.81
2012-09-11,25.11
2012-09-18,16.52
2012-11-10,21.97
2012-11-15,21.61
2012-12-15,22.16
2012-12-24,23.17
2013-01-24,23.17
2013-01-25,16.52
2013-01-26,16.52
2013-01-30,16.52
2013-02-01,16.52
2013-02-08,16.52
2013-03-15,21.61
2013-03-18,22.69
2013-03-21,21.61
2013-04-23,21.73
2013-04-28,21.73
2013-05-02,21.37
2013-05-31,20.17
2013-06-04,20.17
2013-06-06,20.17
2013-06-06,20.17
2013-06-09,20.17
2013-06-09,20.17
2013-07-14,25.11
2013-07-23,25.11
2013-08-01,20.94
2013-08-02,20.97
2013-08-04,21.16
2013-08-05,21.16
2013-08-07,21.66
2013-08-08,21.66
2013-08-10,21.85
2013-09-02,16.52
2013-09-13,16.52
2013-09-19,16.52
2013-09-27,21.37
2013-10-03,21.85
2013-10-08,16.52
2013-11-04,16.52
2013-11-06,16.52
2013-11-10,21.25
2013-11-27,21.25
2013-12-02,25.11
2013-12-12,24.91
2013-12-23,24.91
2013-12-24,23.54
2013-12-27,23.86
2013-12-30,23.47
2014-01-02,23.71
2014-01-13,23.71
2014-01-16,23.71
2014-01-18,24.91
2014-01-21,25.11
2014-01-30,25.11
2014-01-31,25.11
2014-02-07,25.11
2014-02-12,25.11
2014-02-19,25.11
2014-03-01,25.11
2014-03-02,25.11
2014-03-05,25.11
2014-03-13,25.11
2014-03-17,25.11
2014-04-11,25.11
2014-04-24,25.11
2014-05-08,25.11
2014-06-05,24.91
2014-06-07,24.91
2014-06-14,24.91
2014-09-04,25.11
2016-11-25,25.11
2014-06-08,21.85
2015-04-23,16.52
2016-11-25,44.09
2016-11-26,44.09
