Time,Price
2012-06-02,20.31
2012-06-27,20.31
2012-08-11,20.31
2012-08-13,20.26
2012-08-13,20.31
2012-10-30,20.31
2012-11-10,20.31
2012-11-13,20.17
2012-11-13,20.05
2012-11-14,20.31
2013-01-18,20.17
2013-01-18,19.24
2013-01-19,19.11
2013-01-19,20.31
2013-01-29,20.31
2013-01-31,20.31
2013-03-21,19.71
2013-03-22,19.42
2013-03-22,18.31
2013-03-22,18.04
2013-03-23,17.24
2013-03-24,17.13
2013-03-24,17.13
2013-03-25,17.12
2013-03-25,17.12
2013-03-26,17.44
2013-03-26,17.44
2013-03-26,17.44
2013-03-27,17.35
2013-03-27,20.31
2013-05-01,20.31
2013-05-10,20.31
2013-05-24,20.31
2013-05-26,20.31
2013-06-05,20.31
2013-06-06,20.31
2013-06-07,20.31
2013-06-07,20.31
2013-06-07,20.31
2013-06-08,20.31
2013-06-10,20.31
2013-06-11,20.31
2013-06-14,20.31
2013-06-18,20.31
2013-06-21,20.31
2013-06-21,20.31
2013-06-22,20.31
2013-06-24,20.31
2013-06-27,20.31
2013-06-30,20.31
2013-07-03,19.92
2013-07-03,19.92
2013-07-05,20.31
2013-07-06,20.31
2013-07-09,20.31
2013-07-11,19.35
2013-07-12,19.28
2013-07-12,19.22
2013-07-13,19.05
2013-07-13,18.89
2013-07-15,19.35
2013-07-18,20.04
2013-07-18,20.04
2013-07-20,19.35
2013-07-22,20.31
2013-07-25,20.31
2013-07-31,20.31
2013-08-01,22.06
2013-08-03,19.24
2013-08-03,20.38
2013-08-04,22.06
2013-08-06,22.06
2013-08-09,21.31
2013-08-10,21.79
2013-08-12,21.78
2013-08-14,22.06
2013-08-21,21.19
2013-08-21,21.57
2013-08-25,20.27
2013-08-29,21.73
2013-09-01,21.12
2013-09-01,21.93
2013-09-05,22.06
2013-09-06,22.06
2013-09-13,22.27
2013-09-14,21.48
2013-09-15,22.27
2013-09-16,19.09
2013-09-20,20.1
2013-09-21,22.15
2013-09-23,22.15
2013-09-26,22.12
2013-09-27,22.47
2013-09-29,22.55
2013-10-01,21.2
2013-10-01,20.23
2013-10-02,20.23
2013-10-04,21.78
2013-10-06,22.1
