Time,Price
2013-03-08,25.21
2013-03-23,24.98
2013-04-10,25.21
2013-05-23,26.74
2013-06-02,27.01
2013-06-07,26.74
2013-06-07,26.74
2013-06-08,26.74
2013-06-22,26.78
2013-06-25,26.78
2013-06-28,26.78
2013-07-01,27.31
2013-07-04,27.31
2013-07-04,26.74
2013-07-13,26.74
2013-07-16,26.74
2013-07-19,26.74
2013-07-22,26.74
2013-07-25,26.74
2013-07-28,26.74
2013-07-29,26.74
2013-07-31,26.74
2013-08-01,27.2
2013-08-03,23.73
2013-08-03,23.73
2013-08-06,27.2
2013-08-06,27.2
2013-08-07,27.2
2013-08-10,27.2
2013-08-13,27.2
2013-08-22,27.2
2013-08-29,27.2
2013-09-04,27.2
2013-09-07,27.2
2013-09-07,27.2
2013-09-14,27.2
2013-09-14,27.2
2013-09-15,27.2
2013-09-17,27.19
2013-09-18,27.19
2013-09-20,27.19
2013-09-21,27.19
2013-09-23,27.19
2013-09-26,27.19
2013-09-26,27.19
2013-09-29,25.25
2013-09-30,25.21
2013-10-01,25.25
2013-10-03,25.25
2013-10-03,25.25
2013-10-04,25.21
2013-10-06,25.25
2013-10-06,25.25
2013-10-07,25.21
2013-10-09,25.21
2013-10-09,25.21
2013-10-10,25.21
2013-10-12,25.25
2013-10-12,25.25
2013-10-13,25.25
2013-10-14,25.21
2013-10-17,25.21
2013-10-17,25.21
2013-10-18,25.25
2013-10-19,25.21
2013-10-20,25.21
2013-10-21,25.21
2013-10-23,25.21
2013-10-24,25.21
2013-10-24,25.21
2013-10-26,25.21
2013-10-27,25.21
2013-10-27,25.21
2013-10-30,27.57
2013-10-30,27.57
2013-11-02,27.57
2013-11-02,27.57
2013-11-05,27.57
2013-11-08,27.57
2013-11-09,27.31
2013-11-10,27.31
2013-11-11,27.31
2013-11-12,21.8
2013-11-22,21.8
2013-11-22,21.8
2013-11-24,27.31
2013-11-25,27.31
2013-11-28,27.31
2013-11-29,27.31
2013-12-01,27.31
2013-12-02,27.31
2013-12-04,27.31
2013-12-07,27.31
2013-12-11,27.31
2013-12-11,27.31
2013-12-14,27.31
2013-12-14,27.31
2013-12-17,27.31
2013-12-22,27.31
2013-12-25,27.31
2013-12-29,27.31
2014-01-01,27.31
2014-01-02,27.31
2014-01-04,27.31
2014-01-05,27.31
2014-01-08,27.31
2014-01-09,27.31
2014-01-11,27.3
2014-01-12,27.31
2014-01-17,27.31
2014-01-20,27.31
2014-01-21,27.31
2014-01-29,27.31
2014-01-30,25.21
2014-02-01,27.31
2014-02-05,27.31
2014-02-05,27.31
2014-02-28,27.31
2014-03-03,27.31
2014-03-04,27.31
2014-03-06,27.31
2014-03-07,27.31
2014-03-10,27.31
2014-03-12,27.31
2014-03-15,27.31
2014-03-16,27.31
2014-03-18,27.31
2014-03-19,27.31
2014-03-22,27.31
2014-03-23,27.31
2014-04-08,27.31
2014-04-17,27.31
2014-05-02,27.31
2014-08-04,27.31
2014-08-28,26.72
2014-08-30,29.95
2014-09-25,27.31
2015-01-04,27.31
2015-01-04,27.31
2015-03-22,27.31
2015-04-01,34.5
2015-04-04,34.5
2015-04-23,34.28
2015-04-26,34.5
2015-04-29,32.22
2015-05-02,32.25
2015-05-03,32.22
2015-05-07,32.25
2015-05-13,34.5
2015-06-15,34.5
2015-06-17,34.5
2015-06-25,32.77
2015-07-05,33.06
2015-07-10,33.45
2015-09-04,34.5
2015-09-05,34.5
2015-09-19,35.8
2015-09-23,36.25
2015-09-23,36.25
2015-09-26,34.43
2015-09-26,34.42
2015-09-28,34.41
2015-10-02,34.38
2015-10-03,34.22
2015-11-04,34
2015-11-08,34.03
2015-11-08,34.01
2015-11-12,34
2015-11-19,32.3
2016-02-19,32.31
2016-03-17,32.3
2016-03-24,36.25
2016-04-14,32.34
2016-04-14,32.32
2016-04-27,30.64
2016-04-27,30.65
2016-05-01,30.64
2016-05-11,32.95
2016-05-15,32.93
2016-05-18,32.9
2016-05-25,32.82
2016-05-25,32.49
2016-05-28,32.31
2016-09-20,32.05
2016-11-25,32.05
