Time,Price
2012-06-03,11.08
2012-08-24,13.28
2012-09-11,11.48
2012-11-07,11.56
2012-12-07,11.56
2012-12-07,11.35
2012-12-08,11.35
2012-12-09,11.56
2012-12-11,13.28
2012-12-12,11.56
2013-01-12,11.96
2013-02-17,10.16
2013-02-18,11.96
2013-03-29,10.16
2013-04-02,11.95
2013-04-03,11.79
2013-04-07,11.96
2013-06-02,12.36
2013-06-08,12.36
2013-07-14,12.36
2013-07-16,12.36
2013-08-03,11.81
2013-08-05,11.4
2013-08-22,11.35
2013-09-04,11.34
2013-09-07,10.52
2013-09-14,12.36
2013-09-23,10.52
2013-09-30,12.36
2013-10-03,10.52
2013-10-17,12.36
2013-10-26,9.88
