Time,Price
2012-06-02,16.62
2012-06-21,16.14
2012-07-23,15.36
2012-07-30,15.36
2012-08-24,14.46
2012-09-04,14.46
2012-09-04,14.46
2012-09-23,14.36
2012-09-24,14.18
2012-10-16,14
2012-10-17,14.06
2012-10-18,13.77
2012-10-24,13.79
2012-10-24,13.73
2012-10-25,13.73
2012-10-26,14.18
2012-11-15,14.24
2012-12-14,13.94
2013-02-01,14.3
2013-02-13,12
2013-03-11,14
2013-03-11,13.94
2013-03-17,14
2013-03-18,13.94
2013-03-21,14
2013-05-02,13.94
2013-05-31,13.7
2013-06-04,13.7
2013-06-05,13.7
2013-06-08,13.7
2013-06-08,13.7
2013-07-04,13.7
