Time,Price
2012-06-02,18.33
2012-10-10,18.33
2012-10-11,18.33
2012-10-18,18.33
2012-10-21,18.33
2012-11-19,18.33
2012-12-10,18.33
2012-12-11,18.33
2012-12-12,18.33
2012-12-16,18.33
2012-12-17,18.33
2013-01-13,18.33
2013-01-22,18.33
2013-02-07,19.08
2013-02-08,19.08
2013-02-09,19.08
2013-02-11,19.08
2013-02-18,19.08
2013-02-19,19.08
2013-02-21,19.08
2013-02-27,19.08
2013-03-05,19.08
2013-03-06,19.08
2013-03-10,19.08
2013-03-11,19.08
2013-03-12,19.08
2013-03-13,19.08
2013-03-20,18.8
2013-03-20,18.25
2013-03-20,17.98
2013-03-21,17.72
2013-03-21,17.61
2013-03-22,17.8
2013-03-22,17.8
2013-03-23,19.08
2013-03-24,19.08
2013-03-25,18.41
2013-03-25,17.76
2013-03-25,17.55
2013-03-26,17.01
2013-03-26,17.01
2013-03-27,17.97
2013-03-27,17.97
2013-03-29,17.39
2013-03-29,17.35
2013-03-30,17.59
2013-03-30,17.59
2013-03-31,18.03
2013-03-31,18.03
2013-04-01,17.68
2013-04-02,17.11
2013-04-02,16.42
2013-04-03,18.68
2013-04-04,17.75
2013-04-04,17.75
2013-04-05,18.89
2013-04-05,19.08
2013-04-10,19.08
2013-04-10,19.08
2013-04-11,17.7
2013-04-11,19.08
2013-04-14,19.08
2013-04-14,19.08
2013-04-16,19.08
2013-04-18,18.69
2013-04-19,18.33
2013-04-22,19.08
2013-05-12,19.08
2013-05-15,19.08
2013-05-17,19.08
2013-05-18,19.08
2013-06-05,19.08
2013-06-05,19.08
2013-06-05,19.08
2013-06-07,19.08
2013-06-08,19.08
2013-06-10,19.08
2013-06-11,19.08
2013-06-14,19.08
2013-06-17,19.08
2013-06-21,19.08
2013-06-24,19.08
2013-06-27,19.08
2013-06-29,19.08
2013-06-30,19.08
2013-07-03,19.08
2013-07-06,19.08
2013-07-09,19.08
2013-07-12,19.08
2013-07-14,19.08
2013-07-15,19.08
2013-07-16,19.08
2013-07-18,19.08
2013-07-22,19.08
2013-07-25,19.08
2013-07-26,19.08
2013-07-28,19.08
2013-07-31,19.08
2013-07-31,19.08
2013-08-01,21.6
2013-08-03,21.6
2013-08-03,21.6
2013-08-05,21.6
2013-08-12,21.6
2013-08-13,21.6
2013-08-22,21.6
2013-08-28,21.6
2013-08-29,21.6
2013-08-30,21.6
2013-09-01,21.6
2013-09-04,21.6
2013-09-06,21.6
2013-09-14,21.6
2013-09-16,21.6
2013-09-16,21.6
2013-09-17,21.6
2013-09-20,21.6
2013-09-23,21.6
2013-09-23,21.6
2013-09-26,21.6
2013-09-29,21.6
2013-10-02,21.6
2013-10-03,21.6
2013-10-06,21.6
2013-10-06,21.6
2013-10-09,21.6
2013-10-12,21.6
2013-10-17,21.6
2013-10-20,21.6
2013-10-23,21.6
2013-10-26,21.6
2013-10-28,21.6
2013-10-29,21.6
2013-10-29,21.6
2013-10-30,21.6
2013-10-30,21.6
2013-11-01,21.6
2013-11-04,21.6
2013-11-05,21.6
2013-11-07,21.39
2013-11-11,21.6
2013-11-21,21.6
2013-11-25,21.6
2013-12-11,21.6
2013-12-14,21.6
2013-12-17,21.6
2013-12-22,21.6
2013-12-25,21.6
2013-12-25,21.6
2013-12-26,21.6
2013-12-28,21.6
2013-12-29,21.6
2013-12-31,21.6
2014-01-04,21.6
2014-01-07,21.6
2014-01-08,21.6
2014-01-09,21.6
2014-01-29,21.6
2014-01-30,21.6
2014-02-01,21.6
2014-02-04,21.6
2014-02-05,21.6
2014-02-05,21.6
2014-02-07,21.6
2014-02-10,21.6
2014-02-13,21.6
2014-02-14,21.6
2014-02-17,21.6
2014-02-19,21.6
2014-02-20,21.6
2014-02-24,21.6
2014-02-26,21.6
2014-02-27,21.6
2014-03-02,21.6
2014-03-06,21.6
2014-03-06,21.6
2014-03-09,21.6
2014-03-11,21.6
2014-03-14,21.6
2014-03-18,21.6
2014-03-21,21.6
2014-03-22,21.6
2014-03-23,21.6
2014-04-08,21.6
2014-04-13,21.6
2014-04-14,21.6
2014-04-17,21.6
2014-04-26,21.6
2014-05-03,21.6
2014-05-09,21.6
2014-05-16,21.6
2014-05-18,21.6
2014-05-19,21.6
2014-05-24,21.6
2014-06-01,21.6
2014-06-09,21.6
2014-07-11,21.6
2014-07-14,21.6
2014-10-31,21.6
