Time,Price
2012-06-03,27.36
2012-06-21,27.43
2012-07-02,27.43
2012-07-06,23.7
2012-08-20,23.7
2012-08-24,24.15
2012-09-04,23.65
2012-09-05,23.65
2012-09-05,23.39
2012-09-10,24.36
2012-09-12,26.82
2012-09-13,24.36
2012-09-21,20.7
2012-09-28,24.36
2012-11-07,24.54
2012-12-03,24.54
2012-12-03,24.54
2012-12-16,20.88
2012-12-23,24.54
2013-02-08,20.88
2013-02-12,24.54
2013-02-15,20.88
2013-02-15,20.88
2013-02-18,24.54
2013-04-12,20.88
2013-04-16,24.54
2013-05-09,20.88
2013-05-19,24.54
2013-06-01,25.74
2013-06-16,25.74
2013-07-10,25.99
2013-07-15,22.38
2013-07-20,26.34
2013-08-05,23.7
2013-08-26,25.99
2013-08-31,26.04
2013-09-15,25.99
2013-09-18,26.04
2013-09-19,25.99
2013-10-02,22.38
2013-10-22,26.34
2013-11-11,22.38
2013-11-23,22.38
2013-11-30,25.99
2013-12-03,26.34
2013-12-07,25.99
2013-12-09,26.34
2013-12-22,25.99
2014-01-01,25.99
2014-01-29,26.34
2014-02-04,25.99
2014-02-09,26.34
2014-02-21,25.99
2014-02-26,25.99
2014-03-02,25.99
2014-03-07,26.34
2014-03-10,25.99
2014-03-17,25.99
2014-03-21,25.99
2014-04-09,26.14
2014-05-04,25.99
2014-05-09,25.49
2014-05-14,25.99
2014-06-08,25.55
2014-08-19,24.13
2014-10-15,25.55
2014-11-27,25.99
2014-12-02,26.34
2015-02-18,25.99
2015-03-15,22.38
2015-03-23,25.99
2015-04-26,26.25
2015-05-05,26.21
2015-05-12,22.38
2015-05-31,24.8
2015-06-22,24.77
2015-06-27,24.75
2015-07-06,24.72
2015-07-20,24.7
2015-07-26,24.69
2015-08-15,24.58
2015-08-21,24.55
2015-09-11,25.36
2015-11-06,25.95
2015-11-21,24.42
2015-11-30,24.41
2015-12-13,24.36
2016-01-14,24.42
2016-02-06,24.27
2016-02-22,24.42
2016-03-19,24.38
2016-04-01,24.31
2016-04-29,24.42
2016-05-13,19.56
2016-11-25,19.56
