Time,Price
2012-06-18,26.26
2012-06-25,26.26
2012-06-27,25.98
2012-07-09,26.04
2012-07-11,26.03
2012-07-12,26.04
2012-07-14,26.04
2012-11-24,25.99
2012-12-07,28.53
2012-12-08,25.99
2012-12-09,28.53
2012-12-10,31.51
2013-02-20,26.3
2013-04-03,26.12
2013-04-10,25.52
2013-04-21,24.22
2013-04-28,24.11
2013-05-01,24.11
2013-05-07,24.11
2013-05-13,23.81
2013-05-16,23.81
2013-05-17,21.76
2013-05-18,21.94
2013-05-20,22.15
2013-05-21,22
2013-05-22,22
2013-05-22,22.02
2013-05-23,22.56
2013-05-24,22.36
2013-05-25,21.96
2013-05-26,22.96
2013-05-31,22.29
2013-06-02,22.28
2013-06-03,22.62
2013-06-04,23.9
2013-06-10,22.85
2013-06-11,23.01
2013-06-17,23.1
2013-06-21,22.57
2013-06-24,22.67
2013-06-27,21.67
2013-06-30,22.16
2013-07-03,22.96
2013-07-09,27.44
2013-07-12,22.96
2013-07-15,25.52
2013-08-03,22.71
2013-08-06,22.55
2013-08-09,22.65
2013-08-12,21.89
2013-08-21,22.56
2013-08-28,22.73
2013-09-01,22.16
2013-09-04,22.45
2013-09-06,22.63
2013-09-13,21.84
2013-09-16,22.67
2013-09-19,22.33
2013-09-23,22.2
2013-09-26,22.57
2013-09-29,21.8
2013-10-02,22.29
2013-10-05,22.08
2013-10-09,22.4
2013-10-17,21.77
2013-10-20,22.65
2013-10-23,22.96
2013-10-26,22.17
2013-10-29,22.52
2013-11-01,22.42
2013-11-04,22.34
2013-11-07,22.1
2013-11-11,21.98
2013-11-21,22.07
2013-11-24,22.49
2013-11-27,22.32
2013-11-30,22.2
2013-12-04,22.49
2013-12-16,22.98
2013-12-22,22.94
2013-12-28,23.27
2013-12-31,22.99
2014-01-08,22.82
2014-01-19,22.99
2014-01-29,19.54
2014-02-01,19.54
2014-02-04,22.38
2014-02-07,22.99
2014-02-11,22.99
2014-02-14,22.99
2014-02-23,22.99
2014-02-27,22.99
2014-03-02,22.73
2014-03-06,22.99
2014-03-09,22.99
2014-03-14,22.47
2014-03-17,22.99
2014-03-21,22.07
2014-04-07,22.7
2014-04-12,22.68
2014-04-16,22.99
2014-04-25,22.99
2014-05-02,29.09
2014-06-03,23.92
2014-09-04,23.79
2014-09-19,25.92
2016-11-25,25.92
