Time,Price
2012-05-31,14.57
2012-06-21,14.61
2012-09-05,14.61
2012-09-05,14.61
2012-09-11,14.6
2012-10-20,14.58
2012-11-24,11.98
2012-12-01,14.57
2012-12-09,14.57
2012-12-09,11.98
2013-01-28,8.98
2013-01-30,19.51
2013-01-31,8.98
2013-02-15,13.98
2013-02-15,13.98
2013-02-19,13.98
2013-02-24,13.98
2013-03-25,14.5
2013-03-31,13.98
2013-04-28,13.98
2013-05-05,13.98
2013-06-04,13.98
2013-06-05,13.98
2013-06-05,13.98
2013-06-05,13.98
2013-06-05,13.98
2013-06-07,13.98
2013-06-07,13.98
2013-06-08,13.98
2013-06-08,13.98
2013-06-08,13.98
2013-06-08,13.98
2013-06-10,13.98
2013-06-10,13.98
2013-06-11,13.98
2013-06-11,13.98
2013-06-11,13.98
2013-06-12,13.98
2013-06-14,13.98
2013-06-14,13.98
2013-06-15,13.98
2013-06-18,13.98
2013-06-18,13.98
2013-06-19,13.98
2013-06-21,13.98
2013-06-21,13.98
2013-06-22,13.98
2013-06-24,13.98
2013-06-24,13.98
2013-06-25,13.98
2013-06-27,13.98
2013-06-28,12.78
2013-06-30,12.78
2013-07-01,12.78
2013-07-01,12.78
2013-07-03,12.78
2013-07-04,12.78
2013-07-04,12.78
2013-07-06,12.78
2013-07-07,12.78
2013-07-07,12.78
2013-07-09,12.78
2013-07-10,12.78
2013-07-10,12.78
2013-07-12,12.78
2013-07-13,12.78
2013-07-13,12.78
2013-07-13,12.78
2013-07-15,12.78
2013-07-18,12.78
2013-07-18,12.78
2013-07-22,12.78
2013-07-22,12.78
2013-07-22,12.78
2013-07-26,12.78
2013-07-28,12.78
2013-07-31,12.78
2013-07-31,12.78
2013-08-03,12.78
2013-08-03,12.78
2013-08-04,12.78
2013-08-09,12.78
2013-08-09,12.78
2013-08-12,12.78
2013-08-12,12.78
2013-08-13,11.98
2013-08-13,11.98
2013-08-21,17.26
2013-08-28,17.26
2013-09-01,17.26
2013-09-04,17.26
2013-09-07,17.26
2013-09-14,17.26
2013-09-17,17.26
2013-09-23,17.26
2013-09-24,17.26
2013-09-29,17.24
2013-10-03,17.34
2013-10-05,17.24
2013-10-09,17.24
2013-10-09,17.34
2013-10-13,17.24
2013-10-17,17.24
2013-10-17,17.3
2013-10-19,17.3
2013-10-23,17.3
2013-10-26,17.3
2013-10-29,17.3
2013-11-04,17.3
2013-11-05,17.18
2013-11-08,17.3
2013-11-11,17.3
2013-11-21,17.3
2013-11-22,17.17
2013-11-25,17.3
2013-12-05,19.96
2013-12-07,15.99
2013-12-10,15.99
2013-12-13,17.17
2013-12-16,19.73
2013-12-17,17.17
2013-12-29,17.31
2014-01-04,17.31
2014-01-05,17.31
2014-01-08,20.43
2014-01-08,20.43
2014-01-11,17.31
2014-01-16,17.31
2014-01-19,17.31
2014-01-20,17.31
2014-02-01,17.31
2014-02-04,17.31
2014-02-05,17.31
2014-02-11,17.31
2014-02-18,17.31
2014-02-20,17.31
2014-02-23,17.31
2014-02-27,17.31
2014-03-09,17.31
2014-03-14,17.31
2014-03-17,17.31
2014-03-21,17.31
2014-04-07,17.31
2014-04-09,17.31
2014-04-16,16
2014-04-19,17.31
2014-05-06,17.31
2014-05-17,17.31
2014-05-19,17.31
2014-06-24,17.31
2014-09-24,16.53
2014-09-27,17.31
2014-10-14,17.31
2014-11-04,14.38
2014-11-12,14.38
2014-11-21,14.38
2014-11-21,17.31
2014-11-28,17.9
2014-11-28,17.31
2014-12-01,17.9
2014-12-05,17.31
2014-12-29,17.31
2014-12-30,17.9
2015-02-14,17.01
2015-02-23,18.38
2015-03-11,18.38
2015-04-19,18.38
2015-04-21,18.38
2015-04-22,18.38
2015-04-25,18.38
2015-05-02,18.38
2015-05-03,18.38
2015-06-28,18.64
2015-07-07,18.38
2015-07-10,18.64
2015-07-10,18.64
2015-07-14,18.64
2015-07-15,18.38
2015-07-29,18.64
2015-08-05,18.38
2015-08-30,16.78
2015-08-30,16.78
2015-09-08,18.38
2015-09-22,16.78
2015-09-24,18.64
2015-09-26,16.78
2015-09-30,18.64
2015-11-12,18.64
2015-11-12,18.64
2015-12-10,27.99
2015-12-11,27.99
2015-12-14,18.64
2016-01-03,18.64
2016-01-09,18.64
2016-02-01,19.57
2016-02-14,31.97
2016-02-18,18.64
2016-02-19,17.96
2016-03-01,19.51
2016-04-02,29.97
2016-04-05,17.96
2016-09-19,17.92
2016-11-25,17.92
