Time,Price
2012-11-19,11.66
2012-12-04,11.66
2012-12-11,11.66
2013-01-28,11.66
2013-02-23,10.47
2013-04-17,9.87
2013-05-05,9.87
2013-05-06,9.87
2013-05-08,9.87
2013-05-08,9.87
2013-05-09,9.87
2013-05-10,9.87
2013-05-11,9.87
2013-05-12,9.87
2013-05-14,9.87
2013-05-22,9.87
2013-05-22,9.87
2013-06-22,9.87
2013-06-28,11.66
2013-07-02,11.66
2013-07-13,9.87
2013-07-16,9.87
2013-07-18,9.87
2013-07-20,9.87
2013-07-28,9.87
2013-08-01,9.87
2013-08-07,9.87
2013-09-15,9.87
2013-09-18,9.87
2013-09-24,9.87
2013-09-29,9.87
2013-10-03,9.87
2013-10-04,9.87
2013-10-07,9.87
2013-10-09,9.87
2013-10-16,9.87
2013-10-17,9.87
2013-10-18,9.87
2013-10-20,9.87
2013-10-22,9.87
2013-10-24,9.87
2013-10-25,9.87
2013-10-26,9.87
2013-11-21,9.87
2013-11-29,9.87
2013-12-01,9.87
2013-12-05,9.87
2013-12-07,5.49
2013-12-11,9.87
2013-12-12,9.87
2013-12-18,9.87
2013-12-22,9.87
2013-12-27,9.87
2014-01-02,9.87
2014-01-06,9.87
2014-01-09,9.87
2014-01-13,9.87
2014-01-17,9.87
2014-01-18,9.87
2014-01-20,9.87
2014-01-21,9.87
2014-01-29,9.87
2014-02-01,9.87
2014-02-03,9.87
2014-02-05,9.87
2014-02-08,9.87
2014-02-09,9.87
2014-02-11,9.87
2014-02-12,9.87
2014-02-14,9.87
2014-02-18,9.87
2014-02-19,9.87
2014-02-22,9.87
2014-02-25,9.87
2014-03-04,9.87
2014-03-12,9.87
2014-03-15,9.87
2014-03-19,9.87
2014-03-23,9.87
2014-07-10,16.58
2015-12-12,14.79
2015-12-16,14.78
2015-12-20,14.79
2015-12-24,14.82
2016-02-03,14.22
2016-02-29,14.22
