Time,Price
2012-06-12,25.27
2013-04-23,25.27
2013-04-28,25.27
2013-06-03,25.27
2013-06-05,25.27
2013-06-05,25.27
2013-06-05,25.27
2013-06-06,25.27
2013-06-08,25.27
2013-06-08,25.27
2013-06-09,25.27
2013-06-10,25.27
2013-06-15,25.27
2013-06-20,25.27
2013-06-21,25.27
2013-06-23,25.27
2013-06-29,25.27
2013-07-03,25.27
2013-07-06,25.27
2013-07-09,25.27
2013-07-12,25.27
2013-07-13,25.27
2013-07-18,25.27
2013-07-19,25.27
2013-07-21,25.27
2013-07-25,25.27
2013-07-25,25.27
2013-07-27,25.27
2013-07-29,25.27
2013-07-31,25.27
2013-08-02,23.58
2013-08-03,23.97
2013-08-04,23.19
2013-08-04,23.19
2013-08-05,24.25
2013-08-07,24.64
2013-08-08,24.21
2013-08-09,24.89
2013-08-10,25.39
2013-08-11,24.33
2013-08-13,24.68
2013-08-21,26.14
2013-08-22,25.99
2013-09-01,23.9
2013-09-03,23.9
2013-09-06,26.67
2013-09-06,24.39
2013-09-07,21.76
2013-09-13,25.26
2013-09-14,24.49
2013-09-16,22.73
2013-09-16,23.09
2013-09-19,23.09
2013-09-20,23.22
2013-09-22,25.39
2013-09-23,25.12
2013-09-24,25.12
2013-09-25,25.04
2013-09-28,24.64
2013-10-01,24.62
2013-10-03,24.99
2013-10-04,24.99
2013-10-05,25.55
2013-10-06,25.68
2013-10-08,25.02
2013-10-09,25.02
2013-10-11,25.62
2013-10-13,25.22
2013-10-14,25.37
2013-10-16,24.26
2013-10-17,25.03
2013-10-19,25.41
2013-10-20,25.01
2013-10-23,22.7
2013-10-25,25.29
2013-10-26,24.53
2013-10-26,25.93
2013-10-29,24.44
2013-10-31,23.81
2013-11-01,25.06
2013-11-01,24.17
2013-11-02,24.17
2013-11-03,23.64
2013-11-05,23.13
2013-11-05,23.13
2013-11-07,22.92
2013-11-07,23.49
2013-11-10,25.66
2013-11-11,24.23
2013-11-12,23.83
2013-11-13,23.51
2013-11-20,25.08
2013-11-21,25.08
2013-11-22,24.11
2013-11-24,25.02
2013-11-25,25.49
2013-11-27,23.61
2013-11-28,24.27
2013-11-30,23.98
2013-12-01,24.24
2013-12-02,23.98
2013-12-03,23.6
2013-12-04,24.53
2013-12-06,25.18
2013-12-07,25.55
2013-12-09,26.11
2013-12-09,26.16
2013-12-13,25.03
2013-12-14,25.34
2013-12-16,25.57
2013-12-16,25.4
2013-12-17,26.13
2013-12-21,26.13
2013-12-23,26.13
2013-12-24,27.57
2013-12-27,27.01
2013-12-28,27.01
2013-12-30,27.01
2014-01-03,28.38
2014-01-05,28.38
2014-01-07,27.74
2014-01-19,26.18
2014-01-22,26.18
2014-01-31,26.18
2014-02-01,25.87
2014-02-03,25.87
2014-02-07,25.87
2014-02-08,25.87
2014-02-10,25.43
2014-02-10,25.06
2014-02-11,25.19
2014-02-12,25.19
2014-02-16,28.04
2014-02-18,25.24
2014-02-20,25.24
2014-02-21,24.84
2014-02-21,24.84
2014-02-22,27.18
2014-02-23,25.57
2014-02-24,25.53
2014-02-24,25.53
2014-02-26,25.05
2014-02-28,25.18
2014-03-02,26.39
2014-03-02,26.39
2014-03-03,26.17
2014-03-05,25.13
2014-03-06,26.67
2014-03-08,26.97
2014-03-09,27.47
2014-03-11,28.64
2014-03-15,28.61
2014-03-17,31.63
2014-03-17,31.52
2014-03-18,32.48
2014-03-20,32.06
2014-03-20,30.65
2014-03-22,31.06
2014-03-24,32.6
2014-03-29,33.99
2014-04-06,27.54
2014-04-07,33.54
2014-04-08,33.08
2014-04-10,33.65
2014-04-12,33.14
2014-04-13,33.99
2014-04-14,33.99
2014-04-15,25.34
2014-04-17,25.97
2014-04-22,25.68
2014-04-24,26.1
2014-04-25,26.1
2014-04-26,25.69
2014-04-26,25.19
2014-04-28,25.51
2014-05-02,24
2014-05-05,24
2014-05-06,24
2014-05-09,24
2014-05-10,24
2014-05-13,24
2014-05-14,24
2014-05-18,24
2014-05-19,24
2014-05-22,24
2014-05-26,24
2014-06-04,25.91
2014-06-07,26.3
2014-06-08,26.3
2014-06-17,25.02
2014-06-20,25.77
2014-06-25,25.19
2014-07-03,24.98
2014-07-04,26.74
2014-07-06,25.3
2014-07-08,25.32
2014-07-09,25.79
2014-07-09,25.79
2014-07-11,26.16
2014-07-14,25.91
2014-07-26,25.37
2014-07-27,25.61
2014-07-28,25.63
2014-07-28,25.63
2014-07-29,25.63
2014-07-30,24.56
2014-08-04,26.34
2014-08-05,25.86
2014-08-06,25.86
2014-08-19,26.72
2014-08-21,26.72
2014-08-22,26.36
2014-08-26,26.92
2014-08-28,27.42
2014-08-30,26.25
2014-08-31,24.43
2014-09-03,26.38
2014-09-04,25.84
2014-09-05,25.84
2014-09-10,26.42
2014-09-11,26.11
2014-09-12,26.34
2014-09-15,25.68
2014-09-16,26.14
2014-09-17,25.59
2014-09-19,26
2014-09-20,26.15
2014-09-21,26.15
2014-09-22,26.77
2014-09-26,26.77
2014-09-28,26.53
2014-09-29,26.11
2014-10-01,26.02
2014-10-02,25.99
2014-10-03,25.73
2014-10-05,25.94
2014-10-06,26.15
2014-10-07,26.15
2014-10-08,26.15
2014-10-13,25.69
2014-11-03,27.02
2014-11-04,27.02
2014-11-05,25.86
2014-11-07,25.76
2014-11-09,25.87
2014-11-10,25.87
2014-11-11,32.75
2014-11-12,32.74
2014-11-19,32.99
2014-11-21,33.99
2014-11-23,32.82
2014-11-24,32.97
2014-11-26,33.23
2014-11-27,33.72
2014-11-29,33.03
2014-11-30,32.91
2014-12-02,33.05
2014-12-02,33.09
2014-12-04,26.9
2014-12-07,26.5
2014-12-16,26.09
2014-12-17,27.92
2014-12-19,28.01
2014-12-20,26.74
2014-12-23,27.57
2014-12-28,27.22
2015-01-01,29.02
2015-01-03,26.59
2015-01-15,33.99
2015-02-03,26.44
2015-02-13,26.22
2015-02-14,26.22
2015-02-16,26.22
2015-02-18,25.74
2015-02-19,25.74
2015-02-21,26.24
2015-02-22,26.24
2015-02-23,26.26
2015-02-24,25.22
2015-02-26,25.93
2015-02-27,25.84
2015-02-27,25.84
2015-02-28,25.82
2015-03-02,25.78
2015-03-03,25.78
2015-03-04,26.73
2015-03-10,25.61
2015-03-12,25.61
2015-03-12,26.28
2015-03-15,27.14
2015-03-17,25.98
2015-03-18,25.55
2015-03-19,25.55
2015-03-20,26.75
2015-03-22,26.8
2015-03-23,25.74
2015-03-25,25.74
2015-03-27,26.49
2015-03-28,26.16
2015-03-29,25.92
2015-03-31,25.72
2015-04-01,25.5
2015-04-02,25.5
2015-04-03,26.07
2015-04-04,26.13
2015-04-06,25.9
2015-04-06,27.04
2015-04-08,25.79
2015-04-11,26.34
2015-04-12,26.48
2015-04-14,26.5
2015-04-16,26.04
2015-04-18,25.72
2015-04-19,27.41
2015-04-20,25.94
2015-04-21,25.25
2015-04-23,25.25
2015-04-25,25.94
2015-04-30,25.94
2015-05-04,25.94
2015-05-09,25.94
2015-05-14,25.94
2015-05-18,25.94
2015-05-20,25.94
2015-05-30,25.94
2015-06-02,25.94
2015-06-07,25.94
2015-06-08,25.94
2015-06-10,25.94
2015-06-12,25.94
2015-06-17,25.94
2015-06-20,25.94
2015-06-24,25.94
2015-06-26,25.94
2015-06-28,25.94
2015-07-03,25.94
2015-07-06,25.94
2015-07-13,25.94
2015-07-20,25.94
2015-07-23,25.94
2015-07-28,25.94
2015-07-30,25.94
2015-08-01,25.94
2015-08-08,25.94
2015-08-13,25.94
2015-08-17,25.94
2015-08-20,25.94
2015-08-23,25.94
2015-08-25,25.94
2015-08-29,25.94
2015-09-03,25.94
2015-09-07,25.94
2015-09-10,28.46
2015-09-11,29.94
2015-09-14,30.1
2015-09-15,29.94
2015-09-16,29.11
2015-09-18,29.47
2015-09-19,31.05
2015-09-21,31.05
2015-09-23,26.03
2015-09-24,26.03
2015-09-25,26.66
2015-09-26,27.16
2015-09-29,26.1
2015-10-02,25.63
2015-10-03,24.7
2015-11-03,26.48
2015-11-04,25.28
2015-11-06,25.22
2015-11-11,25.09
2015-11-14,24.98
2015-11-14,26.18
2015-11-18,25.43
2015-11-19,24.63
2015-11-21,24.59
2015-11-22,24.25
2015-11-24,24.62
2015-11-25,25.01
2015-11-26,24.43
2015-11-28,24.76
2015-11-29,24.91
2015-12-01,24.76
2015-12-09,24.54
2015-12-12,25.34
2015-12-17,25.18
2015-12-19,25.62
2015-12-21,25.06
2015-12-21,24.72
2015-12-31,25.2
2016-01-03,24.66
2016-01-07,24.77
2016-01-13,23.77
2016-01-15,24.54
2016-01-29,24.83
2016-02-05,25.93
2016-02-06,25.81
2016-02-11,24.91
2016-02-17,24.92
2016-02-18,24.51
2016-02-22,24.37
2016-02-26,24.63
2016-02-28,24.63
2016-02-29,24.63
2016-03-02,24.22
2016-03-15,24.22
2016-03-17,24.9
2016-03-19,25.35
2016-03-21,26.2
2016-03-23,25.64
2016-03-24,24.85
2016-03-26,24.85
2016-03-27,25.69
2016-03-28,25.69
2016-03-29,24.22
2016-03-31,24.22
2016-04-01,24.94
2016-04-01,25.69
2016-04-02,25.07
2016-04-05,26.44
2016-04-06,26.14
2016-04-08,27.35
2016-04-09,26.15
2016-04-12,28.55
2016-04-14,28.99
2016-04-16,28.99
2016-04-26,26.68
2016-04-27,26.58
2016-04-29,26.36
2016-05-01,26.12
2016-05-10,26.36
2016-05-11,28.99
2016-05-13,28.99
2016-05-15,28.99
2016-05-17,28.99
2016-05-24,28.18
2016-05-24,28.99
2016-05-27,28.99
2016-05-28,28.99
2016-05-30,28.99
2016-06-03,28.99
2016-09-18,26.11
2016-09-20,26.22
2016-11-25,26.22
2014-06-08,25.40
2014-06-17,25.02
2014-08-04,26.34
2014-08-17,27.82
2014-08-18,27.39
2014-08-29,27.42
2014-09-15,26.14
2014-09-20,26.15
2014-10-05,25.96
2014-10-06,26.15
2014-11-16,33.17
2014-12-14,26.77
2015-01-04,23.99
2015-01-06,27.77
2015-01-08,27.19
2015-01-12,26.24
2015-02-12,26.37
2015-04-09,26.25
2015-04-13,25.83
2015-04-13,26.50
2015-04-24,25.94
