Time,Price
2012-11-03,20.31
2013-01-26,20.3
2013-01-27,19.64
2013-01-28,19.39
2013-01-29,19.14
2013-01-30,18.9
2013-01-31,18.86
2013-02-01,18.82
2013-02-02,18.78
2013-02-07,17.83
2013-02-07,17.61
2013-02-09,17.52
2013-02-11,17.4
2013-02-12,17.29
2013-02-13,17.25
2013-02-15,17.21
2013-02-17,17.1
2013-02-18,17.09
2013-02-20,16.98
2013-02-21,16.96
2013-02-22,16.85
2013-02-24,16.74
2013-02-25,16.64
2013-02-27,16.42
2013-03-01,16.37
2013-03-02,16.26
2013-03-03,16.22
2013-03-04,16.17
2013-03-04,16.09
2013-03-06,16
2013-03-07,15.92
2013-03-08,15.77
2013-03-10,15.73
2013-03-11,15.68
2013-03-12,15.6
2013-03-13,15.64
2013-03-14,15.38
2013-03-17,20.31
2013-05-12,20.31
2013-06-27,20.31
2013-08-09,21.13
2013-09-01,20.54
2013-09-20,20.68
2013-10-10,20.77
2013-11-01,18.37
2013-11-04,18.37
2013-11-27,18.26
2013-11-30,18.41
2013-12-18,19.39
2016-11-25,19.39
2014-06-08,21.99
2014-08-01,21.49
2016-11-26,21.49
