Time,Price
2013-10-10,13.39
2013-10-18,13.39
2013-10-20,13.39
2013-10-22,13.39
2013-10-25,13.39
2013-10-26,11.23
2013-10-28,11.23
2013-10-31,10.68
2013-11-02,10.67
2013-11-03,10.45
2013-11-04,10.41
2013-11-06,10.3
2013-11-09,10.3
2013-11-11,9.96
2013-11-11,9.92
2013-11-12,9.92
2013-11-19,10.3
2013-11-21,7.39
2013-11-23,7.39
2014-01-07,11.86
2014-01-08,11.82
2014-01-08,11.72
2014-01-08,11.72
2014-01-09,11.62
2014-01-10,11.56
2014-01-13,11.56
2014-01-13,11.47
2014-01-16,11.36
2014-01-18,11.36
2014-01-19,11.24
2014-01-21,12.71
2014-01-29,7.99
2014-02-01,6.39
2014-02-04,6.39
2014-02-12,6.39
2014-02-17,7.99
2014-02-21,7.99
2014-11-18,12.87
2015-03-26,14.06
2015-04-01,13.46
2015-06-09,14.5
2015-06-11,14.49
2015-06-15,14.48
2015-06-18,14.85
