Time,Price
2015-01-10,81.88
2015-01-14,81.89
2015-01-17,81.94
2015-01-17,81.94
2015-01-18,81.96
2015-01-19,81.97
2015-01-20,81.96
2015-01-21,81.99
2015-02-21,82.21
2015-02-22,82.22
2015-02-23,82.23
2015-02-23,82.23
2015-02-24,82.24
2015-02-26,82.25
2015-02-26,82.25
2015-02-27,82.26
2015-02-27,82.26
2015-02-28,82.27
2015-03-02,82.28
2015-03-03,82.29
2015-03-04,82.28
2015-03-04,82.28
2015-03-09,82.29
2015-03-11,82.3
2015-03-12,83.98
2015-03-14,82.3
2015-03-15,82.29
2015-03-16,82.3
2015-03-17,82.31
2015-03-21,89.06
2015-03-23,89.03
2015-03-23,89.03
2015-03-24,89.04
2015-03-25,89.05
2015-03-26,89.04
2015-04-14,30
2015-06-21,84.72
2015-06-27,84.72
2015-06-29,84.72
2015-06-29,84.72
2015-07-07,30
2015-08-06,30
2015-12-11,83.08
2015-12-11,83.08
2015-12-11,83.08
2015-12-13,83.09
2015-12-13,30
2016-02-19,83.5
2016-02-22,30
2016-02-28,83.5
2016-03-01,83.48
2016-03-15,30
2016-09-18,82.3
2016-09-20,82.31
2016-09-21,79.48
2016-10-21,30
2016-10-26,30
2016-10-29,30
2016-10-31,30
2016-10-31,30
2014-05-22,29.95
2014-05-27,29.95
2014-08-04,30.50
2014-08-18,29.95
2015-03-10,29.99
2015-03-14,29.95
2015-04-08,30.49
2015-04-10,29.99
2015-04-16,29.95
2015-04-19,30.49
2015-05-02,29.95
2015-05-11,30.45
2015-05-22,29.99
2015-05-27,29.95
2016-06-04,30.05
2016-09-03,29.95
2016-11-09,29.95
