Time,Price
2014-11-09,9.37
2015-04-17,6.59
2015-06-03,6.38
2015-06-04,6.34
2015-06-06,6.24
2015-06-09,6.34
2015-06-11,6.36
2015-06-13,6.36
2015-06-16,6.52
2015-06-19,6.55
2015-06-27,6.08
2015-07-05,6.05
2015-07-13,6.04
2015-07-16,6.04
2015-07-18,6.59
2015-08-02,6.57
2015-08-08,6.56
2015-08-10,6.59
2015-08-16,6.57
2015-08-18,6.59
2015-08-20,6.17
2015-08-31,6.23
2015-09-05,6.37
2015-09-26,6.43
2015-10-01,6.43
2015-10-03,6.42
2015-10-04,6.43
2015-11-04,6.59
2015-11-06,6.59
2015-11-08,6.81
2015-11-10,6.97
2015-11-12,6.97
2015-11-15,6.29
2015-11-19,6.29
2015-11-25,6.46
2015-11-26,6.46
2015-12-12,7.25
2016-02-01,7.25
2016-02-05,6.79
2016-02-19,7.25
2016-02-28,7.16
2016-02-29,6.87
2016-03-17,5.99
2016-03-26,5.99
2016-04-01,5.99
2016-04-02,6.49
2016-04-15,6.4
2016-04-27,6.33
2016-04-29,6.35
2016-05-13,6.48
2016-05-14,6.44
2016-05-18,6.49
2016-05-25,6.41
2016-05-28,6.49
2016-09-20,5.99
2016-10-27,5.99
2016-10-29,5.99
2016-11-04,5.99
2016-11-04,5.99
2016-11-08,5.99
2016-11-13,5.99
2016-11-14,5.99
2016-11-16,5.99
2016-11-20,5.69
2016-11-22,5.65
2016-11-23,5.65
2016-11-25,5.65
