Time,Price
2012-06-02,8.47
2012-06-25,10.99
2012-08-17,9.47
2012-12-06,8.52
2013-02-07,9.47
2013-05-15,8.97
2013-08-08,9.47
2013-12-04,8.49
2013-12-26,9.47
2014-02-05,9.47
2014-02-13,9.47
2014-05-09,9.88
2014-05-13,9.88
2014-05-17,9.88
2014-06-07,9.79
2014-06-21,9.88
2014-09-22,8.99
2014-10-01,9.88
2014-11-03,9.79
2014-11-11,9.88
2014-11-20,9.88
2014-12-04,9.99
2014-12-23,9.79
2015-02-22,9.99
2015-04-14,10.97
2015-04-20,9.99
2015-05-12,8.99
2015-05-19,9.99
2015-07-03,10.23
2015-08-21,9.99
2015-08-25,9.88
2015-09-18,9.88
2015-09-22,9.88
2015-11-03,9.88
2015-11-14,9.88
2015-11-25,9.99
2015-11-28,9.99
2015-12-01,9.89
2015-12-10,9.99
2015-12-31,10.97
2016-03-14,10.97
2016-03-17,10.97
2016-03-19,9.49
2016-04-06,9.49
2016-04-07,9.49
2016-04-10,7.99
2016-04-11,7.99
2016-06-09,7.99
2016-06-09,7.99
2016-06-11,7.99
2016-06-16,7.99
2016-06-25,7.99
2016-06-26,7.99
2016-06-26,8.88
2016-06-30,10.99
2016-06-30,8.88
2016-07-06,8.88
2016-07-07,10.99
2016-07-08,8.88
2016-07-11,10.99
2016-07-12,8.88
2016-07-14,10.99
2016-07-15,8.88
2016-07-23,10.47
2016-07-24,10.29
2016-07-25,10.99
2016-08-12,8.88
2016-08-19,8.88
2016-08-20,8.88
