Time,Price
2013-02-18,25.92
2013-04-08,27.74
2013-05-19,28.99
2013-07-10,30.49
2013-07-14,30.49
2013-07-16,30.48
2013-07-21,29.72
2013-07-25,29.72
2013-07-30,30.18
2013-08-08,30.18
2013-08-09,30.18
2013-08-12,30.18
2013-08-21,30.18
2013-09-15,30.18
2013-09-18,30.49
2013-09-19,30.17
2013-09-21,30.17
2013-09-22,30.17
2013-09-24,30.49
2013-09-25,30.17
2013-09-28,30.17
2013-09-29,29.9
2013-10-01,29.94
2013-10-04,29.9
2013-10-05,29.9
2013-10-08,29.92
2013-10-10,29.36
2013-10-11,30.49
2013-10-13,30.11
2013-10-24,29.54
2013-10-28,30.11
2013-11-06,30.11
2013-11-21,30.11
2013-11-23,30.07
2013-11-26,30.11
2013-12-28,30.11
2014-01-27,28.79
2014-02-16,28.79
2014-02-19,30.11
2014-04-09,28.79
2014-04-18,30.11
2014-05-20,30.07
2014-05-30,30.11
2014-06-02,29.87
2014-06-04,30.11
2014-08-31,30.11
2014-09-05,30.11
2014-09-20,29.07
2014-09-30,29.04
