Time,Price
2012-06-01,69.99
2012-06-03,69.99
2012-06-05,69.99
2012-06-07,69.99
2012-06-12,81.99
2012-06-13,69.99
2012-06-16,69.99
2012-06-17,69.99
2012-06-18,68.97
2012-06-19,69.99
2012-06-20,69.22
2012-06-21,69.99
2012-06-23,69.99
2012-06-25,69.99
2012-06-25,69.19
2012-06-26,69.99
2012-06-30,69.99
2012-06-30,69.99
2012-07-04,69.98
2012-07-05,69.99
2012-07-08,69.97
2012-07-09,69.97
2012-07-10,69.99
2012-07-11,69.94
2012-07-12,69.99
2012-07-13,69.99
2012-07-14,69.87
2012-07-14,69.99
2012-07-14,69.99
2012-07-15,69.99
2012-07-20,69.41
2012-07-20,69.4
2012-07-20,69.4
2012-07-21,69.99
2012-07-23,69.99
2012-07-23,69.99
2012-07-24,69.67
2012-07-24,69.67
2012-07-24,69.99
2012-07-25,69.64
2012-07-25,69.99
2012-07-26,69.75
2012-07-26,69.75
2012-07-26,69.75
2012-07-27,69.99
2012-08-01,69.99
2012-08-02,69.99
2012-08-03,69.52
2012-08-03,69.99
2012-08-07,69.39
2012-08-08,69.99
2012-08-14,69.99
2012-08-15,69.99
2012-08-15,69.99
2012-08-20,69.13
2012-08-20,69.99
2012-08-21,69.99
2012-08-28,79.97
2012-08-29,69.99
2012-08-29,69.99
2012-09-01,69.32
2012-09-01,69.04
2012-09-01,69.99
2012-09-02,69.99
2012-09-03,69.99
2012-09-04,69.99
2012-09-05,69.99
2012-09-10,69.99
2012-09-11,69.99
2012-09-12,69.99
2012-09-13,69.99
2012-09-13,69.99
2012-09-14,69.99
2012-09-15,69.99
2012-09-18,81.99
2012-09-21,69.99
2012-09-22,69.99
2012-09-24,69.99
2012-09-26,69.99
2012-10-02,69.99
2012-10-03,69.99
2012-10-11,68.68
2012-10-11,69.99
2012-10-12,69.99
2012-10-14,69.99
2012-10-17,67.36
2012-10-18,69.99
2012-10-18,69.7
2012-10-19,69.99
2012-10-26,69.99
2012-10-31,69.99
2012-11-01,67.46
2012-11-01,69.99
2012-11-04,69.99
2012-11-07,69.33
2012-11-07,69.99
2012-11-07,69.99
2012-11-11,59.49
2012-11-11,59.49
2012-11-13,59.49
2012-11-29,89.99
2012-11-29,89.99
2012-11-29,87.67
2012-11-30,89.99
2012-12-03,89.99
2012-12-04,59.49
2012-12-04,59.49
2012-12-04,89.99
2012-12-04,89.99
2012-12-05,89.99
2012-12-06,89.99
2012-12-06,89.99
2012-12-09,88.85
2012-12-10,89.99
2012-12-10,89.99
2012-12-11,89.99
2012-12-13,89.99
2012-12-17,89.99
2012-12-18,89.99
2012-12-19,89.74
2012-12-20,89.99
2012-12-22,89.99
2012-12-23,87.98
2012-12-24,89.99
2012-12-26,89.99
2012-12-27,89.69
2012-12-28,89.69
2012-12-28,59.49
2012-12-29,59.49
2013-01-01,71.99
2013-01-04,71.99
2013-01-06,71.99
2013-01-07,71.99
2013-01-10,71.99
2013-01-11,71.99
2013-01-22,72.09
2013-02-07,69.27
2013-02-07,68.54
2013-02-08,72.09
2013-02-09,69.98
2013-02-12,68.99
2013-02-13,68.99
2013-02-14,68.99
2013-02-18,68.99
2013-02-19,68.28
2013-02-19,68.99
2013-02-20,68.25
2013-02-20,67.76
2013-02-21,68.99
2013-02-23,68.7
2013-02-24,68.99
2013-02-25,68.48
2013-02-25,68.99
2013-03-01,72.99
2013-03-01,72.7
2013-03-01,72.99
2013-03-05,72.99
2013-03-06,72.99
2013-03-07,72.99
2013-03-08,72.99
2013-03-09,72.99
2013-03-14,72.99
2013-03-14,71.68
2013-03-14,72.99
2013-03-17,72.99
2013-03-18,82.6
2013-03-19,82.6
2013-03-19,88.8
2013-03-20,87.99
2013-03-21,82.6
2013-03-22,82.6
2013-03-22,87.7
2013-03-22,87.18
2013-03-23,82.6
2013-03-25,82.6
2013-03-27,82.6
2013-03-27,82.6
2013-03-28,82.6
2013-03-29,82.6
2013-03-29,80.87
2013-03-30,82.6
2013-03-30,82.6
2013-03-31,82.6
2013-04-03,82.6
2013-04-05,82.57
2013-04-05,82.57
2013-04-05,82.6
2013-04-10,82.6
2013-04-11,81.89
2013-04-12,82.6
2013-04-13,82.99
2013-04-16,82.99
2013-04-17,82.99
2013-04-21,82.99
2013-04-22,82.99
2013-04-26,81.24
2013-04-27,82.79
2013-04-28,82.99
2013-05-03,82.99
2013-05-04,79.97
2013-05-06,79.97
2013-05-07,78.52
2013-05-08,79.97
2013-05-09,78.52
2013-05-09,79.97
2013-05-13,79.97
2013-05-16,79.97
2013-05-18,79.97
2013-05-18,79.54
2013-05-20,78.52
2013-05-21,78.52
2013-05-22,78.52
2013-05-22,76.48
2013-05-22,76.48
2013-05-24,77.34
2013-05-25,76.48
2013-05-26,76.49
2013-05-26,78.52
2013-05-30,76.99
2013-06-03,76.99
2013-06-04,76.99
2013-06-05,76.99
2013-06-06,76.99
2013-06-06,76.99
2013-06-07,76.99
2013-06-09,76.99
2013-06-09,76.99
2013-06-09,76.99
2013-06-14,76.99
2013-06-16,76.99
2013-06-18,76.99
2013-06-21,76.99
2013-06-23,76.99
2013-06-26,76.99
2013-06-26,76.99
2013-06-30,76.99
2013-07-01,76.99
2013-07-02,76.99
2013-07-04,76.6
2013-07-04,76.99
2013-07-07,76.99
2013-07-09,76.99
2013-07-12,76.99
2013-07-12,76.99
2013-07-17,76.99
2013-07-17,76.99
2013-07-18,76.99
2013-07-20,76.99
2013-07-21,76.99
2013-07-21,76.99
2013-07-24,76.99
2013-07-24,76.99
2013-07-26,76.99
2013-07-27,76.99
2013-07-29,76.99
2013-07-29,76.99
2013-07-31,76.99
2013-08-07,65.44
2013-08-11,65.44
2013-08-11,65.44
2013-08-13,65.44
2013-08-13,65.44
2013-08-21,65.44
2013-08-25,65.44
2013-08-28,65.44
2013-08-30,65.44
2013-08-31,65.44
2013-09-04,53.89
2013-09-04,89.73
2013-09-05,87
2013-09-06,86.67
2013-09-07,89.99
2013-09-08,86.73
2013-09-13,84.37
2013-09-14,81.83
2013-09-14,89.99
2013-09-18,88.73
2013-09-19,89.99
