Time,Price
2012-06-01,10.97
2012-06-10,10.97
2012-06-27,10.97
2012-07-06,10.97
2012-07-18,10.97
2012-07-23,12.98
2012-08-01,10.97
2012-08-13,12.98
2012-08-20,10.97
2012-09-10,12.98
2012-09-21,10.97
2012-09-24,12.98
2012-10-04,10.97
2012-10-05,10.97
2012-11-27,12.98
2012-11-29,10.97
2012-12-02,10.97
2012-12-09,10.97
2012-12-16,10.97
2012-12-18,10.97
2013-01-27,10.97
2013-01-30,10.97
2013-02-07,12.98
2013-02-10,10.97
2013-04-04,10.97
2013-04-05,10.97
2013-04-25,12.98
2013-04-27,10.97
2013-05-27,10.97
2013-06-04,10.97
2013-06-05,10.97
2013-06-06,10.97
2013-06-07,10.97
2013-06-07,10.97
2013-06-09,10.97
2013-06-10,10.97
2013-07-18,10.97
2013-07-20,10.97
2013-07-24,10.97
2013-08-05,10.97
2013-08-08,10.97
2013-08-12,10.49
2013-08-16,10.97
2013-09-04,12.98
2013-09-21,10.97
2013-09-24,10.97
2013-11-11,10.97
2013-11-12,10.97
2013-11-22,10.97
2013-11-27,10.97
2013-11-30,10.97
2013-12-02,10.97
2013-12-21,9.99
2013-12-24,9.99
2013-12-24,9.99
2013-12-27,10.97
2014-01-02,10.97
2014-01-03,9.99
2014-01-06,9.99
2014-01-11,10.97
2014-01-12,10.97
2014-01-13,10.97
2014-01-19,10.97
2014-01-20,10.97
2014-01-21,9.99
2014-01-25,10.97
2014-01-28,12.98
2014-02-02,12.98
2015-05-02,10.99
2015-09-04,12.98
2015-09-08,10.99
2015-09-12,10.99
2015-09-15,10.99
2015-09-17,12.98
2015-09-20,12.98
2015-09-22,12.98
2015-09-26,12.98
2016-10-26,14.39
