Time,Price
2012-05-31,9.59
2012-06-14,8.79
2012-06-26,10.45
2012-07-24,10.45
2012-07-25,10.45
2012-08-09,10.45
2012-08-14,10.45
2012-09-10,10.45
2012-09-12,10.45
2012-10-02,9.59
2012-10-03,9.59
2012-10-07,9.59
2012-10-09,9.59
2012-10-14,9.59
2012-10-23,9.59
2012-10-24,9.59
2012-11-01,10.45
2012-11-12,10.45
2012-11-23,7.19
2012-11-27,10.45
2012-12-22,10.45
2012-12-27,9.59
2012-12-28,9.59
2013-01-06,9.59
2013-01-06,10.45
2013-01-11,9.59
2013-01-12,9.59
2013-01-13,9.59
2013-01-14,9.59
2013-01-18,9.59
2013-01-23,9.59
2013-02-01,10.45
2013-03-24,10.45
2013-03-26,10.44
2013-03-27,10.43
2013-04-02,10.43
2013-04-06,10.43
2013-04-07,10.43
2013-04-08,10.45
2013-04-13,10.45
2013-04-21,10.43
2013-04-22,10.45
2013-05-01,9.59
2013-05-02,9.59
2013-05-03,9.59
2013-05-07,9.59
2013-05-08,9.59
2013-05-09,9.59
2013-05-17,9.59
2013-05-21,10.19
2013-06-01,10.45
2013-06-05,10.45
2013-06-07,10.45
2013-06-08,10.45
2013-06-21,10.45
2013-07-01,10.45
2013-07-10,10.45
2013-08-01,10.45
2013-08-29,10.99
2013-08-29,10.45
2013-09-04,10.99
2013-09-04,10.45
2013-09-29,10.45
2013-10-03,9.59
2013-10-06,9.59
2013-10-13,9.59
2013-10-17,9.59
2013-10-28,9.59
2013-11-02,10.45
2013-11-28,9.96
2013-12-01,7.19
2013-12-07,9.59
2013-12-11,9.59
2013-12-13,9.59
2014-10-15,9.88
2014-10-25,8.9
2014-10-26,9.88
2014-10-27,9.88
2014-11-04,9.88
2014-12-01,9.59
2014-12-04,9.59
2014-12-28,9.59
2015-02-17,8.79
2015-03-22,8.79
2015-04-01,9.59
2015-08-27,9.88
2015-11-22,9.88
2015-11-26,9.88
2015-11-29,9.18
2016-01-03,8.39
2016-02-01,9.88
2016-03-02,9.86
2016-03-17,9.86
2016-03-24,9.84
2016-04-02,8.99
2016-04-06,6.9
2016-04-13,8.97
2016-04-27,6.52
2016-05-01,6.16
2016-05-14,6.19
2016-06-04,9.59
2016-08-14,5.59
2016-08-15,9.88
2016-08-30,5.59
2016-10-26,6.99
2016-10-26,6.99
2016-10-27,6.99
2016-10-27,6.99
2016-10-27,6.99
2016-10-28,6.99
2016-10-29,6.99
2016-10-29,6.99
2016-10-29,6.99
2016-10-29,6.99
2016-10-30,6.99
2016-10-31,6.99
2016-10-31,6.99
2016-10-31,6.99
2016-11-01,6.99
2016-11-01,6.99
2016-11-01,6.99
2016-11-02,6.99
2016-11-02,6.99
2016-11-02,6.99
2016-11-03,6.99
2016-11-03,6.99
2016-11-03,6.99
2016-11-03,6.99
2016-11-04,6.99
2016-11-04,6.99
2016-11-05,6.99
2016-11-05,6.99
2016-11-05,6.99
2016-11-06,6.99
2016-11-06,6.99
2016-11-06,6.99
2016-11-07,6.99
2016-11-08,6.99
