Time,Price
2012-06-01,149.97
2012-06-04,149.97
2012-06-04,149.97
2012-06-07,147.35
2012-06-07,145.83
2012-06-08,149.97
2012-06-11,132.75
2012-06-13,149.97
2012-06-15,138.17
2012-06-18,149.97
2012-07-03,149.91
2012-07-10,148.67
2012-07-10,149.97
2012-07-13,147.6
2012-07-14,147.35
2012-07-16,149.97
2012-07-19,149.97
2012-07-20,142.25
2012-07-21,142.25
2012-07-22,142.25
2012-07-23,149.97
2012-07-24,149.97
2012-07-27,149.97
2012-07-27,149.93
2012-07-30,149.97
2012-08-02,149.97
2012-08-03,149.97
2012-08-04,149.97
2012-08-07,148.9
2012-08-08,148.9
2012-08-10,148.9
2012-08-11,148.9
2012-08-12,148.9
2012-08-14,148.38
2012-08-15,148.38
2012-11-04,149.97
2012-11-06,149.97
2012-11-10,149.97
2012-11-13,149.97
2012-12-07,141.99
2012-12-07,141.99
2012-12-09,141.99
2012-12-13,139.99
2012-12-17,149.97
2012-12-24,149.97
2012-12-24,149.97
2012-12-25,149.97
2012-12-28,149.97
2012-12-29,149.97
2012-12-31,149.97
2013-01-03,149.97
2013-01-07,149.97
2013-01-10,149.97
2013-01-11,149.97
2013-01-14,148.79
2013-01-15,148.79
2013-01-15,147.76
2013-01-16,147.76
2013-01-18,147.77
2013-01-21,147.77
2013-01-21,147.77
2013-01-21,149.97
2013-01-22,149.97
2013-01-23,149.97
2013-01-26,149.97
2013-01-28,149.97
2013-01-28,149.97
2013-01-29,149.97
2013-01-30,149.97
2013-01-31,149.97
2013-02-08,149.97
2013-02-12,149.97
2013-02-13,149.97
2013-02-14,149.61
2013-02-14,149.61
2013-02-19,149.97
2013-02-20,149.97
2013-02-21,149.97
2013-02-22,149.27
2013-02-23,149.27
2013-02-28,149.26
2013-03-01,145.99
2013-03-02,145.19
2013-03-05,145.99
2013-03-06,145.99
2013-03-08,144.99
2013-03-11,145.99
2013-03-14,158.57
2013-03-17,158.57
2013-03-18,179.88
2013-03-19,179.88
2013-03-22,179.88
2013-03-23,179.95
2013-04-04,179.95
2013-09-18,179.95
2013-10-07,179.95
2013-10-08,179.95
2013-10-12,179.95
2013-10-27,149.97
2013-10-28,149.97
2013-10-29,179.95
2013-10-30,179.95
2013-11-01,179.95
2013-11-28,149.95
2013-11-29,149.95
2013-12-22,169.95
2013-12-23,169.95
2013-12-24,169.95
2013-12-24,169.95
2013-12-25,169.95
2013-12-27,179.95
2013-12-28,169.95
2013-12-31,169.95
2013-12-31,169.95
2014-01-19,149
2014-01-19,179
2014-01-21,179.95
2014-01-22,179.95
2014-01-25,179.95
2014-02-25,179.95
2014-06-19,179.95
2014-07-23,179.95
2014-12-01,149.95
2014-12-01,149.95
2014-12-01,149.95
2014-12-02,149.95
2014-12-25,149.95
2014-12-26,149.95
2015-01-15,159.95
2015-01-17,159.95
2015-01-31,159.95
2015-02-01,199.99
2015-02-02,199.99
2015-02-02,199.99
2015-02-03,199.99
2015-02-04,199.99
2015-02-05,199.99
2015-02-05,199.99
2015-02-07,199.99
2015-02-08,199.99
2015-02-08,199.99
2015-02-09,199.99
2015-02-10,199.99
2015-02-10,199.99
2015-02-11,199.99
2015-02-12,199.99
2015-02-13,199.99
2015-02-14,199.99
2015-02-15,199.99
2015-02-16,199.99
2015-02-17,199.99
2015-02-17,199.99
2015-02-19,199.99
2015-02-19,199.99
2015-02-20,199.99
2015-02-21,199.99
2015-02-28,199.99
2015-03-02,199.99
2015-03-09,179.95
2015-03-12,179.95
2015-03-13,179.95
2015-03-17,179.95
2015-03-18,179.95
2015-03-20,179.95
2015-03-22,179.95
2015-03-22,179.95
2015-03-26,179.95
2015-03-27,179.95
2015-03-31,179.95
2015-03-31,159.99
2015-04-01,159.99
2015-04-03,159.99
2015-04-03,159.99
2015-04-05,159.99
2015-04-05,159.99
2015-04-06,159.99
2015-04-07,149.95
2015-04-08,149.95
2015-04-09,151.46
2015-04-11,155.65
2015-04-12,159.99
2015-04-13,159.99
2015-04-15,159.99
2015-04-16,159.99
2015-04-17,159.99
2015-04-18,159.99
2015-04-19,159.99
2015-04-20,152.06
2015-04-21,159.99
2015-04-22,159.99
2015-04-22,159.99
2015-04-23,139.99
2015-05-22,123.99
2015-05-28,165.17
2015-05-29,153.84
2015-05-30,148.99
2015-06-02,148.99
2015-06-02,148.99
2015-06-03,148.99
2015-06-05,148.99
2015-06-11,148.99
2015-06-12,148.99
2015-06-12,148.99
2015-06-14,148.99
2015-06-25,157.65
2015-06-25,157.66
2015-06-28,157.65
2015-11-30,179.95
2016-11-25,179.95
