Time,Price
2012-07-20,19.88
2012-09-18,19.88
2012-09-21,19.88
2012-11-30,21.47
2012-12-05,19.88
2012-12-27,18.89
2012-12-28,19.88
2013-02-01,21.47
2013-02-09,19.88
2013-03-02,18.89
2013-03-23,19.88
2013-04-14,19.88
2013-04-15,19.88
2013-04-24,19.61
2013-04-24,19.88
2013-05-09,19.87
2013-05-10,19.88
2013-05-13,18
2013-05-19,19.88
2013-06-02,18.89
2013-06-05,18.89
2013-06-08,18.89
2013-06-25,18
2013-07-01,18.89
2013-07-01,19.88
2016-11-08,19.88
2014-05-22,18.89
2014-06-08,19.99
2014-06-08,20.99
2014-06-19,18.89
2014-08-01,19.88
2014-08-23,19.88
2014-11-02,18.39
2014-11-08,19.88
2014-12-28,16.99
2015-01-17,19.99
2015-01-18,16.99
2015-01-22,21.47
2015-01-31,20.24
2015-02-02,19.88
2015-02-24,20.24
2015-03-02,21.47
2016-11-08,33.58
2016-11-09,33.58
