Time,Price
2012-07-25,13
2012-08-03,13
2012-08-04,13
2012-08-14,12.58
2012-08-16,10.15
2012-08-17,9.9
2012-08-18,10.26
2012-08-19,10.45
2012-08-19,11.43
2012-08-23,13
2012-10-03,12.95
2012-11-07,12.86
2012-11-08,12.86
2012-11-12,10.79
2012-11-13,10.79
2012-12-16,12.86
2013-01-26,11.23
2013-01-29,12.99
2013-02-17,12.99
2013-02-27,12.86
2013-03-04,12.86
2013-03-14,12.75
2013-03-17,12.86
2013-03-27,12.75
2013-03-29,12.75
2013-03-31,12.7
2013-04-06,12.86
2013-04-09,12.75
2013-04-11,12.86
2013-04-15,12.75
2013-04-17,12.86
2013-04-22,12.81
2013-04-28,12.1
2013-05-03,11.09
2013-05-04,11.27
2013-05-05,11.09
2013-05-09,11.09
2013-07-02,10.18
2013-07-26,11.09
2013-07-27,11.27
2013-09-06,11.53
2013-09-07,11.41
2013-09-08,10.91
2013-09-22,11.32
2013-09-26,12.32
2013-10-05,12.28
2013-10-16,12.28
2013-10-26,13
2013-11-07,11.99
2013-11-08,11.97
2013-11-20,11.68
2013-11-24,13
2013-12-04,11.99
2013-12-04,11.24
2013-12-24,11.51
2014-01-10,10.53
2014-01-15,11.05
2014-01-19,11.98
2014-01-20,12.35
2014-01-22,11.42
2014-01-31,11.01
2014-02-10,10.74
2014-02-13,10.97
2014-02-15,10.47
2014-02-16,10.11
2014-02-17,11.31
2014-02-23,11.19
2014-02-26,11.01
2014-03-02,11.22
2014-03-05,10.18
2014-03-11,10.22
2014-03-14,12
2014-03-17,10.18
2014-04-06,12
2014-04-11,11.01
2014-04-15,9.21
2014-04-28,9.58
2014-11-20,11.41
2015-01-22,10.91
2015-02-22,10.91
2015-04-21,11.47
2015-05-05,11.47
2016-11-08,11.47
