Time,Price
2013-06-09,32.01
2013-06-12,29.61
2013-06-14,29.05
2013-06-21,28.54
2013-06-22,28.26
2013-06-29,28.26
2013-07-02,27.82
2013-07-05,27.52
2013-07-06,27.25
2013-07-14,27.52
2013-07-17,27.52
2013-07-19,28.26
2013-07-26,27.52
2013-08-01,22.78
2013-08-08,28.26
2013-08-11,22.78
2013-08-21,30.23
2013-08-22,28.03
2013-08-30,27.55
2013-09-02,26.18
2013-09-15,24.27
2013-09-18,24.22
2013-09-21,24.28
2013-09-24,25.68
2013-09-27,24.28
2013-10-01,24.89
2013-10-04,23.2
2013-10-07,23.24
2013-10-10,20.77
2013-10-15,21.78
2013-10-19,21.59
2013-10-21,21.44
2013-10-22,21.42
2013-10-25,21.37
2013-10-28,21.83
2013-10-30,21.74
2013-10-31,21.65
2013-11-03,23.56
2013-11-06,24.87
2013-11-09,24.51
2013-11-13,29.26
2013-12-05,24.99
2013-12-09,25.22
2013-12-15,25.86
2013-12-18,28.29
2013-12-27,25.22
2014-01-29,26.92
2014-02-03,25.22
2014-02-06,26.92
2014-04-14,26.92
2014-05-08,26.92
2014-05-12,26.92
2014-05-16,26.71
2014-05-25,26.92
2014-06-05,26.92
2014-06-15,26.92
2014-09-14,26.32
2014-10-07,17.93
2014-10-09,17.95
2014-11-23,27.29
2014-11-25,27.32
2015-01-01,27.37
2015-01-04,27.19
2015-03-13,27.65
2015-03-31,26.97
2015-04-24,27.74
2015-05-03,27.11
2015-05-10,26.52
2015-05-27,26.57
2015-06-20,26.77
2015-07-19,27.81
2015-08-12,27.95
2015-09-09,27.98
2015-10-02,28.12
2015-11-23,38.95
2016-11-06,28.12
2016-11-15,28.12
2016-11-16,28.12
2016-11-24,19.66
2016-11-25,19.66
