Time,Price
2013-01-07,10.81
2013-04-17,12.72
2013-04-18,12.36
2013-04-21,11.63
2013-04-22,10.52
2013-04-23,10.48
2013-04-24,11.01
2013-04-25,10.29
2013-04-26,10.24
2013-04-27,10.18
2013-04-27,10.13
2013-04-28,10.08
2013-04-29,10.04
2013-05-01,9.99
2013-05-02,9.99
2013-05-05,11.66
2013-05-06,11.66
2013-05-07,11.66
2013-05-07,11.66
2013-05-07,10.19
2013-05-08,9.99
2013-05-09,10.67
2013-05-09,11.06
2013-05-09,11.26
2013-05-10,10.28
2013-05-10,9.99
2013-05-13,9.68
2013-05-14,9.68
2013-05-21,9.68
2013-05-25,9.68
2013-05-31,9.5
2013-06-02,9.5
2013-06-03,9.5
2013-06-03,9.5
2013-06-03,9.5
2013-06-05,9.09
2013-06-05,9.09
2013-06-06,9.09
2013-06-09,9.09
2013-06-09,9.09
2013-06-13,10.28
2013-06-14,10.85
2013-06-14,11.05
2013-06-17,13.77
2013-06-18,14.57
2013-06-26,14.57
2013-06-29,14.12
2013-07-03,14.27
2013-07-06,14.57
2013-07-09,9.76
2013-07-12,11.69
2013-07-14,13.36
2013-07-16,14.12
2013-07-30,14.57
2013-12-30,11.11
2014-06-07,13.25
2014-06-20,13.23
2014-07-07,13.28
2014-08-19,12.2
2015-08-17,13.22
2015-08-18,12.97
2015-08-18,13.91
2016-11-25,13.91
