Time,Price
2012-09-19,23.99
2013-01-15,24.97
2013-01-17,21.9
2013-01-17,24.97
2013-01-18,24.97
2013-01-18,24.97
2013-01-18,24.97
2013-01-19,24.67
2013-01-19,23.43
2013-01-20,23.43
2013-01-21,23.22
2013-01-21,23.22
2013-03-02,22.06
2013-06-01,24.95
2013-06-11,24.95
2013-06-27,24.95
2013-06-30,24.95
2013-07-02,24.95
2013-07-03,24.95
2013-07-04,24.95
2013-07-05,24.95
2013-07-06,24.95
2013-07-07,24.95
2013-07-11,24.95
2013-07-12,24.97
2013-07-13,24.97
2013-07-14,24.97
2013-11-06,24.99
2014-04-07,26.95
2014-04-10,26.95
2014-04-12,26.95
2014-04-14,22.95
2014-04-16,26.99
2014-04-23,26.95
2014-04-25,26.95
2014-04-27,26.95
2014-05-02,26.95
2014-05-04,26.95
2014-05-06,24.99
2014-05-06,24.99
2014-05-08,26.95
2014-05-10,24.99
2014-05-12,24.99
2014-05-13,24.95
2014-05-16,24.95
2014-05-17,24.95
2014-05-20,24.95
2014-05-21,24.95
2014-05-25,24.95
2014-06-03,26.95
2014-06-06,29.99
2014-06-08,29.99
2014-06-15,26.95
2014-06-16,26.95
2014-06-24,24.99
2014-07-09,26.95
2014-07-24,24.95
2014-07-30,26.95
2014-08-01,26.95
2014-08-05,24.95
2014-08-18,26.95
2014-09-04,26.95
2014-09-10,26.95
2014-09-11,26.95
2014-09-15,22.95
2014-09-17,22.95
2014-09-18,26.95
2014-09-19,29.99
2014-09-21,29.99
2014-09-23,26.95
2014-09-26,29.99
2014-09-28,29.99
2014-09-30,26.95
2014-10-02,26.95
2014-10-03,26.95
2014-10-05,26.95
2014-10-09,26.95
2014-10-14,26.95
2014-10-22,26.95
2014-10-25,26.95
2014-10-31,26.95
2014-11-04,24.99
2014-11-06,24.99
2014-11-08,24.99
2014-11-19,24.99
2014-11-26,24.99
2014-11-30,24.99
2014-12-03,24.99
2014-12-10,24.99
2014-12-22,24.99
2014-12-23,24.99
2014-12-25,22.95
2014-12-28,22.95
2014-12-29,24.99
2015-01-01,26.95
2015-08-10,24.99
2015-08-14,26.95
2015-08-23,26.95
2015-08-31,24.99
2015-09-05,24.99
2015-09-08,26.95
2015-09-16,26.95
2015-09-19,24.95
2015-09-23,24.95
2015-11-22,24.95
2015-12-14,23.88
2016-01-03,24.95
2016-01-03,22.5
2016-01-04,26.95
2016-01-09,24.95
2016-02-01,26.95
2016-02-11,26.95
2016-02-15,26.95
2016-02-19,26.95
2016-02-19,26.95
2016-03-15,26.95
2016-03-18,26.95
2016-03-24,26.95
2016-04-01,26.95
2016-04-13,26.95
2016-05-01,26.95
2016-07-07,24.99
2016-07-09,26.95
2016-07-10,24.99
2016-07-12,26.95
2016-07-13,26.95
2016-07-13,26.95
2016-07-14,26.95
2016-07-16,26.95
2016-07-21,26.95
2016-07-22,26.95
2016-07-29,26.95
2016-08-01,26.95
2016-08-08,26.95
2016-08-09,26.95
2016-08-10,26.95
2016-08-11,26.95
2016-08-12,26.95
2016-08-12,26.95
2016-08-13,26.95
2016-08-13,26.95
2016-08-15,26.95
2016-08-17,26.95
2016-08-22,26.95
2016-08-24,26.95
2016-08-31,26.95
2016-09-19,26.95
2016-09-20,26.95
2016-09-20,26.95
2016-10-19,19.95
2016-10-24,19.95
2016-10-25,19.95
2016-10-26,19.95
2016-10-26,19.95
2016-10-26,19.95
2016-10-27,19.95
2016-10-27,19.95
2016-10-27,19.95
2016-10-27,19.95
2016-10-28,19.95
2016-10-28,19.95
2016-10-28,19.95
2016-10-29,19.95
2016-10-29,19.95
2016-10-29,19.95
2016-10-29,19.95
2016-10-29,19.95
2016-10-29,19.95
2016-10-30,19.95
2016-10-30,19.95
2016-10-30,19.95
2016-10-30,19.95
2016-10-31,19.95
2016-10-31,19.95
2016-10-31,19.95
2016-10-31,19.95
2016-10-31,19.95
2016-11-01,19.95
2016-11-01,19.95
2016-11-01,19.95
2016-11-04,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-05,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-06,19.95
2016-11-07,19.95
2016-11-07,19.95
2016-11-07,19.95
2016-11-07,19.95
2016-11-08,19.95
2016-11-08,19.95
2016-11-08,19.95
2014-05-22,16.49
2014-05-28,16.49
2014-06-03,16.49
2014-06-06,16.49
2014-06-15,13.00
2014-06-18,13.00
2014-06-19,13.00
2014-07-05,21.85
2014-07-05,21.85
2014-07-06,23.95
2014-07-06,21.82
2014-07-06,21.85
2014-07-06,19.66
2014-07-06,21.82
2014-07-06,23.95
2014-07-07,21.82
2014-07-07,23.95
2014-07-07,21.82
2014-07-07,23.95
2014-07-07,21.75
2014-07-07,23.95
2014-07-07,21.82
2014-07-07,24.99
2014-07-08,23.95
2014-07-12,21.50
2014-07-12,16.56
2014-07-13,23.95
2014-07-15,13.99
2014-07-16,23.95
2014-07-16,23.23
2014-07-16,21.50
2014-07-16,20.40
2014-07-17,14.92
2014-07-17,21.50
2014-07-18,23.95
2014-07-18,16.50
2014-07-18,21.50
2014-07-20,23.23
2014-07-20,21.50
2014-07-20,23.95
2014-07-20,21.45
2014-07-21,23.95
2014-07-22,16.51
2014-07-22,21.45
2014-07-22,23.95
2014-07-24,23.89
2014-07-24,23.95
2014-07-25,21.50
2014-07-27,23.95
2014-07-27,21.50
2014-07-27,23.95
2014-07-29,21.50
2014-07-29,23.95
2014-07-30,23.23
2014-07-30,23.95
2014-07-31,21.42
2014-08-01,23.95
2014-08-04,22.41
2014-08-04,24.95
2014-08-05,15.50
2014-08-05,24.95
2014-08-06,18.00
2014-08-16,23.91
2014-08-17,23.50
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-23,15.50
2014-08-23,22.71
2014-08-24,15.50
2014-08-26,17.85
2014-08-26,15.50
2014-08-26,25.03
2014-08-27,24.89
2014-08-27,15.50
2014-08-30,22.69
2014-09-01,17.99
2014-09-01,19.92
2014-09-01,15.50
2014-09-02,24.25
2014-09-02,26.95
2014-09-02,15.50
2014-09-03,24.89
2014-09-03,22.69
2014-09-03,26.95
2014-09-04,15.50
2014-09-04,26.95
2014-09-06,16.00
2014-09-07,26.95
2014-09-09,17.99
2014-09-10,24.89
2014-09-10,26.95
2014-09-11,26.90
2014-09-11,19.99
2014-09-11,19.95
2014-09-12,25.95
2014-09-12,19.95
2014-09-12,26.95
2014-09-13,19.50
2014-09-14,26.95
2014-09-14,24.89
2014-09-15,26.95
2014-09-15,22.95
2014-09-16,22.95
2014-09-16,22.00
2014-09-17,22.95
2014-09-17,26.95
2014-09-19,25.90
2014-09-20,25.00
2014-09-20,25.90
2014-09-20,26.95
2014-09-21,14.50
2014-09-22,20.00
2014-09-22,25.90
2014-09-22,25.00
2014-09-23,22.69
2014-09-23,26.95
2014-09-25,20.00
2014-09-25,17.99
2014-09-25,20.00
2014-09-25,25.90
2014-09-28,17.99
2014-09-28,14.95
2014-09-29,26.95
2014-09-29,14.95
2014-09-30,26.95
2014-09-30,18.42
2014-10-01,26.95
2014-10-04,24.95
2014-10-06,23.95
2014-10-08,26.95
2014-10-08,23.95
2014-10-13,26.95
2014-10-13,20.81
2014-10-14,23.95
2014-10-15,18.00
2014-10-15,23.95
2014-10-21,18.49
2014-10-21,23.95
2014-10-27,23.93
2014-10-28,23.95
2014-10-28,23.93
2014-10-29,23.95
2014-10-29,18.49
2014-10-30,23.95
2014-11-05,24.99
2014-11-18,17.00
2014-11-18,24.99
2014-11-25,22.95
2014-11-26,24.99
2014-11-27,21.95
2014-11-27,24.99
2014-12-05,17.93
2014-12-06,24.99
2014-12-07,18.75
2014-12-07,24.99
2014-12-09,15.55
2014-12-09,24.99
2014-12-10,21.50
2014-12-10,24.99
2014-12-12,16.99
2014-12-13,24.99
2014-12-13,16.99
2014-12-16,24.99
2014-12-16,16.99
2014-12-18,24.99
2014-12-18,16.99
2014-12-18,24.99
2014-12-19,22.00
2014-12-20,24.99
2014-12-20,16.00
2014-12-23,22.95
2014-12-30,21.95
2015-01-03,16.99
2015-01-04,22.95
2015-01-06,15.99
2015-01-10,23.95
2015-01-12,15.49
2015-01-13,23.95
2015-01-14,23.89
2015-01-15,23.95
2015-01-15,23.89
2015-01-15,23.95
2015-01-16,17.93
2015-01-17,16.77
2015-01-17,17.99
2015-01-17,22.95
2015-01-19,21.65
2015-01-21,22.95
2015-01-22,22.90
2015-01-22,22.95
2015-01-23,22.90
2015-01-23,15.74
2015-01-23,22.90
2015-01-25,22.95
2015-01-27,22.90
2015-02-02,23.45
2015-02-03,22.89
2015-02-12,23.15
2015-02-13,17.56
2015-04-18,21.25
2015-04-19,21.95
2015-04-25,21.25
2015-05-03,25.95
2015-05-04,21.95
2015-05-06,26.95
2015-05-22,24.95
2015-05-31,21.95
2015-06-07,26.95
2015-06-17,23.95
2015-06-17,24.97
2015-07-18,23.95
2015-07-21,18.90
2015-07-23,14.41
2015-07-30,14.40
2015-08-13,24.99
2015-08-13,24.00
2015-08-14,24.95
2015-08-22,21.49
2015-08-24,21.99
2015-08-24,24.95
2015-08-26,17.00
2015-09-02,17.00
2015-09-05,20.99
2015-09-08,23.95
2015-09-08,20.49
2015-09-09,23.95
2015-09-10,23.00
2015-09-11,20.99
2015-09-12,23.00
2015-09-12,23.95
2015-09-17,20.40
2015-09-17,23.95
2015-09-17,20.99
2015-09-19,23.95
2015-09-28,22.95
2015-09-28,23.95
2015-09-30,15.92
2015-10-01,20.99
2015-10-01,22.95
2015-10-01,20.99
2015-10-02,23.95
2015-10-06,20.99
2015-10-07,23.95
2015-10-08,21.90
2015-10-09,23.95
2015-10-15,21.80
2015-10-16,21.49
2015-10-17,23.95
2015-10-18,24.95
2015-10-19,23.95
2015-10-20,23.90
2015-10-20,23.95
2015-10-22,21.49
2015-10-22,23.95
2015-10-25,20.85
2015-10-25,24.95
2015-10-26,23.90
2015-10-27,23.95
2015-10-30,23.90
2015-10-30,23.95
2015-10-31,24.95
2015-10-31,23.90
2015-10-31,24.95
2015-11-01,23.95
2015-11-02,24.95
2015-11-05,23.95
2015-11-05,23.90
2015-11-05,23.95
2015-11-06,23.90
2015-11-06,23.95
2015-11-06,23.90
2015-11-07,23.95
2015-11-07,20.85
2015-11-08,23.95
2015-11-09,24.95
2015-11-11,23.90
2015-11-11,23.95
2015-11-14,23.90
2015-11-14,23.95
2015-11-17,24.95
2015-11-18,23.95
2015-11-19,20.70
2015-11-19,20.69
2015-11-19,20.65
2015-11-19,15.69
2015-11-20,23.90
2015-11-20,23.95
2015-11-21,15.69
2015-11-21,23.95
2015-11-22,15.92
2015-11-23,23.90
2015-11-23,23.95
2015-11-24,23.90
2015-11-24,24.95
2015-11-26,22.65
2015-11-26,23.88
2015-11-26,22.65
2015-11-28,24.95
2015-11-28,21.10
2015-11-28,23.88
2015-11-29,24.95
2015-12-01,22.95
2015-12-01,22.50
2015-12-02,24.41
2015-12-03,22.50
2015-12-03,24.95
2015-12-05,22.49
2015-12-07,22.38
2015-12-08,21.34
2015-12-09,21.30
2015-12-09,21.45
2015-12-09,21.30
2015-12-10,21.59
2015-12-10,21.90
2015-12-10,22.97
2015-12-10,23.95
2015-12-11,26.95
2015-12-11,23.95
2015-12-12,23.90
2015-12-12,23.95
2015-12-13,26.95
2015-12-14,23.95
2015-12-17,15.99
2015-12-17,21.44
2015-12-18,22.49
2015-12-19,22.45
2015-12-19,24.95
2015-12-19,22.49
2015-12-19,26.95
2015-12-20,26.95
2015-12-21,26.95
2015-12-21,26.95
2015-12-21,26.95
2015-12-21,22.95
2015-12-22,26.95
2015-12-23,20.99
2015-12-24,26.95
2015-12-28,21.96
2015-12-29,24.10
2015-12-29,23.90
2015-12-30,21.32
2015-12-31,23.88
2016-01-01,22.01
2016-01-02,24.95
2016-01-02,17.56
2016-01-02,24.95
2016-01-04,26.95
2016-01-04,23.89
2016-01-04,26.95
2016-01-05,24.95
2016-01-07,24.95
2016-01-08,21.45
2016-01-09,20.50
2016-01-09,24.95
2016-01-10,21.45
2016-01-10,24.95
2016-01-14,21.45
2016-01-18,24.95
2016-01-18,24.95
2016-01-19,24.95
2016-01-19,23.90
2016-01-20,24.95
2016-01-20,20.99
2016-01-20,24.95
2016-01-21,26.95
2016-01-21,24.95
2016-01-21,21.64
2016-01-22,21.45
2016-01-25,23.90
2016-01-26,29.20
2016-01-27,18.99
2016-01-27,22.50
2016-01-28,23.90
2016-01-28,24.95
2016-01-28,21.45
2016-02-01,24.95
2016-02-01,26.95
2016-02-01,21.45
2016-02-01,26.95
2016-02-02,21.45
2016-02-03,26.95
2016-02-03,23.90
2016-02-04,26.95
2016-02-04,21.45
2016-02-07,20.40
2016-02-07,26.95
2016-02-08,23.90
2016-02-08,26.95
2016-02-09,22.99
2016-02-09,21.45
2016-02-10,22.99
2016-02-10,21.45
2016-02-11,22.99
2016-02-11,26.95
2016-02-12,23.95
2016-02-13,23.90
2016-02-13,23.95
2016-02-14,26.95
2016-02-15,22.95
2016-02-17,22.99
2016-02-17,22.49
2016-02-18,22.89
2016-02-18,26.95
2016-02-19,26.95
2016-02-20,22.99
2016-02-20,26.95
2016-02-23,19.47
2016-02-23,26.95
2016-02-24,26.95
2016-02-25,22.95
2016-02-26,23.69
2016-02-27,22.95
2016-02-27,23.99
2016-02-27,23.73
2016-02-28,23.90
2016-02-29,19.47
2016-02-29,26.95
2016-02-29,22.89
2016-02-29,22.50
2016-03-01,26.95
2016-03-01,23.90
2016-03-01,26.95
2016-03-03,23.73
2016-03-03,23.73
2016-03-04,22.40
2016-03-04,26.95
2016-03-05,22.95
2016-03-08,26.95
2016-03-10,22.95
2016-03-13,23.73
2016-03-14,22.95
2016-03-15,26.95
2016-03-16,22.95
2016-03-16,26.95
2016-03-16,22.95
2016-03-18,26.95
2016-03-18,23.99
2016-03-19,22.25
2016-03-19,22.95
2016-03-23,23.90
2016-03-24,19.46
2016-03-24,26.95
2016-03-25,22.95
2016-03-29,14.99
2016-05-12,23.90
2016-05-13,21.45
2016-05-17,24.90
2016-05-19,17.00
2016-06-03,21.45
2016-06-07,23.85
2016-06-07,21.45
2016-06-08,23.85
2016-06-09,21.45
2016-06-14,23.85
2016-06-14,21.45
2016-06-15,16.00
2016-06-15,16.50
2016-06-16,23.85
2016-06-16,23.99
2016-06-17,23.85
2016-06-17,17.00
2016-06-18,21.99
2016-06-18,23.85
2016-06-18,21.45
2016-06-21,23.45
2016-06-22,23.85
2016-06-22,23.45
2016-06-23,24.99
2016-06-28,23.45
2016-06-29,24.99
2016-06-30,21.45
2016-07-01,23.99
2016-07-01,18.77
2016-07-04,23.99
2016-07-05,21.45
2016-07-10,23.90
2016-07-12,21.45
2016-07-15,23.95
2016-07-19,23.99
2016-07-20,23.95
2016-07-20,23.85
2016-07-20,23.39
2016-07-21,23.45
2016-07-21,23.90
2016-07-22,23.95
2016-07-25,23.85
2016-07-25,23.95
2016-07-26,23.99
2016-07-26,23.95
2016-07-27,23.45
2016-07-28,23.90
2016-07-28,23.45
2016-07-28,23.95
2016-07-30,23.85
2016-07-30,23.95
2016-08-03,23.35
2016-08-04,23.95
2016-08-05,23.90
2016-08-05,23.95
2016-08-10,23.90
2016-08-10,23.95
2016-08-11,18.34
2016-08-12,23.95
2016-08-17,23.35
2016-08-18,23.90
2016-08-18,26.95
2016-08-18,23.35
2016-08-19,26.95
2016-08-22,23.95
2016-08-22,26.95
2016-08-23,23.45
2016-08-25,26.95
2016-09-01,23.45
2016-09-13,25.50
2016-09-14,23.45
2016-09-15,23.99
2016-09-15,23.45
2016-09-18,23.99
2016-09-19,23.45
2016-09-27,23.44
2016-09-27,23.45
2016-09-28,23.44
2016-09-28,23.45
2016-10-01,23.33
2016-10-02,19.95
2016-10-18,22.99
2016-10-20,19.95
2016-10-24,22.99
2016-10-24,19.95
2016-10-31,23.44
2016-11-01,23.45
2016-11-01,23.44
2016-11-01,19.95
2016-11-01,23.45
2016-11-05,19.95
2016-11-09,19.95
