Time,Price
2013-03-05,16.99
2013-04-04,13.57
2013-04-05,13.72
2013-04-06,14.12
2013-04-07,14.18
2013-04-08,16.99
2013-06-04,16.99
2013-06-04,16.99
2013-06-06,16.99
2013-06-07,16.99
2013-06-07,16.99
2013-06-09,16.99
2013-06-09,16.99
2013-06-10,16.99
2013-06-16,16.99
2013-06-22,16.99
2013-06-29,16.99
2013-07-02,16.99
2013-07-05,16.99
2013-07-08,16.99
2013-07-14,16.99
2013-07-26,16.99
2013-08-02,16.99
2013-08-05,16.99
2013-08-07,16.99
2013-08-12,16.99
2013-08-16,16.75
2013-08-26,16.75
2013-08-28,14.8
2013-08-30,14.8
2013-08-31,14.8
2013-09-08,14.8
2013-09-13,14.8
2013-09-15,14.8
2013-09-15,14.8
2013-09-19,14.8
2013-10-01,14.8
2013-10-05,14.8
2013-10-10,14.8
2013-10-15,14.8
2013-10-16,14.8
2013-10-18,14.8
2013-10-23,14.8
2013-10-26,14.8
2013-10-28,14.8
2013-10-28,14.8
2013-10-30,14.8
2013-11-01,14.8
2013-11-03,14.8
2013-11-10,14.8
2013-11-25,13.99
2013-12-05,13.99
2013-12-08,13.99
2013-12-12,13.99
2013-12-15,13.99
2013-12-18,13.99
2013-12-23,13.99
2013-12-30,13.99
2013-12-31,13.99
2014-01-02,13.99
2014-01-03,13.99
2014-01-08,13.99
2014-01-09,13.99
2014-01-09,13.99
2014-01-13,13.99
2014-01-21,13.99
2014-02-10,12.35
2014-02-19,15.99
2014-02-20,12.35
2014-02-23,19.04
2014-02-25,18
2014-02-28,15.56
2014-03-01,11.42
2014-03-02,11.22
2014-03-04,17.6
2014-03-07,16.78
2014-03-09,12.23
2014-03-10,17.6
2014-03-14,12.8
2014-06-09,12.8
2014-06-21,12.8
2014-08-08,15.99
2014-08-18,12.8
2014-08-25,15.99
2014-08-27,15.99
2014-09-01,15.99
2014-09-03,15.99
2014-09-14,15.99
2014-09-21,15.99
2014-09-27,15.99
2014-09-30,15.99
2014-10-04,15.99
2014-10-08,15.99
2014-10-13,15.7
2014-10-22,12.99
2014-10-24,12.99
2014-10-31,12.99
2014-11-10,12.99
2014-11-22,12.99
2014-11-26,12.99
2014-12-01,12.99
2014-12-03,12.99
2014-12-03,12.99
2014-12-10,10.92
2015-01-01,12.99
2015-02-17,12.99
2015-02-18,12.99
2015-03-13,12.99
2015-03-16,12.99
2015-03-29,12.99
2015-04-02,12.99
2015-04-09,12.99
2015-04-17,12.99
2015-04-24,14.99
2015-04-26,14.99
2015-05-01,14.99
2015-05-07,14.99
2015-05-09,14.99
2015-05-18,14.99
2015-06-11,14.99
2015-06-28,14.99
2015-07-03,14.99
2015-07-07,14.99
2015-07-12,14.99
2015-07-13,14.99
2015-07-23,14.99
2015-07-31,14.99
2015-08-31,14.99
2015-09-10,14.99
2015-09-16,14.99
2015-09-24,14.99
2015-11-09,14.99
2015-11-11,14.99
2015-11-14,14.99
2015-11-15,14.99
2015-11-20,14.99
2015-11-25,14.99
2015-11-27,14.99
2015-12-11,13.49
2015-12-12,13.49
2015-12-13,13.49
2015-12-21,13.49
2015-12-22,13.49
2015-12-31,13.49
2016-01-06,13.49
2016-01-12,13.49
2016-01-13,13.49
2016-02-04,13.49
2016-02-07,13.49
2016-02-23,13.49
2016-02-29,13.49
2016-03-02,13.49
2016-03-16,13.49
2016-03-18,12.55
2016-03-18,12.55
2016-03-25,12.55
2016-04-01,14.81
2016-04-02,14.81
2016-04-03,14.07
2016-04-08,14.81
2016-04-12,14.07
2016-04-14,9.88
2016-05-29,9.88
2016-05-31,9.88
2016-05-31,14.07
2016-06-01,9.88
2016-06-01,14.07
2016-06-02,10
2016-06-04,14.07
2016-06-07,14.81
2016-06-09,10
2016-06-10,14.81
2016-06-11,10
2016-07-29,13.99
2016-08-13,13.98
2016-08-15,13.99
2016-08-17,13.98
2016-09-18,13.99
2016-10-24,14.41
2016-10-24,13.99
2016-10-25,13.99
2016-10-25,13.99
2016-10-25,13.99
2016-10-26,13.99
2016-10-26,13.99
2016-10-26,13.99
2016-10-26,14.41
2016-10-26,14.41
2016-10-26,14.41
2016-10-26,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-27,14.41
2016-10-28,14.41
2016-10-28,14.41
2016-10-28,14.41
2016-10-28,14.41
2016-10-28,14.41
2016-10-28,14.41
