Time,Price
2014-02-21,29.58
2014-06-07,29.99
2014-07-14,29.54
2014-10-22,29
2014-10-24,28.25
2014-10-26,23.19
2014-11-03,22.2
2014-11-09,22.2
2014-11-11,22.19
2014-11-18,21.38
2014-11-23,21.37
2014-11-25,21.16
2014-11-26,21.37
2014-11-29,22.05
2014-12-04,22.05
2014-12-21,22.2
2014-12-30,22.2
2015-01-22,22.87
2015-02-14,20.97
2015-02-18,20.97
2015-02-26,22.08
2015-02-28,22.5
2015-03-10,22.5
2015-05-02,29.99
2015-05-15,29.99
2015-05-22,23.68
2015-05-26,20
2015-06-12,20
2015-06-13,29.99
2015-06-17,29.99
2015-06-18,29.99
2015-06-24,29.99
2015-06-25,29.99
2015-06-26,29.99
2015-06-27,29.99
2015-06-27,29.99
2015-06-28,29.99
2015-06-30,29.99
2015-07-09,29.99
2015-07-10,29.99
2015-07-18,29.99
2015-07-19,29.99
2015-10-02,29.97
2015-11-03,25.17
2015-11-03,24.99
2015-11-11,23.99
2015-11-14,24.3
2015-11-18,29.99
2015-11-21,23.23
2015-11-25,24.08
2015-11-27,22.49
2015-12-10,29.99
2015-12-31,19.99
2016-01-30,19.99
2016-01-30,19.99
2016-02-06,21.95
2016-02-12,24.94
2016-03-16,24.94
2016-03-25,24.94
2016-04-01,24.5
2016-05-10,24.49
2016-06-03,21.8
2016-09-18,19.8
2016-10-27,20.06
2016-10-29,17.98
2016-10-31,17.98
2016-11-05,17.77
2016-11-06,18.38
2016-11-08,18.38
