Time,Price
2014-06-08,21.79
2014-06-28,21.69
2014-07-22,19.99
2014-08-20,19.85
2014-08-30,19.65
2014-09-14,19.81
2014-09-14,19.99
2014-10-16,19.65
2014-11-04,19.66
2014-11-16,19.65
2015-01-01,19.58
2015-01-19,19.35
2015-02-12,20.89
2015-02-17,19.99
2015-02-24,22.60
2015-03-27,22.25
2015-04-27,19.59
2015-05-07,20.30
2015-05-18,20.86
2015-06-03,20.99
2015-06-23,20.24
2015-07-07,22.25
2015-08-08,18.99
2015-08-12,20.29
2015-08-16,19.45
2015-08-26,19.66
2015-09-26,19.45
2015-09-28,20.99
2015-10-28,22.49
2015-11-07,20.99
2015-12-12,19.35
2015-12-31,19.84
2016-01-30,21.49
2016-02-18,20.38
2016-03-07,22.44
2016-04-07,19.14
2016-04-12,18.42
2016-04-23,20.50
2016-05-25,22.14
2016-05-26,22.24
2016-09-02,21.97
2016-09-15,21.87
2016-10-17,21.94
2016-11-06,20.60
2016-11-08,20.35
2016-11-25,19.82
2016-11-26,19.82
