Time,Price
2013-01-15,15.65
2013-01-28,14.65
2013-03-13,15.65
2013-04-04,14.1
2013-05-03,13.46
2013-05-15,13.28
2013-07-02,12.11
2013-07-26,12.22
2013-09-06,12.33
2013-09-26,12.33
2013-10-18,12.17
2013-11-07,12.17
2013-12-04,12.17
2013-12-26,14.78
2014-01-19,15.28
2014-02-15,15.28
2014-03-05,15.12
2014-03-09,14.92
2014-04-23,14.86
2014-05-22,14.44
2014-11-20,12.77
2014-12-23,13
2015-03-03,13.2
2015-04-20,11.8
2015-09-04,11.4
2015-11-18,11.8
2016-04-13,13.84
2016-11-25,13.84
