Time,Price
2013-07-19,26.54
2013-07-22,44
2013-07-26,59.95
2013-07-29,34.63
2013-07-31,49.99
2013-07-31,28.5
2013-09-02,25.94
2013-09-13,41.56
2013-09-16,25.94
2013-10-22,25.94
2013-10-23,25.94
2013-11-04,35.98
2013-11-05,25.94
2013-11-13,25.94
2013-11-13,25.94
2013-11-21,25.94
2013-11-22,25.94
2013-11-27,35.98
2013-11-29,25.94
2013-12-03,35.98
2013-12-16,25.94
2014-01-03,35.98
2014-01-12,25.94
2014-01-31,25.94
2014-02-04,25.94
2014-03-05,25.94
2014-03-06,25.94
2014-03-31,25.94
2014-04-01,25.94
2014-04-28,25.94
2014-05-05,25.94
2014-05-13,25.94
2014-05-14,25.94
2014-05-25,35.98
2014-05-26,35.98
2014-05-29,25.94
2014-09-01,23.94
2014-09-16,25.94
2014-10-11,23.94
2014-12-01,27.98
