Time,Price
2012-06-01,39.14
2012-06-03,41.17
2012-06-06,41.17
2012-06-07,41.17
2012-06-09,39.14
2012-06-10,41.17
2012-06-14,41.17
2012-06-17,39.14
2012-06-18,41.17
2012-06-19,41.17
2012-06-20,41.17
2012-06-21,41.17
2012-06-23,41.17
2012-06-27,41.17
2012-06-28,47.75
2012-06-30,47.75
2012-07-02,41.17
2012-07-03,41.17
2012-07-04,41.17
2012-07-06,41.17
2012-07-06,44.99
2012-07-07,41.32
2012-07-08,43.49
2012-07-10,44.99
2012-07-11,44.99
2012-07-12,41.17
2012-07-14,41.17
2012-07-14,41.17
2012-07-17,41.17
2012-07-18,41.17
2012-07-19,40.54
2012-07-21,40.54
2012-07-21,40.54
2012-07-22,40.54
2012-07-22,40.54
2012-07-23,40.54
2012-07-23,40.54
2012-07-24,40.54
2012-07-25,40.54
2012-07-26,40.54
2012-07-27,40.54
2012-07-27,40.54
2012-07-28,40.54
2012-08-03,40.54
2012-08-07,40.54
2012-08-08,40.54
2012-08-09,40.54
2012-08-10,40.54
2012-08-11,40.54
2012-08-12,40.54
2012-08-13,40.54
2012-08-14,40.54
2012-08-16,40.54
2012-08-18,40.54
2012-08-19,40.54
2012-08-23,40.54
2012-08-25,40.54
2012-08-29,40.54
2012-08-31,40.54
2012-09-01,40.54
2012-09-02,40.54
2012-09-03,40.54
2012-09-05,40.54
2012-09-11,39
2012-09-12,39
2012-09-12,39
2012-09-14,39
2012-09-15,39
2012-09-18,39
2012-09-20,39
2012-09-21,39.09
2012-10-26,39.09
2012-12-04,39.14
2012-12-04,39.14
2012-12-04,39.14
2012-12-04,39.14
2012-12-05,40.54
2012-12-21,36.99
2012-12-25,43.49
2012-12-26,43.49
2013-05-31,40.54
2013-06-01,40.54
2013-06-04,40.54
2013-06-10,40.54
2013-06-11,40.54
2013-07-27,40.54
2013-07-30,40.54
2013-08-03,40.54
2013-08-06,40.54
2013-08-09,40.54
2013-08-11,40.54
2013-08-21,40.54
2013-11-08,40.54
2015-04-15,40.53
2015-05-12,40.53
2016-11-25,40.53
