Time,Price
2012-06-01,9.99
2012-06-03,9.99
2012-06-11,9.99
2012-06-12,9.99
2012-07-16,9.99
2012-07-22,9.99
2012-07-23,9.99
2012-07-24,9.99
2012-07-28,9.99
2012-07-29,9.99
2012-07-29,9.99
2012-08-12,9.99
2012-08-17,9.99
2012-08-21,9.99
2012-08-23,9.99
2012-08-24,9.99
2012-08-24,9.99
2012-08-25,9.99
2012-08-25,9.99
2012-08-26,9.99
2012-08-27,9.99
2012-08-28,9.99
2012-08-28,9.99
2012-08-28,9.99
2012-08-29,9.99
2012-08-29,9.99
2012-08-31,9.99
2012-09-01,9.99
2012-09-04,9.99
2012-09-10,9.99
2012-09-11,9.99
2012-09-14,9.99
2012-09-15,9.99
2012-09-18,9.99
2012-09-21,9.99
2012-09-27,9.99
2012-10-02,9.99
2012-10-07,9.99
2012-10-07,9.99
2012-10-17,9.99
2012-10-19,9.99
2012-10-21,9.99
2012-10-24,9.99
2012-10-25,9.99
2012-10-26,9.99
2012-10-28,9.99
2012-11-02,9.99
2012-11-06,9.99
2012-11-07,9.99
2012-11-12,9.99
2012-11-13,9.99
2012-11-18,9.99
2012-11-21,9.99
2012-11-21,9.99
2012-11-24,9.99
2012-11-30,9.99
2012-12-03,9.99
2012-12-16,9.99
2012-12-18,9.99
2012-12-20,9.99
2012-12-24,9.99
2012-12-30,9.99
2012-12-31,9.99
2013-02-10,9.99
2013-02-12,9.99
2013-02-14,9.99
2013-02-15,9.99
2013-02-16,9.99
2013-02-17,9.99
2013-02-18,9.99
2013-02-18,9.99
2013-02-19,9.99
2013-02-22,9.99
2013-03-02,9.99
2013-03-02,9.99
2013-03-05,9.99
2013-03-05,9.99
2013-03-08,9.99
2013-03-11,9.95
2013-03-17,9.99
2013-03-17,9.99
2013-03-26,9.99
2013-03-27,9.99
2013-04-10,9.99
2013-04-13,9.99
2013-04-14,9.99
2013-04-16,9.99
2013-04-18,9.99
2013-04-22,9.99
2013-04-22,9.99
2013-04-24,9.99
2013-05-04,9.99
2013-05-04,9.99
2013-05-14,9.99
2013-05-16,9.99
2013-06-05,9.99
2013-06-05,9.99
2013-06-08,9.99
2013-06-08,9.99
2013-06-28,9.99
2013-08-06,9.99
2013-08-13,9.99
2013-08-13,9.99
2013-08-22,9.99
2013-08-29,9.99
2013-08-29,9.99
2013-09-17,9.99
2013-09-24,9.99
2013-09-26,9.99
2013-10-24,9.99
2013-11-05,8.99
2013-11-05,9.99
2013-11-13,9.95
2013-11-21,9.95
2013-11-22,9.95
2013-11-22,9.95
2013-11-25,9.95
2013-11-28,9.95
2013-12-04,9.95
2013-12-07,9.95
2013-12-12,9.95
2013-12-14,9.95
2014-01-04,9.95
2014-01-08,9.95
2014-01-12,9.95
2014-01-13,9.95
2014-01-29,9.95
2014-02-01,9.95
2014-02-05,9.95
2014-02-12,9.95
2014-02-24,9.95
2014-02-28,9.95
2014-03-02,9.95
2014-03-10,9.95
2014-03-12,9.95
2014-04-08,9.95
2014-05-03,9.95
2014-06-09,9.95
2014-07-31,9.95
2014-08-22,9.95
2014-10-03,9.95
2014-10-08,9.95
2014-12-06,9.95
2014-12-21,9.95
2015-01-04,9.95
2015-01-16,9.95
2015-02-15,9.95
2015-02-16,9.95
2015-02-19,9.95
2015-02-24,9.95
2015-03-13,9.95
2015-03-18,9.95
2015-03-20,9.95
2015-05-07,9.95
2015-05-20,9.95
2015-05-26,9.95
2015-06-06,9.95
2015-06-15,9.95
2015-06-18,9.95
2015-06-25,9.95
2015-07-10,9.95
2015-07-26,9.95
2015-07-27,9.95
2015-07-29,9.95
2015-08-03,9.95
2015-08-14,9.95
2015-08-31,9.99
2015-09-16,9.99
2015-09-17,9.99
2015-09-19,9.99
2015-09-23,9.99
2015-09-26,9.99
2015-09-30,9.99
2015-11-04,9.95
2015-11-15,9.95
2015-11-16,9.95
2015-11-22,9.95
2015-11-23,9.95
2015-11-26,9.95
2015-11-30,9.95
2015-12-01,9.99
2015-12-09,9.99
2015-12-15,9.99
2015-12-15,9.99
2015-12-17,9.99
2015-12-21,9.99
2015-12-21,9.99
2015-12-25,9.99
2015-12-30,9.99
2016-01-05,9.99
2016-01-07,9.99
2016-01-09,9.99
2016-01-10,9.99
2016-02-19,9.99
2016-02-28,9.95
2016-03-02,9.95
2016-03-17,9.99
2016-03-18,9.99
2016-03-21,9.99
2016-03-24,9.99
2016-03-26,9.95
2016-03-27,9.95
2016-03-30,9.95
2016-03-31,9.95
2016-04-02,9.95
2016-04-03,9.95
2016-04-06,9.95
2016-04-06,9.95
2016-04-14,9.95
2016-04-14,9.95
2016-04-27,9.95
2016-05-11,9.95
2016-05-12,9.95
2016-05-15,9.95
2016-05-25,9.95
2016-05-26,9.95
2016-05-28,9.95
2016-06-01,9.95
2016-06-01,9.95
2016-07-28,9.95
2016-09-20,9.95
2016-10-27,9.95
2016-10-29,9.95
2016-11-01,9.95
2016-11-02,9.95
2016-11-03,9.95
2016-11-07,9.95
2016-11-08,9.95
2016-11-08,9.95
2016-11-11,9.95
2016-11-12,6.97
2016-11-15,6.97
2016-11-16,6.97
2016-11-17,6.97
2016-11-18,6.97
2016-11-18,6.97
2016-11-19,6.97
2016-11-19,6.97
2016-11-19,6.97
2016-11-20,6.97
2016-11-20,6.97
2016-11-20,6.97
2016-11-21,6.97
2016-11-21,6.97
2016-11-22,6.97
2016-11-22,6.97
2016-11-22,6.97
2016-11-23,6.97
2016-11-23,6.97
2016-11-25,6.97
2016-11-25,6.97
2016-11-25,6.97
