Time,Price
2012-06-01,27.92
2012-06-03,31.89
2012-06-06,27.92
2012-06-08,25.95
2012-06-08,31.89
2012-06-09,27.92
2012-06-09,27.92
2012-06-13,31.89
2012-06-15,31.89
2012-06-17,31.6
2012-06-19,30.34
2012-06-21,27.04
2012-06-22,30.34
2012-06-23,30.34
2012-06-24,29.29
2012-06-26,23.94
2012-06-27,27.04
2012-06-27,27.04
2012-06-28,30.34
2012-06-30,30.34
2012-07-02,27.04
2012-07-04,30.34
2012-07-07,30.34
2012-07-07,27.04
2012-07-09,27.04
2012-07-10,27.04
2012-07-12,27.24
2012-07-13,27.24
2012-07-13,30.34
2012-07-16,30.34
2012-07-21,27.24
2012-07-22,27.24
2012-07-27,24.99
2012-07-31,24.52
2012-08-01,24.99
2012-08-02,23.7
2012-08-03,23.7
2012-08-04,24.99
2012-08-07,25.22
2012-08-08,25.22
2012-08-10,24.98
2012-08-11,25.21
2012-08-12,24.98
2012-08-13,24.98
2012-08-14,25.21
2012-08-15,22.99
2012-08-16,23.2
2012-08-18,22.99
2012-08-19,23.2
2012-08-20,23.2
2012-08-22,22.99
2012-08-24,22.99
2012-08-25,22.99
2012-08-26,22.99
2012-08-27,22.99
2012-08-28,22.99
2012-08-29,22.99
2012-09-10,28.02
2012-09-13,28.02
2012-09-19,27.04
2012-09-19,28.02
2012-09-21,28.02
2012-09-22,28.52
2012-09-22,28.78
2012-09-23,27.04
2012-09-24,27.04
2012-09-26,27.04
2012-10-16,30.34
2012-10-17,30.34
2012-10-26,24.91
2012-10-26,21.14
2012-10-29,27.04
2012-10-31,27.04
2012-11-01,27.04
2012-11-08,29.33
2012-11-09,29.33
2012-11-10,29.33
2012-11-11,27.04
2012-11-12,27.04
2012-11-13,29.32
2012-11-14,29.39
2012-11-14,29.39
2012-11-16,29.39
2012-11-16,27.04
2012-11-19,29.39
2012-11-22,27.04
2012-11-24,24.99
2012-11-29,24.99
2012-12-01,24.99
2012-12-04,22.28
2012-12-04,23.95
2012-12-05,23.95
2012-12-21,23.95
2013-02-07,30.31
2013-02-09,24.99
2013-02-10,24.67
2013-02-11,24.99
2013-02-12,24.95
2013-02-13,24.67
2013-02-13,24.95
2013-02-14,24.95
2013-02-15,24.95
2013-02-16,25.16
2013-02-20,28.7
2013-02-21,24.99
2013-02-27,24.99
2013-02-28,24.99
2013-03-01,24.99
2013-03-03,24.99
2013-03-04,27.97
2013-03-05,24.99
2013-03-07,24.99
2013-03-08,24.99
2013-03-09,24.99
2013-03-09,24.99
2013-03-11,24.99
2013-03-13,24.99
2013-03-17,24.99
2013-03-18,24.99
2013-03-19,24.99
2013-03-19,24.99
2013-03-21,24.99
2013-03-23,25.22
2013-03-24,24.99
2013-03-24,24.99
2013-03-25,24.99
2013-03-26,24.99
2013-03-29,24.99
2013-04-03,24.99
2013-04-12,25.22
2013-04-13,25.22
2013-04-15,24.99
2013-04-17,24.99
2013-04-18,24.99
2013-04-19,24.99
2013-04-22,24.99
2013-04-24,24.99
2013-04-26,24.99
2013-04-27,24.99
2013-05-02,24.24
2013-05-02,24.24
2013-05-03,23.78
2013-05-04,23.32
2013-05-05,24.99
2013-05-05,24.99
2013-05-06,24.23
2013-05-07,24.23
2013-05-08,24.99
2013-05-09,24.99
2013-05-09,24.99
2013-05-10,24.99
2013-05-13,24.99
2013-05-15,24.99
2013-05-16,24.23
2013-05-17,23.48
2013-05-18,23.02
2013-05-19,23.02
2013-05-19,22.8
2013-05-20,22.49
2013-05-20,25.22
2013-05-21,24.99
2013-05-22,24.99
2013-05-23,25.22
2013-05-23,24.99
2013-05-24,24.99
2013-05-25,24.99
2013-05-26,24.99
2013-05-27,25.22
2013-05-27,25.22
2013-05-28,24.99
2013-05-30,24.99
2013-05-31,24.99
2013-06-01,24.99
2013-06-01,25.22
2013-06-02,25.22
2013-06-03,24.24
2013-06-05,24.46
2013-06-08,23.39
2013-06-12,24.99
2013-06-15,28.35
2013-06-19,25.22
2013-06-22,25.22
2013-06-28,25.22
2013-07-01,28.35
2013-07-04,27.26
2013-07-07,27.8
2013-07-10,27.28
2013-07-13,27.57
2013-07-16,25.22
2013-07-19,25.22
2013-07-25,23.59
2013-07-26,25.22
2013-07-29,25.22
2013-08-01,26.83
2013-08-01,25.22
2013-08-04,25.22
2013-08-07,25.22
2013-08-10,25.22
2013-08-13,25.22
2013-08-16,25.22
2013-08-29,25.22
2013-09-04,27.25
2013-09-14,27.25
2013-09-17,28.35
2013-09-21,25.22
2013-09-24,25.22
2013-10-06,25.78
2013-10-13,25.79
2013-10-17,25.79
2013-10-25,27.23
2013-10-27,27.24
2013-10-30,27.24
2013-11-02,25.21
2013-11-22,19.54
2013-12-02,25.21
2013-12-08,25.21
2013-12-10,27.67
2013-12-11,29.99
2013-12-14,25.22
2013-12-17,26.63
2013-12-23,22.99
2013-12-25,22.99
2013-12-26,22.99
2013-12-29,22.99
2014-01-01,25.21
2014-01-02,25.21
2014-01-30,23.99
2014-02-01,23.99
2014-02-12,29.99
2014-02-14,29.99
2014-02-18,29.99
2014-02-28,29.99
2014-03-03,29.99
2014-03-07,29.99
2014-03-15,29.34
2014-03-18,28.07
2014-03-19,28.46
2014-03-23,25.21
2014-04-09,24.97
2014-04-13,24.97
2014-04-23,24.97
2014-05-07,24.97
2014-05-11,24.97
2014-05-19,24.97
2014-06-05,24.97
2014-06-09,24.97
2014-06-10,24.97
2014-07-11,26.1
2014-07-31,26.1
2014-08-25,26.1
2014-08-31,26.1
2014-09-13,26.1
2014-09-17,29.99
2014-09-27,27
2014-09-29,29.99
2014-10-02,29.24
2014-10-06,29.99
2014-10-16,29.24
2014-10-27,26.57
2014-11-04,29.99
2014-11-09,29.99
2014-11-18,25.21
2014-11-25,29.99
2014-11-27,26.23
2014-11-29,28.74
2014-12-02,25.21
2014-12-06,25.21
2014-12-21,29.99
2014-12-30,30
2015-01-01,30.45
2015-01-04,25.12
2015-01-22,25.17
2015-02-16,28.66
2015-02-24,25
2015-02-28,25.87
2015-03-01,30.45
2015-03-04,31
2015-03-13,29.99
2015-03-18,29.95
2015-03-23,30.25
2015-03-27,30.16
2015-04-02,28.69
2015-04-09,26.72
2015-04-12,26.94
2015-04-16,26.68
2015-04-18,26.7
2015-04-19,26.68
2015-04-20,30.25
2015-04-26,29.99
2015-04-30,26.68
2015-05-02,29.99
2015-05-05,30.25
2015-05-10,31.65
2015-05-12,31.29
2015-05-14,26.38
2015-05-16,26.38
2015-05-26,30.21
2015-05-29,30.21
2015-05-31,30.25
2015-06-12,30.95
2015-06-23,31.61
2015-07-12,28.62
2015-07-12,27.41
2015-07-14,26.6
2015-07-15,27.41
2015-07-21,29.06
2015-07-26,25.24
2015-07-30,30.01
2015-08-16,26.42
2015-08-23,26.28
2015-08-27,27.38
2015-09-01,29.7
2015-09-02,30.1
2015-09-08,27.55
2015-09-09,26.26
2015-09-12,27.3
2015-09-12,27.61
2015-09-13,28.3
2015-09-15,25.19
2015-09-16,26.47
2015-09-18,26.8
2015-09-20,27.58
2015-09-21,27.93
2015-09-22,28.14
2015-09-23,28.52
2015-09-25,29.85
2015-09-26,29.95
2015-09-27,29.95
2015-09-29,29.95
2015-09-30,29.95
2015-10-02,30.09
2015-10-04,25.94
2015-10-05,24.94
2015-11-05,28.37
2015-11-09,28.36
2015-11-13,28.36
2015-11-16,28.36
2015-12-11,25.6
2015-12-19,25.7
2015-12-25,25.7
2016-01-04,25.42
2016-01-10,25.42
2016-02-02,29.95
2016-02-20,30.99
2016-03-18,25.62
2016-03-21,30.49
2016-03-25,31.39
2016-03-28,32.8
2016-03-31,31.42
2016-04-02,28.02
2016-04-06,26.16
2016-04-10,25.57
2016-04-11,30.65
2016-04-13,31.35
2016-04-26,21.37
2016-04-30,22.6
2016-05-10,22.6
2016-05-14,22.6
2016-05-15,22.6
2016-05-24,22.6
2016-06-03,22.6
2016-09-19,29.38
2016-10-26,25.23
2016-10-27,25.23
2016-10-27,25.23
2016-11-01,25.23
2016-11-02,25.23
2016-11-06,25.23
2016-11-06,25.23
2016-11-07,25.23
2016-11-10,25.23
2016-11-10,25.23
2016-11-11,25.23
2016-11-14,25.23
2016-11-15,25.23
2016-11-16,25.23
2016-11-19,25.23
2016-11-22,25.23
2016-11-24,25.23
2016-11-25,25.23
2016-11-25,25.23
2016-11-25,25.23
