Time,Price
2012-06-02,9.72
2012-06-04,8.95
2012-06-05,8.76
2012-06-07,8.34
2012-06-07,8.34
2012-06-08,8.34
2012-06-08,8.34
2012-06-08,8.34
2012-06-09,9.46
2012-06-09,9.46
2012-06-09,9.2
2012-06-10,9.2
2012-06-10,8.95
2012-06-11,8.95
2012-06-11,8.63
2012-06-11,9.99
2012-06-12,8.43
2012-06-12,8.43
2012-06-13,8.43
2012-06-13,8.34
2012-06-14,8.92
2012-06-14,8.43
2012-06-15,8.63
2012-06-16,8.43
2012-06-17,8.34
2012-06-17,8.34
2012-06-18,8.34
2012-06-18,9.44
2012-06-18,8.92
2012-06-19,9.8
2012-06-20,9.99
2012-06-21,9.99
2012-08-03,9.99
2012-08-13,9.49
2012-08-28,9.5
2012-08-30,9.5
2012-08-30,9.5
2012-08-31,9.7
2012-08-31,9.5
2012-08-31,9.5
2012-09-02,9.5
2012-09-10,9.5
2012-09-12,9.5
2012-09-12,9.24
2012-09-13,9.24
2012-09-14,9.99
2012-09-18,9.99
2012-09-19,9.99
2012-09-19,9.99
2012-09-27,9.73
2012-09-28,9.47
2012-09-28,9.99
2012-10-02,9.99
2012-10-08,9.98
2012-10-18,9.98
2012-10-20,9.68
2012-10-21,9.98
2012-10-26,9.98
2012-11-01,9.98
2012-11-02,9.98
2012-11-02,9.98
2012-11-04,9.98
2012-11-06,9.98
2012-11-11,9.98
2012-11-16,9.98
2012-11-30,9.98
2012-12-04,9.98
2012-12-06,9.98
2012-12-09,9.98
2012-12-15,9.99
2012-12-15,9.99
2012-12-18,12.99
2013-01-02,9.99
2013-01-06,9.99
2013-01-07,9.99
2013-01-10,9.99
2013-01-10,8.98
2013-01-17,8.98
2013-01-17,8.98
2013-01-18,8.98
2013-01-19,9.99
2013-01-21,9.99
2013-01-24,9.99
2013-01-26,9.99
2013-01-27,9.99
2013-01-28,9.99
2013-03-27,9.99
2013-04-01,9.99
2013-04-07,9.99
2013-04-22,9.99
2013-05-06,9.99
2013-05-06,9.99
2013-05-11,9.74
2013-05-12,9.79
2013-05-12,9.99
2013-05-27,9.99
2013-05-28,9.69
2013-05-28,9.99
2013-06-01,9.99
2013-06-03,9.99
2013-06-03,9.99
2013-06-05,9.99
2013-06-05,9.99
2013-06-06,9.99
2013-06-07,9.99
2013-06-08,9.99
2013-06-11,9.48
2013-06-11,9.53
2013-06-13,10.08
2013-06-17,10.07
2013-06-18,9.99
2013-06-20,9.99
2013-06-27,9.99
2013-06-29,9.99
2013-07-02,10.07
2013-07-03,10.07
2013-07-06,9.99
2013-07-17,9.99
2013-07-19,9.99
2013-07-22,9.99
2013-07-28,9.83
2013-07-30,9.83
2013-08-02,9.57
2013-08-06,9.24
2013-08-06,9.24
2013-08-08,9.07
2013-08-12,9.07
2013-08-25,9.67
2013-08-26,9.85
