Time,Price
2012-07-25,11.95
2012-07-28,15.23
2012-12-13,10.94
2013-01-07,11.95
2013-01-12,11.95
2013-01-23,18.99
2013-02-09,15.94
2013-02-12,15.92
2013-02-22,11.04
2013-02-23,10.95
2013-03-09,10.9
2013-03-10,10.99
2013-03-18,10.9
2013-04-01,15.94
2013-04-02,11.24
2013-04-17,10.95
2013-04-19,10.71
2013-04-23,10.47
2013-04-26,10.55
2013-05-01,11.04
2013-05-10,10.53
2013-05-14,10.66
2013-05-22,10.46
2013-05-26,10.57
2013-06-18,10.54
2013-08-28,14.96
2013-09-16,16.89
2013-09-22,16.89
2013-10-07,14.96
2013-10-14,17.45
2013-10-29,17.45
2013-11-04,15.89
2013-11-24,10.76
2013-12-15,11.93
2013-12-23,11.25
2014-01-16,17.45
2014-02-06,16.3
2014-02-12,16.77
2014-02-27,15.73
2014-03-06,14.18
2014-04-14,12.72
2014-07-25,11.22
2014-08-20,13
2014-09-04,13
2014-11-04,14.76
2014-11-11,14.56
2014-12-03,14.19
2015-02-19,14.35
2015-02-27,14.35
2015-03-12,14.35
2015-03-24,13
2015-05-17,12.21
2015-06-05,12.21
2015-06-12,12.21
2015-06-28,11.49
2015-07-07,13
2015-09-24,13
2015-11-07,13
2015-12-14,13
2016-04-02,12.31
2016-04-09,13
2016-06-03,13
2016-11-09,12.19
2016-11-13,12.19
2016-11-17,12.19
