Time,Price
2012-06-02,19.95
2012-06-07,19.34
2012-07-22,19.95
2012-07-23,19.95
2012-07-25,19.49
2012-09-11,19.95
2012-09-18,19.95
2012-09-20,19.95
2012-09-21,19.95
2012-09-22,16.49
2012-09-23,19.95
2012-09-25,19.95
2012-09-26,19.95
2012-09-27,19.95
2012-09-29,19.95
2012-10-07,19.95
2012-10-10,20.13
2012-10-12,19.95
2012-10-15,20.13
2012-10-18,20.13
2012-10-18,19.73
2012-10-20,19.55
2012-10-21,19.51
2012-10-25,19.34
2012-11-03,19.95
2012-11-09,19.95
2012-11-10,19.95
2012-11-12,19.75
2012-11-13,19.75
2012-11-15,19.75
2012-11-17,19.99
2012-11-18,19.75
2012-11-19,19.75
2012-11-20,19.75
2012-11-21,19.75
2012-11-28,19.95
2012-12-03,19.86
2013-02-14,19.95
2013-02-15,19.99
2013-02-16,19.99
2013-02-19,19.95
2013-02-20,19.99
2013-02-20,19.99
2013-02-21,19.95
2013-02-28,17.19
2013-03-13,19.99
2013-05-01,19.34
2013-05-02,19.95
2013-05-03,19.95
2013-05-03,19.95
2013-05-08,19.95
2013-05-08,19.92
2013-05-09,19.92
2013-05-10,19.74
2013-05-11,19.74
2013-05-12,16.49
2013-05-18,16.49
2013-06-07,23.63
2013-07-28,19.87
2013-08-09,19.65
2013-08-29,20.13
2013-09-01,19.95
2013-09-04,19.95
2013-09-14,20.13
2013-09-17,19.83
2013-09-20,20.13
2013-09-23,20.13
2013-09-26,19.95
2014-05-02,19.95
2014-05-06,19.95
2014-05-10,19.95
2014-05-22,19.95
2014-09-05,21.63
2014-09-16,20.08
2014-09-19,21.63
2015-11-04,19.95
2016-02-27,19.95
2016-03-24,19.95
2016-03-27,19.95
2016-03-30,19.94
2016-04-02,19.95
2016-04-06,19.95
2016-04-10,19.93
2016-04-17,19.93
2016-05-11,18.8
2016-09-20,19.9
2016-10-28,19.95
