Time,Price
2013-11-05,22.94
2014-08-26,25
2014-09-01,25.21
2014-09-09,25.22
2014-09-13,25.21
2014-09-21,25.21
2014-09-25,25.21
2014-10-04,25.2
2014-10-14,24.99
2014-10-27,26.53
2014-11-05,25.74
2014-11-09,25.38
2014-11-18,25.38
2014-11-22,24.99
2014-11-26,24.99
2014-12-03,24.99
2014-12-06,24.99
2014-12-21,25.14
2014-12-23,24.99
2014-12-30,20.97
2015-02-20,25.51
2015-02-24,20.97
2015-03-13,20.97
2015-03-19,20.97
2015-03-23,20.97
2015-03-29,20.97
2015-04-02,20.97
2015-04-13,24.12
2015-04-16,23.99
2015-04-20,22.99
2015-05-07,24.99
2015-05-10,22.99
2015-05-14,22.99
2015-05-21,22.99
2015-05-26,22.99
2015-05-30,24.94
2015-06-05,24
2015-06-09,24.94
2015-06-12,24.94
2015-06-15,24
2015-06-26,24
2015-07-12,24.94
2015-07-15,24.94
2015-07-19,18.99
2015-07-30,18.59
2015-08-03,18.59
2015-08-07,21.38
2015-08-11,18.44
2015-08-13,21.38
2015-08-19,29.99
2015-08-23,24
2015-09-01,24
2015-09-10,24.94
2015-09-24,24
2015-09-27,24.94
2015-10-03,24.94
2015-11-05,13.58
2015-11-09,11.23
2015-11-13,9.39
2015-11-14,8.85
2015-11-14,8.82
2015-11-16,8.09
2015-11-16,8.04
2015-11-17,7.65
2015-11-17,7.62
2015-11-20,13.1
2015-11-21,13.1
2015-11-23,13.1
2015-11-24,13.1
2015-11-27,8.34
2015-11-27,13.1
2015-11-28,13.1
2015-11-30,13.1
2015-11-30,13.1
2015-12-01,17.96
2015-12-01,13.1
2015-12-03,13.21
2015-12-04,17.45
2015-12-09,17.32
2015-12-09,17.77
2015-12-11,17.05
2015-12-11,17.05
2015-12-13,17.05
2015-12-15,18.75
2015-12-17,22.98
2015-12-19,17.36
2015-12-23,22.95
2015-12-30,22.12
2015-12-30,22.12
2016-01-04,19.99
2016-01-06,19.99
2016-01-11,19.99
2016-02-02,19.1
2016-05-15,17.71
2016-05-26,17.71
2016-09-21,14
2016-10-29,16.79
2016-11-25,16.79
2014-06-08,21.55
2014-06-11,21.66
2014-06-13,21.56
2014-06-13,21.56
2014-06-14,21.66
2014-06-16,21.56
2014-06-18,21.66
2014-06-19,21.56
2014-06-19,21.66
2014-06-20,21.56
2014-06-20,21.66
2014-06-20,21.56
2014-06-21,21.66
2014-06-21,21.56
2014-06-23,21.56
2014-06-28,21.56
2014-06-29,21.56
2014-07-12,21.56
2014-07-13,21.56
2014-07-16,21.56
2014-07-18,24.99
2014-07-20,20.88
2014-07-20,24.99
2014-07-20,24.95
2014-07-20,24.99
2014-07-21,24.95
2014-07-22,24.99
2014-07-22,24.95
2014-07-23,24.99
2014-07-23,24.95
2014-07-23,24.99
2014-07-31,21.55
2014-07-31,24.99
2014-09-25,25.21
2014-12-12,24.99
2015-03-15,20.97
2015-04-26,19.99
2015-05-03,19.39
2015-05-25,18.99
2015-06-24,14.96
2015-07-02,18.99
2015-08-31,18.19
2015-10-04,17.98
2015-11-15,8.64
2015-11-15,8.33
2015-11-16,8.23
2015-12-08,13.21
2015-12-10,17.05
2015-12-11,18.17
2015-12-12,13.10
2016-01-25,13.10
2016-02-17,17.99
2016-10-27,12.70
2016-11-26,12.70
