Time,Price
2012-06-02,12.95
2012-06-14,11.75
2012-06-29,11.97
2012-07-06,10.27
2012-07-07,11.69
2012-07-10,11.69
2012-07-12,11.69
2012-07-17,11.69
2012-07-18,11.69
2012-07-18,11.69
2012-07-20,11.69
2012-07-21,11.69
2012-07-26,11.33
2012-07-26,11.68
2012-07-28,11.68
2012-08-06,12.81
2012-08-07,12.95
2012-08-08,11.43
2012-08-09,11.69
2012-08-10,11.69
2012-08-11,11.69
2012-08-12,11.69
2012-08-15,11.69
2012-08-18,11.69
2012-08-20,11.69
2012-08-25,11.69
2012-08-29,11.69
2012-09-02,11.69
2012-09-04,11.41
2012-09-05,11.69
2012-09-11,12.95
2012-09-12,12.95
2012-09-13,12.95
2012-09-14,12.95
2012-09-15,12.95
2012-09-15,12.95
2012-09-18,12.95
2012-09-19,11.69
2012-09-21,11.69
2012-09-21,12.99
2012-09-22,11.69
2012-09-23,11.69
2012-09-24,11.69
2012-09-28,12.95
2012-09-28,12.95
2012-09-29,12.99
2012-09-30,12.95
2012-10-02,12.95
2012-10-03,12.99
2012-10-04,12.95
2012-10-04,11.69
2012-10-09,11.69
2012-10-10,11.74
2012-10-11,11.69
2012-10-18,11.43
2012-10-18,11.45
2012-10-19,11.63
2012-10-20,11.69
2012-10-25,11.69
2012-10-26,11.69
2012-11-06,11.9
2012-11-07,11.9
2012-11-09,11.69
2012-11-09,11.69
2012-11-13,11.61
2012-11-13,11.61
2012-11-14,11.53
2012-11-15,11.45
2012-11-15,11.9
2012-11-16,11.69
2012-11-17,11.69
2012-11-18,11.9
2012-12-28,11.38
2012-12-29,11.38
2013-01-10,11.9
2013-01-11,11.69
2013-01-12,11.69
2013-01-15,11.69
2013-01-18,11.9
2013-01-20,11.69
2013-01-21,11.69
2013-01-22,11.69
2013-01-23,11.9
2013-01-24,11.69
2013-01-28,11.9
2013-02-01,11.9
2013-02-02,11.9
2013-02-09,11.69
2013-02-10,11.9
2013-02-14,11.09
2013-02-14,11.9
2013-02-15,11.69
2013-02-18,11.9
2013-02-19,11.9
2013-02-22,11.69
2013-02-23,11.69
2013-02-24,12.16
2013-02-25,12.99
2013-02-28,11.9
2013-03-01,12.99
2013-03-02,12.99
2013-03-03,12.99
2013-03-05,11.9
2013-03-08,11.9
2013-03-09,11.69
2013-03-09,11.9
2013-03-10,11.9
2013-03-11,11.9
2013-03-13,12.1
2013-03-14,12.99
2013-03-14,12.99
2013-03-17,12.95
2013-03-18,12.99
2013-03-20,12.99
2013-03-21,12.99
2013-03-22,12.99
2013-03-23,12.99
2013-03-24,12.99
2013-03-25,11.43
2013-03-26,12.99
2013-03-27,12.99
2013-03-27,13.1
2013-03-27,14
2013-03-28,11.43
2013-03-29,11.9
2013-03-30,11.9
2013-03-31,11.69
2013-04-01,11.9
2013-04-01,11.9
2013-04-03,11.9
2013-04-03,11.9
2013-04-04,11.69
2013-04-04,11.69
2013-04-05,11.9
2013-04-07,11.69
2013-04-08,11.69
2013-04-09,11.9
2013-04-10,11.9
2013-04-13,11.9
2013-04-14,11.9
2013-04-14,11.9
2013-04-16,12.99
2013-04-17,11.9
2013-04-18,12.99
2013-04-22,12.99
2013-04-25,11.9
2013-04-27,11.9
2013-04-28,11.9
2013-05-01,11.9
2013-05-04,11.86
2013-05-04,11.86
2013-05-07,11.86
2013-05-08,11.9
2013-05-09,11.9
2013-05-11,11.9
2013-05-19,11.69
2013-05-20,11.9
2013-05-21,11.87
2013-05-22,11.9
2013-05-22,11.9
2013-05-23,9.55
2013-05-24,11.9
2013-05-25,11.9
2013-05-26,11.9
2013-05-27,9.55
2013-05-28,11.05
2013-05-29,10.72
2013-05-30,11.33
2013-05-31,11.9
2013-05-31,11.9
2013-06-01,11.69
2013-06-02,11.9
2013-06-03,11.69
2013-06-05,11.9
2013-06-08,11.9
2013-06-11,11.9
2013-06-18,11.9
2013-06-21,11.9
2013-06-24,11.9
2013-06-28,11.9
2013-07-01,11.9
2013-07-09,11.9
2013-07-19,11.9
2013-07-31,12.12
2013-07-31,11.69
2013-08-03,11.69
2013-08-06,11.69
2013-08-10,11.69
2013-08-13,11.69
2013-09-29,11.69
2013-10-03,11.69
2013-10-20,11.69
2013-10-23,11.69
2013-10-27,11.69
2013-11-11,11.69
2013-11-22,11.9
2013-11-25,11.9
2013-11-28,11.9
2013-11-29,11.9
2013-12-08,11.9
2013-12-13,11.69
2013-12-22,11.69
2013-12-31,11.69
2014-01-04,11.69
2014-01-08,11.69
2014-03-22,11.69
2014-04-08,11.69
2014-04-13,11.69
2014-04-17,11.69
2014-04-26,11.69
2014-05-07,11.69
2014-05-10,11.69
2014-05-14,11.18
2014-05-16,11.18
2014-05-18,11.18
2014-06-04,11.11
2014-06-06,11.11
2014-06-09,11.11
2014-06-25,11.9
2014-07-10,11.11
2014-07-12,10.8
2014-07-25,11.9
2014-07-30,11.9
2014-08-22,11.9
2014-08-31,11.9
2014-09-02,13.22
2014-09-05,11.9
2014-09-12,11.9
2014-09-16,11.9
2014-09-19,11.9
2014-09-28,11.9
2014-09-28,11.9
2014-10-03,11.9
2014-10-07,11.85
2014-10-14,11.9
2014-11-10,11.9
2014-11-12,11.9
2014-11-25,11.9
2014-12-01,11.9
2015-01-05,11.9
2015-02-16,11.9
2015-02-19,11.9
2015-02-25,11.99
2015-03-12,11.99
2015-03-21,11.9
2015-04-02,11.9
2015-04-08,11.9
2015-04-23,11.99
2015-04-25,11.99
2015-05-11,11.99
2015-05-13,11.99
2015-05-16,11.99
2015-05-30,11.99
2015-06-11,11.99
2015-06-21,11.99
2015-06-26,11.92
2015-07-05,11.99
2015-07-19,11.99
2015-07-25,11.93
2015-08-02,10.53
2015-08-13,11.93
2015-08-19,11.78
2015-08-28,11.93
2015-09-10,11.75
2015-09-15,11.69
2015-09-23,11.75
2015-10-03,11.49
2015-11-05,11.45
2015-11-13,11.69
2015-11-29,9.99
2015-12-12,10.99
2015-12-20,10.49
2016-01-05,11.68
2016-02-03,11.69
2016-02-20,11.99
2016-02-28,12.79
2016-03-18,12.79
2016-03-27,12.49
2016-03-31,12.22
2016-04-07,11.95
2016-04-28,12.78
2016-05-12,12.48
2016-05-26,12.18
2016-06-02,11.94
2016-09-21,12.95
2016-10-27,11.85
2016-10-28,11.79
2016-10-29,11.79
2016-10-30,11.99
2016-10-31,11.99
2016-11-02,11.99
2016-11-03,11.99
2016-11-03,11.99
2016-11-03,11.99
2016-11-04,11.99
2016-11-04,11.99
2016-11-04,11.99
2016-11-07,11.95
2016-11-07,11.95
2016-11-08,11.95
2016-11-08,11.95
2016-11-08,11.95
2016-11-09,11.95
2016-11-10,11.95
2016-11-10,11.95
2016-11-11,11.99
2016-11-12,11.99
2016-11-12,11.99
2016-11-12,11.99
2016-11-13,11.99
2016-11-13,11.95
2016-11-14,11.95
2016-11-15,11.95
2016-11-15,11.95
2016-11-15,11.95
2016-11-16,11.95
2016-11-16,11.95
2016-11-16,11.95
2016-11-16,11.95
2016-11-16,11.95
2016-11-16,11.95
