Time,Price
2012-06-03,40.11
2012-06-04,40.05
2012-06-05,40.04
2012-06-07,40.14
2012-06-08,39.99
2012-06-08,39.99
2012-06-09,39.99
2012-06-11,39.99
2012-06-13,40.11
2012-06-14,40.37
2012-06-15,40.37
2012-06-16,39.85
2012-06-17,40.37
2012-06-18,40.11
2012-06-19,40.27
2012-06-20,34.25
2012-06-21,33.9
2012-06-22,33.9
2012-06-23,37.24
2012-06-25,37.24
2012-06-26,37.24
2012-06-27,37.24
2012-06-28,40.37
2012-06-29,40.38
2012-06-29,40.38
2012-06-30,40.39
2012-07-02,40.4
2012-07-02,40.39
2012-07-03,40.39
2012-07-03,40.39
2012-07-04,40.4
2012-07-05,40.4
2012-07-06,40.4
2012-07-06,40.39
2012-07-07,40.46
2012-07-08,37.24
2012-07-10,39.99
2012-07-11,39.99
2012-07-11,39.99
2012-07-12,39.99
2012-07-13,39.99
2012-07-16,39.99
2012-07-18,39.99
2012-07-18,39.99
2012-07-19,39.99
2012-07-20,39.99
2012-07-22,39.99
2012-07-22,39.99
2012-07-24,39.99
2012-07-26,39.99
2012-07-27,39.99
2012-07-27,39.99
2012-07-28,39.99
2012-07-30,39.99
2012-08-01,39.99
2012-08-02,39.99
2012-08-06,39.99
2012-08-08,39.99
2012-08-09,39.99
2012-08-10,39.99
2012-08-11,39.99
2012-08-13,39.99
2012-08-14,39.99
2012-08-15,39.99
2012-08-16,39.99
2012-08-18,39.99
2012-08-24,39.99
2012-08-27,39.99
2012-08-30,39.99
2012-09-03,39.99
2012-09-04,39.99
2012-09-11,39.99
2012-09-12,39.99
2012-09-14,39.99
2012-09-15,39.99
2012-09-18,39.99
2012-09-19,39.28
2012-09-21,39.99
2012-09-23,39.99
2012-09-24,41.69
2012-09-25,39.99
2012-10-02,39.99
2012-10-03,39.99
2012-10-04,40.42
2012-10-05,39.99
2012-10-06,39.99
2012-10-07,39.99
2012-10-08,39.99
2012-10-09,39.99
2012-10-11,39.99
2012-10-18,39.99
2012-10-19,39.28
2012-10-20,39.4
2012-10-21,39.92
2012-10-23,39.95
2012-10-25,39.99
2012-10-28,39.95
2012-10-30,39.95
2012-10-31,39.95
2012-11-01,39.95
