Time,Price
2012-06-02,23.67
2012-06-04,23.67
2012-06-05,23.49
2012-06-08,23.49
2012-06-09,22.95
2012-06-10,23.49
2012-06-11,25.23
2012-06-13,26.59
2012-06-16,25.09
2012-06-22,25.09
2012-06-25,26.03
2012-06-26,26.83
2012-06-26,26.59
2012-06-27,27.1
2012-07-03,27.1
2012-07-04,27.1
2012-07-05,26.59
2012-07-06,26.59
2012-07-09,27.1
2012-07-11,27.1
2012-07-11,26.59
2012-07-14,26.54
2012-07-14,26.34
2012-07-15,25.63
2012-07-17,25.79
2012-07-17,25.35
2012-07-18,24.98
2012-07-19,24.47
2012-07-20,24.22
2012-07-20,25.58
2012-07-21,23.87
2012-07-21,23.67
2012-07-22,23.69
2012-07-22,24.95
2012-07-23,25.58
2012-07-23,25.41
2012-07-24,24.4
2012-07-24,25
2012-07-25,24.6
2012-07-25,24.3
2012-07-26,24.52
2012-07-26,24.37
2012-07-27,24.37
2012-07-28,24.23
2012-07-28,24.07
2012-07-29,23.94
2012-07-30,25.22
2012-07-30,25.22
2012-07-31,25.03
2012-08-01,24.83
2012-08-02,24.02
2012-08-03,25.58
2012-08-04,24.38
2012-08-05,24.58
2012-08-06,25.2
2012-08-07,27.1
2012-08-08,24.2
2012-08-11,26.44
2012-08-12,25.84
2012-08-13,26.84
2012-08-13,26.04
2012-08-16,24.83
2012-08-17,24.62
2012-08-18,26.64
2012-08-19,26.64
2012-08-20,26.64
2012-08-21,26.24
2012-08-22,25.23
2012-08-23,26.24
2012-08-29,26.69
2012-08-30,26.21
2012-09-05,26.69
2012-09-12,26.09
2012-09-12,26.09
2012-09-20,26.09
2012-09-21,25.66
2012-09-21,25.32
2012-09-22,25.93
2012-09-24,25.84
2012-09-25,25.33
2012-09-26,25.02
2012-09-28,25.17
2012-09-28,25
2012-10-04,24.59
2012-10-06,24.59
2012-10-11,24.59
2012-10-12,24.19
2012-10-16,24.5
2012-12-12,22.95
2013-01-01,20.05
2013-01-19,20.69
2013-02-08,20.27
2013-02-09,20.27
2013-02-10,20.27
2013-02-18,20.69
2013-02-19,31.97
2013-03-04,37.99
2013-03-06,33.3
2013-03-14,20.69
2013-03-25,20.69
2013-03-27,20.69
2013-04-02,20.69
2013-04-22,20.69
2013-04-23,20.69
2013-04-27,20.69
2013-04-28,20.69
2013-05-04,20.69
2013-05-04,20.36
2013-05-07,20.36
2013-05-08,20.69
2013-05-14,23.82
2013-05-16,23.82
2013-05-17,23.82
2013-05-17,20.69
2013-05-18,20.69
2013-05-31,20.69
2013-06-05,20.69
2013-06-08,20.69
2013-06-09,20.69
2013-06-24,20.69
2013-07-10,20.69
2013-07-16,20.69
2013-07-19,20.69
2013-07-21,20.69
2013-07-27,20.69
2013-07-31,20.69
2013-08-03,20.69
2013-08-22,20.69
2013-09-07,20.69
2013-09-26,20.69
2013-09-29,20.69
2013-10-03,20.69
2013-10-09,20.69
2013-10-13,20.69
2013-10-17,20.99
2013-10-19,20.99
2013-10-30,20.99
2013-11-08,20.99
2013-11-11,20.99
2013-11-22,20.99
2013-11-28,20.99
2013-12-01,22.34
2013-12-04,22.34
2013-12-07,21.63
2013-12-11,29.44
2013-12-12,20.49
2013-12-22,20.49
2013-12-26,20.49
2013-12-27,20.49
2014-01-01,17.41
2014-01-05,20.49
2014-01-08,17.99
2014-01-17,17.99
2014-01-29,13.49
2014-02-01,22.96
2014-02-03,28.12
2014-02-05,28.12
2014-02-16,17.99
2014-02-21,17.99
2014-02-24,17.99
2014-02-28,17.99
2014-03-03,17.99
2014-03-12,17.99
2014-03-15,17.99
2014-03-18,17.99
2014-03-21,17.99
2014-04-08,17.99
2014-04-13,17.99
2014-04-17,17.99
2014-04-26,20.69
2014-05-07,20.99
2014-05-24,20.99
2014-06-21,23.05
2014-07-11,23.05
2014-07-30,21.13
2014-08-06,23.05
2014-09-12,23.62
2014-09-18,23.99
2014-10-05,28.24
2014-10-26,21.46
2014-11-21,19.99
2014-11-30,19.99
2014-12-29,20.99
2015-02-15,20.99
2015-03-04,20.99
2015-03-20,20.49
2015-03-29,20.99
2015-04-07,20.49
2015-04-21,20.49
2015-04-30,19.99
2015-05-15,18.99
2015-05-26,18.99
2015-06-03,17.99
2015-06-16,21.24
2015-06-25,21.24
2015-07-05,21.13
2015-07-15,19.99
2015-07-24,19.99
2015-08-08,19.99
2015-09-28,19.99
2015-11-05,21.56
2015-11-28,21.2
2015-12-11,21.99
2016-01-03,23.03
2016-01-09,22.99
2016-02-01,21.93
2016-02-19,21.99
2016-02-28,21.87
2016-03-17,21.71
2016-03-27,21.78
2016-03-31,21.79
2016-04-14,21.99
2016-05-25,22.97
2016-09-20,23.94
2016-11-05,26.31
2016-11-25,26.31
