Time,Price
2012-06-01,59.99
2012-06-17,59.99
2012-07-07,59.99
2012-08-12,45.31
2012-08-17,45.31
2012-08-19,59.99
2012-08-25,56.45
2012-08-27,56.45
2012-08-31,56.45
2012-09-03,56.45
2012-09-10,56.45
2012-09-12,56.45
2012-09-19,52.4
2012-09-29,52.4
2012-10-09,59.99
2012-10-10,55.02
2012-10-11,59.99
2013-02-15,59.99
2013-03-01,59.99
2013-03-21,59.99
2013-03-22,54.5
2013-03-24,59.99
2013-05-22,54.79
2013-05-25,54.79
2013-05-26,50.04
2013-05-27,50.04
2013-05-28,59.99
2013-06-05,59.99
2013-06-18,59.99
2013-06-22,59.99
2013-07-04,59.99
2013-08-01,51.2
2013-08-04,52.17
2013-12-23,59.99
2014-01-18,58.3
2014-02-21,57.49
2014-02-23,72.79
2014-03-03,80.29
2014-03-03,86.29
2014-03-08,86.29
2014-03-12,86.29
2014-04-17,59.99
2014-06-10,58.49
2014-07-11,70.29
2015-06-01,59.84
2015-08-08,77.32
2015-08-22,78.27
2015-08-25,78.27
2015-11-26,59.09
2016-07-26,75.69
2016-07-27,78.93
2016-11-25,78.93
