Time,Price
2012-06-02,23.69
2012-06-07,23.69
2012-06-08,23.49
2012-06-10,23.49
2012-06-13,23.49
2012-06-15,23.49
2012-06-24,23.49
2012-06-25,23.49
2012-07-13,23.49
2012-07-17,23.49
2012-07-18,23.49
2012-07-19,23.49
2012-07-19,23.49
2012-07-20,23.49
2012-07-20,23.49
2012-07-21,23.49
2012-07-21,23.49
2012-07-22,23.49
2012-07-22,23.49
2012-07-22,23.49
2012-07-24,23.49
2012-07-27,21.99
2012-07-27,21.99
2012-07-28,23.49
2012-07-28,23.49
2012-08-02,23.49
2012-08-02,23.49
2012-08-03,23.49
2012-08-06,23.49
2012-08-07,21.49
2012-08-18,21.49
2012-08-20,21.49
2012-08-27,21.49
2012-09-26,27.99
2012-10-08,27.99
2012-10-25,21.49
2013-01-11,27.99
2013-01-17,26.59
2013-01-20,26.59
2013-02-28,25.94
2013-03-01,26.59
2013-03-03,25.99
2013-03-09,26.59
2013-03-11,26.59
2013-03-18,26.59
2013-04-01,26.59
2013-04-02,26.59
2013-04-04,26.59
2013-04-10,26.59
2013-04-13,26.59
2013-04-21,26.59
2013-04-22,26.59
2013-04-26,27.99
2013-04-29,27.99
2013-05-17,24.96
2013-05-17,24.96
2013-05-23,24.96
2013-06-01,24.96
2013-06-02,22.97
2013-06-05,22.97
2013-06-05,22.97
2013-06-08,22.97
2013-06-08,22.97
2013-06-08,22.97
2013-06-08,22.97
2013-06-12,27.99
2013-06-12,27.99
2013-06-14,23.96
2013-06-15,23.96
2013-06-18,23.96
2013-06-21,23.96
2013-06-25,24.93
2013-06-30,24.93
2013-07-04,24.93
2013-07-06,24.93
2013-07-07,24.93
2013-07-13,24.93
2013-07-14,24.93
2013-07-15,24.93
2013-07-18,24.93
2013-07-19,24.93
2013-07-19,24.93
2013-07-21,24.93
2013-07-24,24.93
2013-07-27,24.93
2013-08-02,24.93
2013-08-04,24.93
2013-08-05,24.93
2013-08-07,24.93
2013-08-07,24.93
2013-08-08,24.93
2013-08-10,24.93
2013-08-11,24.93
2013-08-13,24.93
2013-08-20,24.93
2013-08-27,24.93
2013-08-27,24.93
2013-08-29,24.93
2013-08-29,24.93
2014-05-30,27.99
2014-06-01,29.27
2014-06-04,29.27
2014-06-04,24.99
2014-06-16,24.99
2014-06-18,24.99
2016-06-08,32.99
2016-07-18,32.57
2016-07-22,32.12
2016-08-08,32.12
2016-08-10,32.12
2016-09-18,31.95
2016-09-19,31.95
2016-10-19,26.23
2016-10-20,26.23
2016-10-26,23.5
2016-10-28,23.5
2016-11-03,23.5
