Time,Price
2012-06-10,25.95
2012-06-11,29.99
2012-07-02,26.45
2012-07-03,25.95
2012-07-09,25.95
2012-08-21,27.92
2012-08-22,27.92
2012-09-01,27.92
2012-09-02,27.39
2012-09-05,27.92
2012-10-10,27.39
2012-10-24,22.24
2012-10-25,22.24
2012-10-30,27.23
2012-11-01,22.24
2012-11-04,27.23
2012-11-15,22.24
2012-11-16,22.24
2012-11-16,19.99
2012-11-16,19.99
2012-11-17,19.99
2012-11-17,19.99
2012-11-18,22.24
2012-11-19,19.99
2012-11-28,22.24
2012-12-11,22.24
2012-12-13,22.24
2012-12-16,22.24
2012-12-19,26.95
2012-12-20,26.95
2012-12-28,26.95
2013-01-04,26.95
2013-01-07,26.95
2013-01-11,30.02
2013-01-12,22.24
2013-01-14,17.87
2013-01-15,22.24
2013-01-20,22.24
2013-01-30,22.24
2013-02-08,22.24
2013-02-14,22.24
2013-02-16,22.24
2013-03-01,22.24
2013-03-05,22.24
2013-03-06,29.95
2013-03-17,27.23
2013-03-18,22.24
2013-03-23,22.24
2013-03-24,22.24
2013-03-27,22.24
2013-04-07,22.24
2013-04-10,22.24
2013-04-15,24.95
2013-04-17,24.95
2013-04-21,24.89
2013-04-22,22.24
2013-04-24,22.24
2013-05-08,24.24
2013-05-10,22.24
2013-05-15,26.99
2013-05-16,26.99
2013-05-27,30.53
2013-06-10,22.24
2013-07-01,27.23
2013-07-25,27.23
2013-09-20,27.23
2013-10-05,19.99
2013-11-01,19.99
2013-11-04,25.49
2013-11-27,25.49
2013-12-03,26.99
2013-12-18,25.49
2013-12-26,19.99
2014-01-11,27.23
2014-01-18,26.23
2014-02-04,25.49
2014-02-07,29.99
2014-02-09,25.49
2014-02-10,25.49
2014-02-15,25.49
2014-02-17,25.49
2014-02-20,26.23
2014-02-23,25.49
2014-04-07,25.49
2014-04-10,22.94
2014-04-16,25.49
2014-04-22,26.23
2014-04-25,25.49
2014-05-01,22.49
2014-05-09,26.23
2014-05-14,16.99
2014-05-17,26.23
2014-05-21,25.49
2014-06-02,31.62
2014-06-08,22.49
2014-07-08,21.18
2014-08-05,19.99
2014-08-20,21.18
2014-08-28,19.99
2014-09-04,21.18
2014-09-10,24.95
2014-09-15,24.95
2014-09-19,24.95
2014-09-27,24.95
2014-11-19,24.95
2014-12-04,22.49
2014-12-22,24.95
2015-01-17,26.23
2015-01-22,19.99
2015-11-11,20.15
2015-11-17,29
2016-02-13,26.99
2016-04-12,25.49
2016-10-27,19.99
2016-11-01,19.99
2016-11-01,19.99
2016-11-08,19.99
2016-11-10,19.99
2016-11-18,19.99
2016-11-25,19.99
2014-06-08,22.49
2014-06-11,26.23
2014-06-15,25.49
2014-06-16,26.23
2014-06-20,26.23
2014-06-23,25.49
2014-06-24,25.49
2014-07-06,21.18
2014-08-04,19.99
2014-08-05,19.99
2014-08-05,19.99
2014-08-06,21.18
2014-08-22,19.19
2014-08-25,21.18
2014-08-27,19.99
2014-09-01,21.18
2014-09-09,24.95
2014-11-14,24.95
2014-11-27,19.99
2014-12-02,24.95
2014-12-03,22.49
2014-12-05,24.95
2015-01-12,17.99
2015-01-13,28.20
2015-01-14,26.23
2015-01-17,17.99
2015-01-19,25.99
2015-01-22,19.99
2015-01-26,25.99
2015-01-28,23.95
2015-01-28,25.99
2015-02-03,25.49
2015-02-05,26.58
2015-02-08,32.73
2015-02-08,35.00
2015-02-12,34.30
2015-02-12,35.00
2015-02-15,25.99
2015-02-16,35.00
2015-02-17,34.95
2015-02-18,35.00
2015-02-18,34.95
2015-02-19,25.49
2015-02-19,34.95
2015-02-19,35.00
2015-02-21,25.49
2015-02-21,31.92
2015-02-22,35.00
2015-02-22,31.19
2015-02-22,35.00
2015-02-26,31.92
2015-02-27,26.58
2015-03-01,26.58
2015-03-02,26.58
2015-03-03,29.00
2015-03-04,29.00
2015-03-04,29.00
2015-03-05,29.00
2015-03-05,26.58
2015-03-05,29.00
2015-03-06,29.00
2015-03-07,29.00
2015-03-07,35.00
2015-03-08,35.00
2015-03-12,25.49
2015-03-12,35.00
2015-03-14,35.00
2015-03-19,31.92
2015-03-19,26.58
2015-03-19,32.22
2015-03-20,26.58
2015-03-21,25.49
2015-03-22,26.58
2015-03-24,26.58
2015-03-25,26.58
2015-03-26,26.58
2015-03-26,32.22
2015-03-26,35.00
2015-03-27,32.22
2015-03-27,35.00
2015-03-28,35.00
2015-03-29,35.00
2015-03-30,35.00
2015-03-31,35.00
2015-04-01,35.00
2015-04-02,35.00
