Time,Price
2012-06-01,29.92
2012-06-03,29.99
2012-06-08,29.99
2012-06-09,29.92
2012-06-10,29.92
2012-06-11,29.92
2012-06-12,29.92
2012-06-13,29.92
2012-06-15,29.92
2012-06-17,29.92
2012-06-18,29.92
2012-06-20,29.92
2012-06-22,29.92
2012-06-23,29.92
2012-07-03,29.92
2012-07-05,29.92
2012-07-09,29.92
2012-07-15,29.92
2012-07-16,29.92
2012-07-21,29.92
2012-07-22,29.92
2012-07-24,29.92
2012-07-26,29.92
2012-07-26,29.92
2012-07-27,29.92
2012-07-28,29.92
2012-07-28,29.92
2012-07-30,29.92
2012-08-04,29.92
2012-08-06,29.92
2012-08-07,29.92
2012-08-08,29.92
2012-08-09,29.92
2012-08-10,29.92
2012-08-11,29.92
2012-08-12,29.92
2012-08-13,29.92
2012-08-18,29.92
2012-08-18,29.92
2012-08-21,29.92
2012-08-22,29.92
2012-08-24,29.92
2012-08-25,29.92
2012-08-26,28.53
2012-08-27,28.53
2012-08-28,28.94
2012-08-29,29.92
2012-08-29,29.92
2012-08-30,29.92
2012-08-31,29.92
2012-09-01,29.92
2012-09-02,29.92
2012-09-04,29.92
2012-09-10,29.92
2012-09-15,29.92
2012-09-20,29.92
2012-09-20,29.92
2012-09-22,29.92
2012-09-23,29.92
2012-09-29,29.92
2012-10-02,29.92
2012-10-06,29.92
2012-10-09,29.92
2012-10-09,29.92
2012-10-10,29.92
2012-10-14,29.92
2012-10-15,29.92
2012-10-17,29.92
2012-10-18,29.92
2012-10-20,29.92
2012-10-26,29.92
2012-10-26,29.92
2012-10-30,29.92
2012-10-30,29.92
2012-10-30,29.92
2012-10-31,29.92
2012-10-31,29.92
2012-11-02,29.92
2012-11-02,29.92
2012-11-04,29.92
2012-11-04,29.92
2012-11-05,29.64
2012-11-06,29.64
2012-11-07,29.64
2012-11-07,29.64
2012-11-08,29.92
2012-11-11,29.92
2012-11-18,25.49
2012-11-18,25.49
2012-11-18,25.49
2012-11-22,29.92
2012-11-23,29.92
2012-11-25,25.49
2012-11-25,25.49
2012-11-25,25.49
2012-11-28,29.92
2012-11-28,29.92
2012-11-29,29.92
2012-11-30,25.49
2012-11-30,29.92
2012-12-01,29.92
2012-12-02,29.99
2012-12-02,29.99
2012-12-05,29.99
2012-12-05,29.99
2012-12-05,29.99
2012-12-05,29.99
2012-12-06,29.99
2012-12-06,29.99
2012-12-06,29.99
2012-12-23,29.99
2012-12-28,29.92
2012-12-30,29.99
2012-12-31,29.99
2013-01-03,29.92
2013-01-04,29.92
2013-01-04,29.92
2013-01-05,29.99
2013-01-06,29.99
2013-01-09,29.99
2013-01-14,29.99
2013-01-15,29.92
2013-01-16,29.92
2013-01-18,29.92
2013-01-21,29.99
2013-01-21,29.92
2013-01-23,29.99
2013-01-24,29.99
2013-01-25,29.99
2013-01-26,29.92
2013-01-27,29.92
2013-02-09,29.92
2013-02-09,29.92
2013-02-13,29.92
2013-02-16,29.92
2013-02-18,29.92
2013-02-27,29.92
2013-02-28,29.92
2013-03-02,29.92
2013-03-04,29.92
2013-03-12,29.92
2013-03-14,29.92
2013-03-19,29.92
2013-03-25,29.92
2013-03-26,29.92
2013-03-27,29.92
2013-03-30,29.92
2013-04-02,29.92
2013-04-03,29.92
2013-04-06,29.92
2013-04-07,29.92
2013-04-08,29.92
2013-04-11,29.92
2013-04-14,29.92
2013-04-22,29.92
2013-04-22,29.92
2013-04-24,29.92
2013-04-25,29.92
2013-04-26,29.92
2013-04-27,29.92
2013-04-28,29.92
2013-05-03,29.92
2013-05-04,29.92
2013-05-19,29.81
2013-05-20,28.14
2013-05-21,29.92
2013-05-22,29.55
2013-05-22,29.55
2013-05-23,29.92
2013-05-23,29.92
2013-05-24,29.92
2013-05-24,29.92
2013-05-25,28.78
2013-05-25,28.78
2013-05-26,29.92
2013-05-26,29.92
2013-05-29,29.76
2013-05-29,29.76
2013-05-29,29.76
2013-05-30,29.92
2013-05-30,29.92
2013-05-31,28.75
2013-05-31,28.75
2013-06-01,28.87
2013-06-01,28.87
2013-06-02,29.57
2013-06-02,29.57
2013-06-03,29.92
2013-06-03,29.92
2013-06-03,29.92
2013-06-03,29.92
2013-06-05,29.92
2013-06-05,29.92
2013-06-06,29.92
2013-06-08,29.92
2013-06-18,29.92
2013-06-21,29.92
2013-06-26,29.92
2013-06-29,29.92
2013-07-01,29.92
2013-07-04,29.92
2013-07-05,29.92
2013-07-12,29.92
2013-07-19,29.92
2013-07-25,29.92
2013-07-27,29.92
2013-08-02,29.99
2013-08-04,29.96
2013-08-07,29.93
2013-08-08,29.93
2013-08-10,29.99
2013-08-11,29.99
2013-08-11,29.99
2013-08-17,29.92
2013-08-20,29.92
2013-08-22,29.92
2013-08-29,29.92
2013-09-01,29.92
2013-09-14,29.92
2013-09-16,29.92
2013-09-23,29.92
2013-10-03,29.92
2013-10-06,29.92
2013-10-16,29.92
2013-10-19,29.92
2013-11-03,29.92
2013-11-05,29.92
2013-11-25,29.99
2013-11-26,29.92
2013-11-28,29.99
2013-11-29,29.92
2013-11-30,29.99
2013-12-02,29.99
2013-12-03,29.92
2013-12-04,29.99
2013-12-05,29.92
2013-12-06,29.98
2013-12-07,27.89
2013-12-11,27.89
2013-12-11,23.99
2013-12-12,23.99
2013-12-17,27.99
2013-12-17,26.93
2013-12-20,23.99
2013-12-22,26.93
2013-12-23,23.99
2013-12-30,23.99
2013-12-31,23.99
2014-01-01,23.99
2014-01-01,23.99
2014-01-01,26.93
2014-01-02,23.99
2014-01-02,23.99
2014-01-04,23.99
2014-01-04,23.99
2014-01-08,23.99
2014-01-09,23.99
2014-01-10,23.99
2014-01-11,23.99
2014-01-12,23.99
2014-01-12,23.99
2014-01-13,23.99
2014-01-18,23.99
2014-01-21,29.99
2014-01-21,26.93
2014-02-18,26.99
2014-02-28,26.99
2014-03-09,26.99
2014-03-11,27.87
2014-03-13,27.87
2014-03-15,27.87
2014-03-16,27.87
2014-03-17,27.87
2014-03-22,27.87
2014-03-24,27.87
2014-03-25,27.87
2014-03-27,27.87
2014-03-30,27.73
2014-04-01,27.73
2014-04-03,27.87
2014-04-15,27.87
2014-04-16,27.87
2014-04-19,27.87
2014-04-22,27.87
2014-05-14,27.87
2014-05-15,27.87
2014-05-17,27.87
2014-05-20,27.87
2014-05-22,27.43
2014-05-25,27.43
2014-05-25,27.43
2014-05-29,27.43
2014-06-03,27.43
2014-06-04,27.43
2014-06-10,27.43
2014-06-13,27.49
2014-06-26,27.49
2014-09-24,29.99
2014-09-28,29.76
2014-10-02,29.76
2014-10-03,29.76
2014-10-07,29.76
2014-10-07,29.76
2014-10-08,29.76
2014-10-08,29.76
2014-10-09,29.76
2014-10-10,29.76
2014-10-11,29.76
2014-10-13,29.76
2014-10-15,29.76
2014-10-15,29.76
2014-10-21,29.76
2014-10-22,29.76
2014-10-23,29.76
2014-10-24,29.76
2014-10-25,29.76
2014-10-27,29.76
2014-10-28,29.76
2014-11-06,29.54
2014-11-12,29.54
2014-11-17,26.99
2014-11-28,26.99
2014-11-29,26.99
2014-12-04,26.87
2014-12-05,26.99
2014-12-05,26.99
2014-12-06,26.93
2014-12-06,26.93
2014-12-08,26.99
2014-12-09,26.93
2014-12-11,26.93
2014-12-12,26.93
2014-12-14,26.99
2014-12-15,26.93
2014-12-15,26.99
2014-12-15,26.93
2014-12-16,26.99
2014-12-17,29.99
2014-12-17,26.93
2014-12-23,26.93
2014-12-25,29.99
2014-12-25,26.85
2014-12-27,26.85
2014-12-29,26.85
2014-12-30,26.93
2015-01-03,26.93
2015-01-05,26.93
2015-01-06,26.93
2015-01-08,26.93
2015-01-09,26.93
2015-01-11,26.93
2015-01-11,26.93
2015-01-12,26.93
2015-01-14,26.93
2015-01-23,26.93
2015-01-23,26.93
2015-01-27,26.93
2015-01-28,26.93
2015-02-01,26.93
2015-02-02,26.93
