Time,Price
2012-12-28,21.99
2012-12-31,21.99
2013-01-16,21.99
2013-01-29,21.99
2013-02-15,21.99
2013-02-17,21.99
2013-02-28,21.99
2013-03-02,21.99
2013-03-13,21.99
2013-03-17,21.99
2013-03-19,21.99
2013-03-19,21.99
2013-03-21,21.99
2013-03-22,21.99
2013-03-23,21.99
2013-03-30,21.99
2013-04-05,21.99
2013-04-11,21.99
2013-04-12,21.99
2013-04-26,21.99
2013-05-04,21.99
2013-05-11,21.99
2013-05-31,21.99
2013-06-20,21.99
2013-07-04,21.99
2013-07-09,21.99
2013-07-18,21.99
2013-07-27,21.99
2013-08-07,21.99
2013-08-30,21.99
2013-09-18,21.95
2013-09-27,21.99
2013-10-08,21.99
2013-10-20,21.99
2013-10-23,21.99
2013-10-30,21.99
2013-11-09,21.99
2013-11-25,21.99
2013-12-05,21.99
2013-12-08,21.99
2013-12-16,21.99
2013-12-17,21.99
2013-12-28,21.99
2014-01-09,24.99
2014-01-10,24.99
2014-01-16,24.99
2014-01-21,24.99
2014-01-30,24.99
2014-02-07,24.99
2014-02-12,24.99
2014-02-20,24.99
2014-03-01,24.99
2014-03-02,24.99
2014-03-12,21.99
2014-04-07,21.99
2014-04-14,21.99
2014-04-25,21.99
2014-05-12,21.99
2014-05-25,21.99
2014-07-26,24.99
2014-07-28,24.99
2014-08-26,24.99
2014-09-04,24.99
2014-09-22,24.99
2014-09-24,24.99
2014-09-29,24.99
2014-10-06,24.99
2014-10-13,24.99
2014-11-05,24.99
2014-11-22,24.95
2014-12-04,24.95
2014-12-30,24.95
2015-01-04,24.95
2015-02-20,24.99
2015-03-26,24.99
2015-03-29,24.99
2015-04-02,24.99
2015-04-11,24.99
2015-04-22,24.99
2015-04-25,24.99
2015-05-07,24.99
2015-05-19,24.99
2015-05-22,24.99
2015-05-26,24.99
2015-06-10,24.99
2015-06-20,24.99
2015-06-29,24.99
2015-07-28,24.99
2015-08-01,24.99
2015-08-09,24.99
2015-08-13,24.99
2015-08-23,24.99
2015-09-29,24.99
2015-10-02,24.99
2015-11-09,24.99
2015-11-23,24.99
2016-03-03,24.99
2016-04-03,24.99
2016-06-02,24.99
2016-11-11,19.54
2016-11-11,19.54
2016-11-12,19.54
2016-11-20,22.99
2016-11-20,22.99
