Time,Price
2012-12-28,15.99
2013-01-18,14.72
2013-01-28,14.72
2013-01-30,12.19
2013-01-30,11.96
2013-01-31,12.78
2013-01-31,12.53
2013-02-01,13.53
2013-02-02,13.49
2013-02-08,12.01
2013-02-09,14.72
2013-02-25,14.14
2013-02-28,12.76
2013-03-01,13.23
2013-03-02,13.48
2013-03-10,13.23
2013-03-10,11.38
2013-03-13,11.38
2013-03-14,11.26
2013-03-14,11.23
2013-03-17,11.31
2013-03-17,11.35
2013-03-18,13.11
2013-03-18,13.48
2013-04-03,12.87
2013-04-04,12.25
2013-04-05,10.58
2013-04-06,11.01
2013-04-07,12.07
2013-04-07,11.84
2013-04-07,10.76
2013-04-08,9.97
2013-04-09,13.48
2013-04-12,13.29
2013-04-12,13.48
2013-05-02,15.99
2013-05-31,10
2013-06-08,10
2013-06-21,10
2013-06-24,9.81
2013-06-28,10
2013-07-01,10
2013-07-04,10
2013-07-09,10
2013-07-13,10
2013-07-24,10
2013-08-10,10
2013-08-13,10
2013-08-22,10
2013-09-04,10
2013-09-05,10
2013-09-14,9.12
2013-09-20,9.55
2013-09-23,9.12
2013-09-26,10
2013-10-01,9.09
2013-10-03,10
2013-10-16,10
2013-10-20,9.92
2013-10-23,9.76
2013-10-27,9.68
2013-10-30,9.21
2013-11-02,10
2013-11-13,7.99
2013-11-20,9.99
2013-11-23,9.99
2013-11-28,9.99
2013-12-01,9.99
2013-12-02,9.99
2013-12-04,9.99
2013-12-07,7.99
2013-12-14,9.99
2013-12-17,10
2014-01-12,9.99
2014-01-20,9.99
2014-01-29,9.99
2014-03-13,8
2014-05-18,9.99
2014-05-23,9.99
2014-06-06,9.99
2014-06-27,9.99
2014-07-10,9.99
2014-07-25,9.99
2014-10-14,9.99
2014-10-26,9.99
2014-11-05,9.8
2014-11-09,9.99
2014-11-21,9.99
2014-11-28,9.99
2014-12-05,10.67
2014-12-11,9.99
2014-12-16,9.99
2014-12-25,9.99
2014-12-27,10.67
2015-01-04,11.51
2015-02-15,11.42
2015-02-24,10.84
2015-02-28,11.31
2015-03-04,11
2015-03-12,9.85
2015-03-29,11.95
2015-04-01,11.95
2015-04-02,11.45
2015-04-09,11.45
2015-04-12,10.95
2015-04-16,11.45
2015-04-18,11.95
2015-04-19,14.95
2015-04-23,11.95
2015-05-03,11.45
2015-05-11,12.16
2015-05-18,11.95
2015-05-30,11.71
2015-06-02,11.95
2015-06-13,10.2
2015-06-21,9.51
2015-06-22,9.56
2015-06-25,8.41
2015-06-28,8.5
2015-07-05,8.18
2015-07-10,8.56
2015-07-11,8.73
2015-07-15,8.99
2015-07-19,8.87
2015-07-19,8.9
2015-07-22,11.72
2015-07-26,11.64
2015-07-29,10.77
2015-08-04,8.6
2015-08-06,8.6
2015-08-10,9.18
2015-08-13,9.46
2015-08-14,9.04
2015-08-19,9.32
2015-08-23,9.24
2015-08-27,8.37
2015-08-31,7.71
2015-09-01,7.71
2015-09-05,8.11
2015-09-09,7.38
2015-09-10,9.23
2015-09-13,8.87
2015-09-16,8.26
2015-09-19,8.38
2015-09-23,14.95
2015-09-25,14.15
2015-09-26,14.95
2015-11-16,7.7
2015-11-19,7.89
2015-11-22,8.39
2015-11-26,8.23
2015-11-29,9.95
2015-12-15,9.71
2015-12-18,9.37
2015-12-22,9.49
2015-12-23,9.07
2016-01-03,9.1
2016-01-09,9.95
2016-02-01,9.5
2016-02-19,9.95
2016-02-28,9.89
2016-03-17,9.95
2016-03-27,9.11
2016-04-10,8.39
2016-05-25,8.39
2016-05-28,9.82
2016-10-27,7.9
2016-11-03,7.71
2016-11-10,7.71
2016-11-17,7.55
2016-11-18,7.55
2016-11-25,7.55
