Time,Price
2012-06-01,12.41
2012-06-02,12.32
2012-06-03,12.17
2012-06-04,11.88
2012-06-04,12.44
2012-06-06,13.04
2012-06-07,12.1
2012-06-11,12.32
2012-06-11,12.32
2012-06-12,12.1
2012-06-12,12.32
2012-06-13,12.1
2012-06-14,12.1
2012-06-15,12.1
2012-06-16,14
2012-06-17,13.06
2012-06-17,12.19
2012-06-18,12.32
2012-06-18,12.1
2012-06-19,12.32
2012-06-20,12.32
2012-06-21,12.32
2012-06-22,13.32
2012-06-22,12.42
2012-06-23,12.42
2012-06-23,12.32
2012-06-25,11.79
2012-06-26,11.53
2012-06-27,13.32
2012-06-27,13.32
2012-06-27,12.68
2012-06-28,12.07
2012-06-28,12.31
2012-06-28,12.31
2012-06-29,11.43
2012-06-29,11.53
2012-06-29,11.53
2012-06-30,11.42
2012-06-30,11.42
2012-07-01,11.42
2012-07-02,11.42
2012-07-02,11.42
2012-07-02,12.49
2012-07-03,11.43
2012-07-03,11.42
2012-07-04,10.67
2012-07-07,10.67
2012-07-07,12.5
2012-07-07,12.5
2012-07-08,14
2012-07-08,14
2012-07-09,13.24
2012-07-09,12.99
2012-07-10,12.98
2012-07-10,12.98
2012-07-11,12.32
2012-07-12,12.32
2012-07-12,12.32
2012-07-12,12.33
2012-07-13,12.33
2012-07-13,12.32
2012-07-13,12.33
2012-07-14,12.33
2012-07-14,14
2012-07-14,14
2012-07-15,12.98
2012-07-15,13.74
2012-07-15,13.48
2012-07-16,12.74
2012-07-16,12.5
2012-07-16,13.74
2012-07-16,13.74
2012-07-17,13
2012-07-18,14
2012-07-18,13.74
2012-07-19,14
2012-07-19,13.74
2012-07-19,13.48
2012-07-19,13.23
2012-07-20,12.5
2012-07-20,13.49
2012-07-20,13.24
2012-07-21,12.51
2012-07-21,12.51
2012-07-21,13.48
2012-07-22,12.74
2012-07-22,13.74
2012-07-22,13.48
2012-07-23,14
2012-07-23,14
2012-07-23,13.75
2012-07-24,13.24
2012-07-24,12.99
2012-07-24,13.48
2012-07-25,12.74
2012-07-25,12.5
2012-07-25,12.98
2012-07-26,13.48
2012-07-26,14
2012-07-26,12.5
2012-07-26,14
2012-07-27,13.48
2012-07-27,13.23
2012-07-28,12.98
2012-07-28,12.74
2012-07-28,13.23
2012-07-29,14
2012-07-29,12.98
2012-07-29,12.74
2012-07-30,14
2012-07-30,13.74
2012-07-30,9.95
2012-08-07,13.74
2012-08-07,13.48
2012-08-08,12.98
2012-08-09,9.95
2012-08-09,12.33
2012-08-10,12.33
2012-08-10,13.48
2012-08-11,13.74
2012-08-12,9.95
2012-08-13,14
2012-08-13,13.75
2012-08-14,9.95
2012-08-14,9.95
2012-08-16,12.32
2012-08-16,12.32
2012-08-17,14
2012-08-17,13.74
2012-08-18,14
2012-08-19,11.42
2012-08-19,11.42
2012-08-19,11.44
2012-08-20,12.33
2012-08-20,11.42
2012-08-20,11.42
2012-08-21,11.42
2012-08-22,14
2012-08-22,11.96
2012-08-23,14
2012-08-24,9.95
2012-08-25,12.33
2012-08-25,12.32
2012-08-26,13.5
2012-08-27,9.95
2012-08-27,12.33
2012-08-28,13.49
2012-08-28,13.24
2012-08-29,12.74
2012-08-30,13.23
2012-08-30,12.98
2012-08-31,9.95
2012-09-01,9.95
2012-09-03,12.1
2012-09-04,13.74
2012-09-04,13.48
2012-09-05,9.95
2012-09-10,12.05
2012-09-10,11.79
2012-09-11,11.69
2012-09-11,11.43
2012-09-12,12.33
2012-09-12,11.95
2012-09-13,11.43
2012-09-13,12.33
2012-09-14,11.43
2012-09-14,11.43
2012-09-14,11.42
2012-09-14,11.42
2012-09-15,11.69
2012-09-15,11.43
2012-09-19,9.95
2012-09-29,13.4
2012-09-29,13.4
2012-09-29,13.4
2012-09-29,13.4
2012-10-02,14
2012-10-02,14
2012-10-05,14
2012-10-06,14
2012-10-06,14
2012-10-09,14
2012-10-11,13.7
2012-10-11,13.4
2012-10-12,12.27
2012-10-16,11.76
2012-10-16,11.76
2012-10-17,11.76
2012-10-17,11.76
2012-10-18,11.76
2012-10-24,9.95
2012-10-26,14
2012-10-29,9.95
2012-10-29,9.95
2012-10-30,14
2012-10-31,14
2012-11-01,14
2012-11-01,14
2012-11-02,14
2012-11-03,14
2012-11-06,14
2012-11-07,14
2012-11-09,14
2012-11-11,14
2012-11-13,14
2012-11-14,14
2012-11-14,12.83
2012-11-14,12.83
2012-11-15,13.11
2012-11-16,14
2012-11-16,13.7
2012-11-16,12.27
2012-11-17,12.44
2012-11-18,13.59
2012-11-18,13.29
2012-11-19,11.9
2012-11-19,11.9
2012-11-20,11.9
2012-11-21,12.44
2012-11-22,12.44
2012-11-24,12.17
2012-11-25,12.17
2012-11-27,13.9
2012-11-29,11.9
2012-11-29,13
2012-11-30,13.29
2012-12-01,11.76
2012-12-01,11.76
2012-12-02,11.81
2012-12-03,12.17
2012-12-06,13.9
2012-12-06,11.81
2012-12-07,13.29
2012-12-07,13
2012-12-08,13.59
2012-12-08,12.17
2012-12-08,11.9
2012-12-09,12.95
2012-12-09,12.67
2012-12-10,12.39
2012-12-10,12.12
2012-12-11,12.67
2012-12-15,11.81
2012-12-18,8.95
2012-12-20,12.16
2012-12-20,11.76
2012-12-22,12.08
2012-12-22,11.76
2012-12-23,12.08
2012-12-23,11.76
2012-12-25,12.08
2012-12-27,11.76
2012-12-29,12.08
2012-12-30,11.76
2013-01-01,12.08
2013-01-03,12.09
2013-01-03,13.9
2013-01-05,13.87
2013-01-09,13.9
2013-01-10,13.9
2013-01-12,15
2013-01-17,13.9
2013-01-18,13.87
2013-01-22,15
2013-01-22,15
2013-01-23,15
2013-01-24,15
2013-01-25,15
2013-01-26,15
2013-01-27,15
2013-01-30,15
2013-01-31,15
2013-02-01,13.9
2013-02-07,15
2013-02-12,15
2013-03-01,15
2013-03-21,15
2013-03-27,15
2013-03-29,14.99
2013-03-29,15
2013-04-04,15
2013-04-06,15
2013-04-07,15
2013-04-18,15
2013-04-22,15
2013-04-23,15
2013-04-29,11.76
2013-05-01,15
2013-05-14,14.06
2013-05-15,13.42
2013-05-15,11.97
2013-05-16,11.9
2013-05-16,11.73
2013-05-16,11.73
2013-05-17,11.73
2013-05-17,11.73
2013-05-19,13.42
2013-05-19,12.68
2013-05-19,12.2
2013-05-20,11.74
2013-05-20,11.73
2013-05-20,11.73
2013-05-21,11.74
2013-05-21,11.74
2013-05-21,11.73
2013-05-22,11.74
2013-05-22,11.74
2013-05-22,11.74
2013-05-23,11.74
2013-05-23,11.74
2013-05-24,11.74
2013-05-24,11.74
2013-05-24,14.73
2013-05-25,13.43
2013-05-25,12.21
2013-05-25,11.95
2013-05-26,11.64
2013-05-26,11.63
2013-05-27,12.7
2013-05-27,12.04
2013-05-27,11.64
2013-05-28,11.63
2013-05-28,11.63
2013-05-29,11.64
2013-05-30,11.6
2013-05-31,11.6
2013-06-04,11.6
2013-06-04,11.6
2013-06-06,11.6
2013-06-07,11.6
2013-06-08,11.6
2013-06-09,11.6
2013-06-11,11.6
2013-10-24,15
2013-10-26,15
2013-11-20,15
2013-11-24,15
2013-12-10,15
2013-12-15,15
2014-01-01,15
2014-01-31,15
2014-03-17,15
2014-03-24,15
2014-05-04,15
2014-06-08,15
2014-07-25,15
2014-07-28,14.81
2014-08-04,14.97
2014-08-18,14.83
2014-08-20,14.31
2014-09-16,14.2
2014-09-19,14.67
2014-10-16,15
2014-10-31,14.3
2014-11-04,14.67
2014-11-27,14.45
2014-11-28,14.38
2014-12-03,15.18
2015-02-13,14.36
2015-02-19,14.18
2015-03-16,14.94
2015-03-18,14.66
2015-03-24,15
2015-04-04,15
2015-04-05,14.53
2015-05-05,15
2015-05-12,15
2015-05-31,15
2015-07-27,15
2015-08-15,15
2015-08-22,14.95
2015-09-17,14.96
2015-10-04,14.99
2015-11-07,14.95
2015-12-14,14.95
2016-03-20,15
2016-04-30,15
2016-05-28,14.95
2016-11-22,12.99
2016-11-24,12.99
2016-11-25,12.99
